,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
108,Austria,1060,Ava,http://www.wikidata.org/entity/Q66299,wd:Q66299,2750301,first known German poet,"The poet Ava (c. 1060 – 7 February 1127), also known as Frau Ava, Ava of Göttweig or Ava of Melk, was the first named female writer in any genre in the German language. She is the author of five poems which focused on Christian themes of salvation and the second coming of Christ. Her work on the lives of John the Baptist and Jesus, according to Sarah Westphal-Wihl, ""has been praised as the first German epic"". She is known for her simple rhyming couplets written in the vernacular, making complex biblical teachings accessible to the people of her time.",https://en.wikipedia.org/wiki/Ava_(poet)
126,Azerbaijan,1130,Mkhitar Gosh,http://www.wikidata.org/entity/Q2622569,wd:Q2622569,3503712,Armenian priest and public figure (1130-1213),"Mkhitar Gosh (Armenian: Մխիթար Գոշ; 1130–1213) or Mkhitar the Thinbearded was an Armenian scholar, writer, public figure, thinker, and priest. He was one of the representatives of the Armenian Renaissance.

",https://en.wikipedia.org/wiki/Mkhitar_Gosh
139,Bahrain,1238,Al-Bahrani,http://www.wikidata.org/entity/Q6575496,wd:Q6575496,15806499,"A leading 13th Century Bahraini theologian, author and philosopher.","Maytham ibn Ali (Arabic: ميثم ابن علي, 1238 – 1280), commonly known as Al-Bahrani (Arabic: البحراني), also known as Shaykh Al-Bahrani (Arabic: الشيخ ميثم البحراني) was a Twelver Shia Islamic scholar, theologian, and philosopher. 
He promoted Twelver Shia Islam throughout Bahrain, which had been dominated by the Ismaili Shias. He died in 1280 in Mahooz, and is buried at the Shaykh al-Bahrani Mosque. 

",https://en.wikipedia.org/wiki/Al-Bahrani
146,Bahrain,600,Muezza,http://www.wikidata.org/entity/Q498787,wd:Q498787,2440927,Muhammad's favorite cat,error,error
155,Bangladesh,1790,Edward Charles Close,http://www.wikidata.org/entity/Q16065810,wd:Q16065810,39509451,"politician, soldier and engineer in New South Wales, Australia (1790-1866)","Edward Charles Close (Senior) (12 March 1790 – 7 May 1866) was a British soldier, engineer, New South Wales colonial magistrate, member of the New South Wales Legislative Council, and early European settler in Morpeth. He was born at Rangamati, British India (in what is now Bangladesh) and was the only child of merchant Edward and Marianne. Enlisted in the army in 1801, he served in the Peninsular War as lieutenant in the 48th Regiment.He arrived in New South Wales on the 3rd of August 1817 on the Matilda. Close was transferred to Newcastle where he was acting engineer from 1821 to 1822.On 27 September 1821 at St John's Church, Parramatta he married Sophia Sussannah. In 1822 he resigned from the army to settle in a 2,560 acre property in Morpeth.Close's son, Edward Charles Close junior, was a member of the New South Wales Legislative Assembly.",https://en.wikipedia.org/wiki/Edward_Charles_Close
168,Barbados,1793,Renn Dickson Hampden,http://www.wikidata.org/entity/Q7313296,wd:Q7313296,212572,English bishop of Hereford and theologian,"Renn Dickson Hampden (29 March 1793 – 23 April 1868) was an English Anglican clergyman. His liberal tendencies led to conflict with traditionalist clergy in general and the supporters of Tractarianism during the years he taught in Oxford (1829–1846) which coincided with a period of rapid social change and heightened political tensions.  His support for the campaign for the admission of non-Anglicans to Oxford and Cambridge Universities was unpopular at the time (1834) and led to serious protests when he was nominated to the Regius Professorship of Divinity two years later. His election as Bishop of Hereford became a cause celebre in Victorian religious controversies because it raised questions about the royal prerogative in the appointment of bishops and the role of the prime minister.  He administered the diocese with tolerance and charity without being involved in any further controversy for nearly twenty years.

",https://en.wikipedia.org/wiki/Renn_Hampden
182,Belarus,1510,Solomon Luria,http://www.wikidata.org/entity/Q83960,wd:Q83960,1258707,Polish rabbi,"Solomon Luria (1510 – November 7, 1573) (Hebrew: שלמה לוריא) was one of the great Ashkenazic poskim (decisors of Jewish law) and teachers of his time. He is known for his work of Halakha, Yam Shel Shlomo, and his Talmudic commentary Chochmat Shlomo. Luria is also referred to as “Maharshal” מהרש""ל‎ (Hebrew abbreviation: Our Teacher, Rabbi Solomon Luria), or “Rashal” רש""ל‎ (Hebrew abbreviation: Rabbi Solomon Luria).",https://en.wikipedia.org/wiki/Solomon_Luria
196,Belgium,-99,Dumnorix,http://www.wikidata.org/entity/Q370220,wd:Q370220,1970746,politician,"Dumnorix (spelled Dubnoreix on coins) was a chieftain of the Aedui, a Celtic tribe in Gaul in the 1st century B.C. He was the younger brother of Divitiacus, the Aedui druid and statesman. The Aedui were allies of Rome, but Dumnorix was a leader of the tribe’s anti-Roman faction, who “...thought it better to be dominated by their fellow Gauls... rather than the Romans.”",https://en.wikipedia.org/wiki/Dumnorix
212,Belize,54,Simone Biles,http://www.wikidata.org/entity/Q7520267,wd:Q7520267,38659992,American Olympic gymnast,"Simone Arianne Biles (born March 14, 1997) is an American artistic gymnast. With a combined total of 32 Olympic and World Championship medals, Biles is tied as the most decorated gymnast of all time. Biles' seven Olympic medals also ties Shannon Miller for the most Olympic medals won by an American gymnast. Biles is considered one of the greatest and most dominant gymnasts of all time.At the 2016 Summer Olympics in Rio de Janeiro, Biles won individual gold medals in the all-around, vault, and floor; bronze on balance beam; and gold as part of the United States team, dubbed the ""Final Five"". At the 2020 Summer Olympics in Tokyo, she won bronze on balance beam, as well as silver with the United States team, after struggling with ""the twisties"", a temporary loss of air balance awareness. Her partial withdrawal, focus on safety, mental health, and perseverance were praised. Biles is also a five-time World all-around champion (2013–2015, 2018–2019), five-time World floor exercise champion (2013–2015, 2018–2019), three-time World balance beam champion (2014–2015, 2019), two-time World vault champion (2018–2019), a seven-time United States national all-around champion (2013–2016, 2018–2019, 2021), and a member of the gold medal-winning American teams at the 2014, 2015, 2018, and 2019 World Artistic Gymnastics Championships. Additionally, she is a three-time World silver medalist (2013 and 2014 on vault, 2018 on uneven bars) and a three-time World bronze medalist (2015 on vault, 2013 and 2018 on balance beam).
Biles is the gymnast with the most World medals (25) and most World gold medals (19), having surpassed Vitaly Scherbo's record 23 World medals by winning her 24th and 25th, both gold, at the 2019 competition in Stuttgart. She is the female gymnast with the most World all-around titles (5). Biles is the sixth woman to win an individual all-around title at both the World Championships and the Olympics, and the first gymnast since Lilia Podkopayeva in 1996 to hold both titles simultaneously. She is the tenth female gymnast and first American female gymnast to win a World medal on every event, and the first female gymnast since Daniela Silivaș in 1988 to win a medal on every event at a single Olympic Games or World Championships, having accomplished this feat at the 2018 World Championships in Doha.",https://en.wikipedia.org/wiki/Simone_Biles
213,Benin,1766,Agonglo,http://www.wikidata.org/entity/Q321015,wd:Q321015,72445,King of Dahomey,"Agonglo was a King of the Kingdom of Dahomey, in present-day Benin, from 1789 until 1797.  Agonglo took over from his father King Kpengla in 1789 and inherited many of the economic problems that developed during Kpengla's reign.  Because of the poor economy, Agonglo was often constrained by domestic opposition.  As a response, he reformed many of the economic policies (lowered taxes and removed constrains on the slave trade) and did military expeditions to try to increase the supply for the Atlantic slave trade.  Many of these efforts were unsuccessful and European traders became less active in the ports of the kingdom.  As a final effort, Agonglo accepted two Portuguese Catholic missionaries which resulted in a large outcry in royal circles and resulted in his assassination on May 1, 1797. Adandozan, his second oldest son, was named the new king.",https://en.wikipedia.org/wiki/Agonglo
223,Bhutan,1450,Pema Lingpa,http://www.wikidata.org/entity/Q1414217,wd:Q1414217,4114616,Saint and siddha of the Nyingma school of Tibetan Buddhism,"Pema Lingpa or Padma Lingpa (Tibetan: པདྨ་གླིང་པ་, Wylie: pad+ma gling pa, 1450–1521) was a Bhutanese saint and siddha of the Nyingma school of Tibetan Buddhism. He is considered a terchen or ""preeminent tertön"" (Wylie: gter chen, discoverer of spiritual treasures) and is considered to be foremost of the ""Five Tertön Kings"" (Wylie: gter ston rgyal po lnga). In the history of the Nyingma school in Bhutan, Pema Lingpa is second only in importance to Padmasambhava.",https://en.wikipedia.org/wiki/Pema_Lingpa
224,Bolivia,1700,Master of Calamarca,http://www.wikidata.org/entity/Q1422685,wd:Q1422685,22636499,Bolivian painter,"The Master of Calamarca (real name José López de los Ríos, fl. first half of 18th century) was a Bolivian artist who created two series of angels painted on the walls of a Catholic church in Calamarca, Bolivia in the Department of La Paz. His works were stylistically close to the artist Leonardo Flores from La Paz (fl. last quarter of 17th century).The Calamarca church contains two sets of angels, most likely created by the same person. The first contains militant Ángel arcabuceros wielding firearms, with each angel's name written clearly at the bottom; the paintings of the Calamarca church are the most renowned, definitive examples of Ángel arcabucero type and Bolivian angel types in general. The second set depicts androgynous angels wearing billowing capes, elaborate short European-style female dresses and Roman military boots. They are unsigned, but each is carrying an object uniquely identifying the subject as one of Archangels of Palermo. According to a tradition stemming from medieval Palermo, these were seven archangels, venerated in Spain, although only three were recognized by the Church.",https://en.wikipedia.org/wiki/Master_of_Calamarca
235,Bosnia and Herzegovina,1485,Franciscus Bossinensis,http://www.wikidata.org/entity/Q656526,wd:Q656526,1125630,composer,"Franciscus Bossinensis (fl. 1509 – 1511) (Francis the Bosnian) was a lutenist-composer active in Italy in the 15th century.
He was born in Bosnia (Srebrenik)  He lived and worked in Venice. He published two collections of lute music (containing 126 frottolas and 46 ricercares), printed by the Venetian printing house of Ottaviano Petrucci.",https://en.wikipedia.org/wiki/Franciscus_Bossinensis
253,Botswana,1925,Quett Masire,http://www.wikidata.org/entity/Q310574,wd:Q310574,405888,President of Botswana (1925-2017),"Sir Ketumile Quett Joni Masire, GCMG (24 July 1926 – 22 June 2017) was the second President of Botswana, in office from 1980 to 1998. He was honored with the Knighthood of the Grand Cross of Saint Michael and Saint George by Her Majesty the Queen Elizabeth II in 1990. He was a leading figure in the independence movement and then the new government, and played a crucial role in facilitating and protecting Botswana's steady financial growth and development. He stepped down in 1998 and was succeeded by Vice-President Festus Mogae, who became the third President of Botswana.",https://en.wikipedia.org/wiki/Quett_Masire
269,Brazil,1564,Vicente do Salvador,http://www.wikidata.org/entity/Q3621870,wd:Q3621870,32490430,Brazilian historian,"Vicente do Salvador born Vicente Rodrigues Palha, (Salvador, December 20, 1564 – c. 1635) was a Franciscan friar in the Portuguese colony of Brazil, the author of the first history of Brazil, often titled the ""father of Brazilian history"".
Vicente Rodrigues Palha was born in Matuim, about six miles north of the city of Bahia in 1564. Like most learned men of the time, he studied in the Jesuit College of Salvador, Bahia, and later in the University of Coimbra where he majored.
Returning to Brazil, he was ordained priest, came to be canon at the cathedral and vicar-general of Bahia. At thirty-five he became a Franciscan friar, changing his name to Vicente Salvador. He was a missionary in Paraíba, lived in Pernambuco and cooperated in the founding of the Franciscan house in Rio de Janeiro in 1607, becoming its first prelate. After returning to Pernambuco, where he taught arts at the convent of the order, in Olinda, returning to Bahia in 1612. He was elected in Lisbon custodian of the Franciscan Custody of Brazil. After a stay in Portugal, he returned to Bahia, as guardian, having died there between 1636 and 1639.",https://en.wikipedia.org/wiki/Vicente_do_Salvador
277,Brunei,1711,Omar Ali Saifuddin I of Brunei,http://www.wikidata.org/entity/Q40105,wd:Q40105,1055265,Sultan of Brunei (1711-1795),"Omar Ali Saifuddin I (Jawi: I عمر علي سيف الدين; died 10 July 1795) was the 18th Sultan of Brunei from 1740 until his abdication in favor of his eldest son Muhammad Tajuddin in 1778. He succeeded his father-in-law, Sultan Hussin Kamaluddin as Sultan of Brunei upon the latter's abdication from the throne in 1740.",https://en.wikipedia.org/wiki/Omar_Ali_Saifuddin_I
293,Bulgaria,-274,Rhianus,http://www.wikidata.org/entity/Q2319055,wd:Q2319055,416247,"ancient Greek poet and grammarian, a native of Crete, friend and contemporary of Eratosthenes (275 BC – 195 BC)","Rhianus (Greek: Ῥιανὸς ὁ Κρής) was a Greek poet and grammarian, a native of Crete, friend and contemporary of Eratosthenes (275–195 BC).",https://en.wikipedia.org/wiki/Rhianus
297,Burkina Faso,1920,Constantin Guirma,http://www.wikidata.org/entity/Q1127857,wd:Q1127857,26924624,Catholic bishop,"Constantin Guirma (February 5, 1920 – August 6, 2010) was a Burkinabé prelate of the Roman Catholic Church .
Guirma was born in Kaya, Burkina Faso and was ordained a priest on May 19, 1946. He was appointed Bishop of the Diocese of Kaya on June 26, 1969, and ordained bishop on August 1, 1969, by Pope Paul VI in Kampala during his first pontifical visit to Africa. Guirma remained there until his retirement on March 9, 1996. He died after illness on August 6, 2010.",https://en.wikipedia.org/wiki/Constantin_Guirma
311,Burundi,1750,Mwambutsa I Mbariza,http://www.wikidata.org/entity/Q625601,wd:Q625601,630592,king of Burundi from 1767 to 1796,Mwambutsa I Mbariza was the king of Burundi from 1767 to 1796. His only son was Ntare IV Rutaganzwa Rugamba. He succeeded Mwami Mutaga III Senyamwiza Mutamo.,https://en.wikipedia.org/wiki/Mwambutsa_I_of_Burundi
314,Cambodia,1100,Jayavarman VI,http://www.wikidata.org/entity/Q135688,wd:Q135688,10190853,Cambodian king,"Jayavarman VI (Khmer: ជ័យវរ្ម័នទី៦) was king of the Khmer Empire from about 1080 to 1107 AD.
During the reigns of Udayadityavarman II and Harshavarman III there were some internal rebellions and an unsuccessful war with Champa. Maybe the last one continued to reign in Angkor during a revolt which finally brought to power the following official King, Jayavarman VI, probably a vassal prince.: 376–377 Coming from Phimai area, in Mun River Valley, he appears as an usurper and the founder of a new dynasty, the Mahidharapura, from the name of his family's ancestral home. In inscriptions at the beginning of his reign, he claimed to be a descendant of the mythical couple of prince Sage Kambu Swayambhuva and his sister (and wife) Mera,: 66  rather than having real ancestors of royal lineage.
Jayavarman VI was probably engaged for several years in strife against those who remained loyal to the legitimate line of Harshavarman III and his heir Nripatindravarman which may have reigned in Angkor until 1113.: 153 However, he is generally given credit for the construction of Phimai temple. He was succeeded by his elder brother, Dharanindravarman I, and received as posthumous name Paramakaivalyapada.: 153 ",https://en.wikipedia.org/wiki/Jayavarman_VI
334,Cameroon,1696,Abram Petrovich Gannibal,http://www.wikidata.org/entity/Q326449,wd:Q326449,2549827,Russian general and noble,"Abram Petrovich Gannibal, also Hannibal or Ganibal, or Abram Hannibal or Abram Petrov (Russian: Абра́м Петро́вич Ганниба́л; c. 1696 – 14 May 1781), was a Russian military engineer, major-general, and nobleman of sub-Saharan African origin. Kidnapped as a child by Ottomans, Gannibal was traded to Russia and presented as a gift to Peter the Great, where he was freed, adopted and raised in the Emperor's court household as his godson.Gannibal eventually rose to become a prominent member of the imperial court in the reign of Peter's daughter Elizabeth. He had 11 children, most of whom became members of the Russian nobility; he was a great-grandfather of the author and poet Alexander Pushkin.",https://en.wikipedia.org/wiki/Abram_Petrovich_Gannibal
337,Canada,1632,Jean-Baptiste Legardeur de Repentigny,http://www.wikidata.org/entity/Q3164223,wd:Q3164223,33224549,Canadian politician,"Jean-Baptiste Legardeur de Repentigny, (1632-1709) was born at Thury-Harcourt in Normandy in 1632, and died in Montreal on September 9, 1709. He was esquire, midshipman, and councillor in the Conseil Souverain. He was the son of Pierre Legardeur de Repentigny and Marie Favery.
Jean-Baptiste Legardeur arrived in Canada in 1636 with his parents. He became associated with the fur trade at an early age. On October 6, 1663, he was elected the first mayor of Quebec City. He occupied this office for only one month, since the Conseil Souverain considered it unnecessary. He received from his mother the seigneury of Repentigny on May 2, 1670, which had been granted by the Compagnie de la Nouvelle France in 1647 to his father. His wife was Marguerite Nicolet, the daughter of French explorer Jean Nicolet.",https://en.wikipedia.org/wiki/Jean-Baptiste_Legardeur_de_Repentigny
350,Cape Verde,1785,Simplício Rodrigues de Sá,http://www.wikidata.org/entity/Q3484791,wd:Q3484791,47637859,Portuguese painter (1785-1839),"Simplício Rodrigues de Sá ( c. 1785, São Nicolau Tolentino, Cape Verde, — 9 March 1839, Rio de Janeiro) was a Portuguese-born painter and art professor who spent most of his career in Brazil.",https://en.wikipedia.org/wiki/Simpl%C3%ADcio_Rodrigues_de_S%C3%A1
353,Central African Republic,1936,Henri Maïdou,http://www.wikidata.org/entity/Q717896,wd:Q717896,3760108,Prime Minister of the Central African Republic,"Henri Maïdou (born 14 February 1936) is a retired Central African politician who served as Prime Minister of the Central African Empire (Central African Republic) from 14 July 1978 to 26 September 1979, and Vice President of the CAR in the cabinet of David Dacko from September 1979 to August 1980.",https://en.wikipedia.org/wiki/Henri_Ma%C3%AFdou
369,Chad,1008,Yusuf ibn Tashfin,http://www.wikidata.org/entity/Q369981,wd:Q369981,1853388,The leader of Almoravid empire from 1061 to 1106,"Yusuf ibn Tashfin, also Tashafin, Teshufin, (Arabic: يوسف بن تاشفين ناصر الدين بن تالاكاكين الصنهاجي, romanized: Yūsuf ibn Tāshfīn Naṣr al-Dīn ibn Tālākakīn al-Ṣanhājī; reigned c. 1061 – 1106) was leader of the Berber Almoravid empire. He co-founded the city of Marrakesh and led the Muslim forces in the Battle of Sagrajas. Ibn Tashfin came to al-Andalus from Africa to help the Muslims fight against Alfonso VI, eventually achieving victory and promoting an Islamic system in the region. In 1061 he took the title “amir al-Mu'minin” recognising the suzerainty of the Abbasid Caliphate whom he became a vassal of. He was married to Zaynab an-Nafzawiyyah, whom he reportedly trusted politically.

",https://en.wikipedia.org/wiki/Yusuf_ibn_Tashfin
371,Chile,1588,Diego González Montero Justiniano,http://www.wikidata.org/entity/Q463740,wd:Q463740,19997862,Royal Governor of Chile,"Diego González Montero Justiniano was interim Royal Governor of Chile twice, from February to May 1662 following the death of Pedro Porter Casanate and again from February to October 1670 succeeding the Diego Dávila, 1st Marquis of Navamorcuende until the arrival of Juan Henríquez de Villalobos.",https://en.wikipedia.org/wiki/Diego_Gonz%C3%A1lez_Montero_Justiniano
380,Colombia,1600,Antonio Acero de la Cruz,http://www.wikidata.org/entity/Q5697681,wd:Q5697681,53185573,Colombian painter (1600-1667),"Antonio Acero de la Cruz (c.1600-1668) was a Colombian artist of the colonial period. He was born in Bogota, New Granada. His father was a Spanish artist Alonso Acero.
Apart from painting (many of them realized in religious buildings), Acero de la Cruz was also interested in architecture and poetry, some of which has survived to the present day. He appears as a character in the novel El desierto prodigioso y el prodigio de desierto, written by his friend Pedro de Solís y Valenzuela.",https://en.wikipedia.org/wiki/Antonio_Acero_de_la_Cruz
392,Costa Rica,1523,Juan Vásquez de Coronado,http://www.wikidata.org/entity/Q5612198,wd:Q5612198,16621371,Spanish conquistador,"Juan Vázquez de Coronado y Anaya (Spanish pronunciation: [ˈxwan ˈbaθkeθ ðe koɾoˈnaðo]; Salamanca, 1523 – Sanlúcar de Barrameda, 1565) was a Spanish conquistador, remembered especially for his role in the colonization of Costa Rica, in Central America, where he gained a reputation for fairness, effective administration, and good relationships with the native population.  He was a nephew of Francisco Vázquez de Coronado y Luján, who explored the southwestern United States between 1540 and 1542.
By a decree given at Aranjuez by King Philip II of Spain on 8 April 1565, Juan Vásquez de Coronado was appointed as the first royal governor and first Adelantado (a hereditary title) of the province of Costa Rica, but his ship disappeared in a storm off the coast of southern Spain while he was on his way to receive his appointments from the monarch.  He was married to Isabel, a niece of Pedro Arias Dávila, the principal conqueror of Panamá.  The Vázquez de Coronado Canton, one of the administrative divisions of the Province of San José, in the Republic Costa Rica, was named in his honor.",https://en.wikipedia.org/wiki/Juan_V%C3%A1zquez_de_Coronado
394,Croatia,-50,Sextus Palpellius Hister,http://www.wikidata.org/entity/Q12293516,wd:Q12293516,56728004,politician,"Sextus Palpellius Hister was a Roman senator and general who was active during the Principate. He was suffect consul in the nundinium of March-July 43 with Lucius Pedanius Secundus as his colleague.An inscription from Pietas Julia in Istria, erected by one Gaius Precius Felix Napolitanus, provides us many details of his cursus honorum, although not in chronological order. Hister began his career as one of the decemviri stlitibus judicandis, one of the four boards that form the vigintiviri; membership in one of these four boards was a preliminary and required first step toward gaining entry into the Roman Senate. His next documented office was military tribune of Legio XIV Gemina, at the time stationed in Germania Superior at Moguntiacum. Of the traditional Republican magistracies, only plebeian tribune and praetor are recorded in this inscription, but one can assume he held the first in this series of offices, quaestor. The inscription also attests he was a legatus (which could mean he was a governor of an imperial province or a commander of a Roman legion) and governor of a public province. While Histor was a praetor, he also achieved the honor of being a comites or companion of the emperor Claudius.
One office Histor held not recorded in the Istrian inscription was governor of the imperial province of Pannonia; Tacitus is our source for this fact. While the translation of Alfred John Church and William Jackson Brodribb call this governor ""P. Atellius Hister"", editions of Tacitus more recent than that used by Church and Brodribb call him ""Palpellius Hister"". Further, P. Atellius Hister is not otherwise attested. Tacitus attests Palpellius Hister held this post in the year 50, when Vannius, king of the Quadi, was driven from his throne and kingdom by Vibilius, king of the Hermunduri, and two sons of Vannius' sister, Vangio and Sido. Although the emperor Claudius declined to intervene in this conflict, he gave orders to Hister to have his legions and some picked Auxiliaries encamped on the banks of the Danube ""as a support to the conquered and a terror to the conqueror, who might otherwise, in the elation of success, disturb the peace of our empire.""",https://en.wikipedia.org/wiki/Sextus_Palpellius_Hister
398,Cuba,1740,"Juan Vicente de Güemes, 2nd Count of Revillagigedo",http://www.wikidata.org/entity/Q2735571,wd:Q2735571,5135218,Spanish general and viceroy of New Spain,"Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of Revillagigedo (Spanish, with variant name: Juan Vicente de Güemes Pacheco de Padilla y Horcasitas, segundo conde de Revillagigedo) (April 5, 1738 in Havana – May 2, 1799 in Madrid) was a Spanish military officer and viceroy of New Spain from October 17, 1789 to July 11, 1794. He is known as a great reformer and one of the finest administrators of the Spanish colonial era—perhaps the last able viceroy of New Spain.","https://en.wikipedia.org/wiki/Juan_Vicente_de_G%C3%BCemes,_2nd_Count_of_Revillagigedo"
413,Cyprus,-200,Hermodorus of Salamis,http://www.wikidata.org/entity/Q1035625,wd:Q1035625,17424172,Cypriot architect,"Hermodorus of Salamis was an ancient Greek architect from Salamis, Cyprus who was highly active in ancient Rome between 146 BC and 102 BC, where his work includes the Temple of Jupiter Stator (2nd century BC) and the Temple of Mars. He also inspired Vitruvius and led the construction of the Navalia.",https://en.wikipedia.org/wiki/Hermodorus_of_Salamis
420,Czech Republic,1032,Vratislaus II of Bohemia,http://www.wikidata.org/entity/Q347013,wd:Q347013,890140,Duke and king of Bohemia,"Vratislaus (or Wratislaus) II (Czech: Vratislav II.) (c. 1032 – 14 January 1092), the son of Bretislaus I and Judith of Schweinfurt, was the first King of Bohemia as of 15 June 1085, his royal title granted as a lifetime honorific from Holy Roman Emperor Henry IV that did not establish a hereditary monarchy. Before his elevation to the royal dignity, Vratislaus had ruled Bohemia as duke since 1061.
On his father's death in 1055, Vratislaus became duke of Olomouc, whereas his older brother became Duke of Bohemia as Spytihněv II. He fell out with his brother and was exiled to Hungary. Vratislaus regained the ducal throne of Olomouc with Hungarian assistance and eventually reconciled with his brother, then succeeded him as duke of Bohemia when he died in 1061.",https://en.wikipedia.org/wiki/Vratislaus_II_of_Bohemia
440,Côte d'Ivoire,1730,Pokou,http://www.wikidata.org/entity/Q774231,wd:Q774231,38311649,Ashanti Queen (1730-1760),"Queen Pokou, or Awura, Aura, or Abla Pokou (reigned c. 1750 - c. 1760) was Queen and founder of the Baoule ethnic group in West Africa, now Ivory Coast. She ruled over a branch of the powerful Ashanti Empire as it expanded westward. A subgroup of the Akan people, the Baoule people are today one of the largest ethnic groups in modern Ivory Coast.",https://en.wikipedia.org/wiki/Queen_Pokou
443,Denmark,-500,Haraldskær Woman,http://www.wikidata.org/entity/Q273524,wd:Q273524,6676314,Iron Age bog body from Denmark,"The Haraldskær Woman (or Haraldskjaer Woman) is the name given to a bog body of a woman preserved in a bog in Jutland, Denmark, and dating from about 490 BC (pre-Roman Iron Age). Workers found the body in 1835 while excavating peat on the Haraldskær Estate. The anaerobic conditions and acids of the peat bog contributed to the body's excellent preservation. Not only was the intact skeleton found, but so were the skin and internal organs. Scientists settled disputes about the age and identity of this well preserved body in 1977, when radiocarbon dating determined conclusively that the woman's death occurred around the 5th century BC.The Haraldskær Woman's body is on permanent display in a glass-covered sarcophagus inside The Cultural Museum in central Vejle, Denmark.

",https://en.wikipedia.org/wiki/Haraldsk%C3%A6r_Woman
