country,countryLabel,numsubdivision
http://www.wikidata.org/entity/Q869,Thailand,77
http://www.wikidata.org/entity/Q878,United Arab Emirates,7
http://www.wikidata.org/entity/Q916,Angola,18
http://www.wikidata.org/entity/Q912,Mali,9
http://www.wikidata.org/entity/Q1044,Sierra Leone,5
http://www.wikidata.org/entity/Q1049,Sudan,15
http://www.wikidata.org/entity/Q697,Nauru,14
http://www.wikidata.org/entity/Q159,Russia,85
http://www.wikidata.org/entity/Q31,Belgium,6
http://www.wikidata.org/entity/Q45,Portugal,20
http://www.wikidata.org/entity/Q155,Brazil,27
http://www.wikidata.org/entity/Q148,People's Republic of China,33
http://www.wikidata.org/entity/Q183,Germany,16
http://www.wikidata.org/entity/Q233,Malta,3
http://www.wikidata.org/entity/Q96,Mexico,32
http://www.wikidata.org/entity/Q230,Georgia,12
http://www.wikidata.org/entity/Q218,Romania,42
http://www.wikidata.org/entity/Q43,Turkey,81
http://www.wikidata.org/entity/Q347,Liechtenstein,11
http://www.wikidata.org/entity/Q235,Monaco,1
http://www.wikidata.org/entity/Q33,Finland,19
http://www.wikidata.org/entity/Q241,Cuba,16
http://www.wikidata.org/entity/Q1045,Somalia,14
http://www.wikidata.org/entity/Q191,Estonia,15
http://www.wikidata.org/entity/Q408,Australia,16
http://www.wikidata.org/entity/Q403,Serbia,30
http://www.wikidata.org/entity/Q810,Jordan,12
http://www.wikidata.org/entity/Q804,Panama,15
http://www.wikidata.org/entity/Q865,Taiwan,8
http://www.wikidata.org/entity/Q40,Austria,9
http://www.wikidata.org/entity/Q77,Uruguay,19
http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,4
http://www.wikidata.org/entity/Q664,New Zealand,17
http://www.wikidata.org/entity/Q986,Eritrea,6
http://www.wikidata.org/entity/Q39,Switzerland,26
http://www.wikidata.org/entity/Q977,Djibouti,6
http://www.wikidata.org/entity/Q419,Peru,25
http://www.wikidata.org/entity/Q784,Dominica,10
http://www.wikidata.org/entity/Q414,Argentina,24
http://www.wikidata.org/entity/Q1029,Mozambique,11
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,3
http://www.wikidata.org/entity/Q238,San Marino,9
http://www.wikidata.org/entity/Q222,Albania,12
http://www.wikidata.org/entity/Q29,Spain,20
http://www.wikidata.org/entity/Q184,Belarus,7
http://www.wikidata.org/entity/Q766,Jamaica,3
http://www.wikidata.org/entity/Q38,Italy,20
http://www.wikidata.org/entity/Q28,Hungary,20
http://www.wikidata.org/entity/Q822,Lebanon,6
http://www.wikidata.org/entity/Q219,Bulgaria,28
http://www.wikidata.org/entity/Q889,Afghanistan,34
http://www.wikidata.org/entity/Q736,Ecuador,24
http://www.wikidata.org/entity/Q733,Paraguay,18
http://www.wikidata.org/entity/Q902,Bangladesh,8
http://www.wikidata.org/entity/Q836,Myanmar,21
http://www.wikidata.org/entity/Q1030,Namibia,14
http://www.wikidata.org/entity/Q114,Kenya,7
http://www.wikidata.org/entity/Q142,France,26
http://www.wikidata.org/entity/Q750,Bolivia,10
http://www.wikidata.org/entity/Q683,Samoa,10
http://www.wikidata.org/entity/Q811,Nicaragua,17
http://www.wikidata.org/entity/Q34,Sweden,21
http://www.wikidata.org/entity/Q657,Chad,22
http://www.wikidata.org/entity/Q668,India,38
http://www.wikidata.org/entity/Q41,Greece,14
http://www.wikidata.org/entity/Q783,Honduras,18
http://www.wikidata.org/entity/Q769,Grenada,8
http://www.wikidata.org/entity/Q236,Montenegro,23
http://www.wikidata.org/entity/Q965,Burkina Faso,13
http://www.wikidata.org/entity/Q717,Venezuela,25
http://www.wikidata.org/entity/Q1028,Morocco,12
http://www.wikidata.org/entity/Q691,Papua New Guinea,22
http://www.wikidata.org/entity/Q881,Vietnam,63
http://www.wikidata.org/entity/Q17,Japan,47
http://www.wikidata.org/entity/Q213,Czech Republic,14
http://www.wikidata.org/entity/Q1025,Mauritania,13
http://www.wikidata.org/entity/Q79,Egypt,27
http://www.wikidata.org/entity/Q843,Pakistan,7
http://www.wikidata.org/entity/Q917,Bhutan,20
http://www.wikidata.org/entity/Q851,Saudi Arabia,1
http://www.wikidata.org/entity/Q842,Oman,11
http://www.wikidata.org/entity/Q833,Malaysia,16
http://www.wikidata.org/entity/Q16,Canada,14
http://www.wikidata.org/entity/Q20,Norway,28
http://www.wikidata.org/entity/Q695,Palau,16
http://www.wikidata.org/entity/Q958,South Sudan,29
http://www.wikidata.org/entity/Q739,Colombia,33
http://www.wikidata.org/entity/Q774,Guatemala,22
http://www.wikidata.org/entity/Q262,Algeria,58
http://www.wikidata.org/entity/Q36,Poland,16
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,4
http://www.wikidata.org/entity/Q929,Central African Republic,16
http://www.wikidata.org/entity/Q1006,Guinea,8
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,9
http://www.wikidata.org/entity/Q242,Belize,6
http://www.wikidata.org/entity/Q30,United States of America,50
http://www.wikidata.org/entity/Q1037,Rwanda,5
http://www.wikidata.org/entity/Q424,Cambodia,24
http://www.wikidata.org/entity/Q971,Republic of the Congo,12
http://www.wikidata.org/entity/Q1033,Nigeria,37
http://www.wikidata.org/entity/Q858,Syria,14
http://www.wikidata.org/entity/Q800,Costa Rica,7
http://www.wikidata.org/entity/Q258,South Africa,9
http://www.wikidata.org/entity/Q730,Suriname,10
http://www.wikidata.org/entity/Q214,Slovakia,8
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,14
http://www.wikidata.org/entity/Q423,North Korea,12
http://www.wikidata.org/entity/Q145,United Kingdom,4
http://www.wikidata.org/entity/Q217,Moldova,37
http://www.wikidata.org/entity/Q786,Dominican Republic,32
http://www.wikidata.org/entity/Q678,Tonga,5
http://www.wikidata.org/entity/Q884,South Korea,17
http://www.wikidata.org/entity/Q756617,Kingdom of Denmark,3
http://www.wikidata.org/entity/Q1000,Gabon,9
http://www.wikidata.org/entity/Q796,Iraq,18
http://www.wikidata.org/entity/Q846,Qatar,10
http://www.wikidata.org/entity/Q1014,Liberia,15
http://www.wikidata.org/entity/Q212,Ukraine,27
http://www.wikidata.org/entity/Q837,Nepal,7
http://www.wikidata.org/entity/Q215,Slovenia,212
http://www.wikidata.org/entity/Q1036,Uganda,135
http://www.wikidata.org/entity/Q921,Brunei,4
http://www.wikidata.org/entity/Q227,Azerbaijan,69
http://www.wikidata.org/entity/Q1005,The Gambia,6
http://www.wikidata.org/entity/Q794,Iran,31
http://www.wikidata.org/entity/Q711,Mongolia,22
http://www.wikidata.org/entity/Q229,Cyprus,6
http://www.wikidata.org/entity/Q970,Comoros,3
http://www.wikidata.org/entity/Q211,Latvia,119
http://www.wikidata.org/entity/Q37,Lithuania,10
http://www.wikidata.org/entity/Q252,Indonesia,34
http://www.wikidata.org/entity/Q244,Barbados,11
http://www.wikidata.org/entity/Q232,Kazakhstan,18
http://www.wikidata.org/entity/Q574,Timor-Leste,13
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,8
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,8
http://www.wikidata.org/entity/Q224,Croatia,21
http://www.wikidata.org/entity/Q189,Iceland,6
http://www.wikidata.org/entity/Q27,Republic of Ireland,30
http://www.wikidata.org/entity/Q874,Turkmenistan,6
http://www.wikidata.org/entity/Q948,Tunisia,24
http://www.wikidata.org/entity/Q928,Philippines,17
http://www.wikidata.org/entity/Q41304,Weimar Republic,18
http://www.wikidata.org/entity/Q790,Haiti,10
http://www.wikidata.org/entity/Q115,Ethiopia,11
http://www.wikidata.org/entity/Q1027,Mauritius,9
http://www.wikidata.org/entity/Q1019,Madagascar,6
http://www.wikidata.org/entity/Q399,Armenia,11
http://www.wikidata.org/entity/Q734,Guyana,10
http://www.wikidata.org/entity/Q1032,Niger,8
