Country,Amount,Date
"Gaza Strip","92.4%",2004
"Colombia","90.4%",2005
"Indonesia","90.4%",2004
"Burma","89.9%",2006
"Jordan","89.9%",2003
"Qatar","89%",2004
"Federated States of Micronesia","89%",1980
"Malaysia","88.9%",2003
"Reunion","88.9%",2003
"Turkey","87.4%",2004
"Lebanon","87.4%",2003
"Eritrea","58.6%",2003
"East Timor","58.6%",2002
"Group of 7 countries (G7) average","98.93%",2003
"High income OECD countries average","98.45%",2003
"European Union average","98.43%",2003
"NATO countries average","97.7%",2003
"Non-religious countries average","95.75%",2003
"Emerging markets average","91.07%",2003
"Heavily indebted countries average","89.51%",2003
"Former Spanish colonies average","89.02%",2003
"Former British colonies average","81.47%",2003
"OPEC countries average","75.65%",2003
"Middle Eastern and North Africa average","74.94%",2003
"Muslim countries average","67.94%",2003
"Sub-Saharan Africa average","63.06%",2003
"Former French colonies average","56.56%",2003
"failed states average","53.52%",2003
"South Asia average","48.83%",2003
