heritage,heritageLabel,sitelinks,countryLabel
http://www.wikidata.org/entity/Q106187,Giant's Causeway,68,United Kingdom
http://www.wikidata.org/entity/Q180274,Notre-Dame de Chartres,68,France
http://www.wikidata.org/entity/Q171857,Agra Fort,67,India
http://www.wikidata.org/entity/Q189616,Ellora Caves,67,India
http://www.wikidata.org/entity/Q9213,Lumbini,67,Nepal
http://www.wikidata.org/entity/Q188731,Rhodes,66,Greece
http://www.wikidata.org/entity/Q192764,Kaziranga National Park,66,India
http://www.wikidata.org/entity/Q223589,Virunga National Park,66,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q29317,Bagan,66,Myanmar
http://www.wikidata.org/entity/Q231140,Hiroshima Peace Memorial,65,Japan
http://www.wikidata.org/entity/Q3125051,Meteora,65,Greece
http://www.wikidata.org/entity/Q47721,Prambanan,65,Indonesia
http://www.wikidata.org/entity/Q125445,Temple of Heaven,64,People's Republic of China
http://www.wikidata.org/entity/Q187635,Qutub Minar,64,India
http://www.wikidata.org/entity/Q188754,Himeji Castle,64,Japan
http://www.wikidata.org/entity/Q209217,Great Zimbabwe,64,Zimbabwe
http://www.wikidata.org/entity/Q487070,Dessau,64,Germany
http://www.wikidata.org/entity/Q9409,Ivrea,64,Italy
http://www.wikidata.org/entity/Q178643,Süleymaniye Mosque,63,Turkey
http://www.wikidata.org/entity/Q189648,Humayun's Tomb,63,India
http://www.wikidata.org/entity/Q192493,Robben Island,63,South Africa
http://www.wikidata.org/entity/Q214944,Göbekli Tepe,63,Turkey
http://www.wikidata.org/entity/Q970717,Kathmandu Valley,63,Nepal
http://www.wikidata.org/entity/Q11812902,Serengeti National Park,63,Tanzania
http://www.wikidata.org/entity/Q4513,Mahabodhi Temple,63,India
http://www.wikidata.org/entity/Q5908,Aachen Cathedral,63,Germany
http://www.wikidata.org/entity/Q184534,Selimiye Mosque,62,Turkey
http://www.wikidata.org/entity/Q216059,Mount Tai,62,People's Republic of China
http://www.wikidata.org/entity/Q5595,Curonian Spit,62,Russia
http://www.wikidata.org/entity/Q5595,Curonian Spit,62,Lithuania
http://www.wikidata.org/entity/Q26732,Hampi,62,India
http://www.wikidata.org/entity/Q31347,Grand Canal,62,People's Republic of China
http://www.wikidata.org/entity/Q134905,Fraser Island (K'gari),61,Australia
http://www.wikidata.org/entity/Q156093,Taxila,61,Pakistan
http://www.wikidata.org/entity/Q181427,Palenqué,61,Mexico
http://www.wikidata.org/entity/Q188617,Kew Gardens,61,United Kingdom
http://www.wikidata.org/entity/Q191763,Itsukushima Shrine,61,Japan
http://www.wikidata.org/entity/Q216243,Nalanda,61,India
http://www.wikidata.org/entity/Q650872,Okavango Delta,61,Botswana
http://www.wikidata.org/entity/Q1217726,Ngorongoro Conservation Area,61,Tanzania
http://www.wikidata.org/entity/Q2620036,Nazca Lines,61,Peru
http://www.wikidata.org/entity/Q4520,Komodo National Park,61,Indonesia
http://www.wikidata.org/entity/Q107370,Þingvellir,60,Iceland
http://www.wikidata.org/entity/Q157603,Pantanal,60,Bolivia
http://www.wikidata.org/entity/Q157603,Pantanal,60,Brazil
http://www.wikidata.org/entity/Q184429,Danube Delta,60,Romania
http://www.wikidata.org/entity/Q192522,Çatalhöyük,60,Turkey
http://www.wikidata.org/entity/Q230025,Pasargadae,60,Iran
http://www.wikidata.org/entity/Q36034,Huangshan,60,People's Republic of China
http://www.wikidata.org/entity/Q178124,Surtsey,59,Iceland
http://www.wikidata.org/entity/Q274131,Everglades National Park,59,United States of America
http://www.wikidata.org/entity/Q152225,Bikini Atoll,58,Marshall Islands
http://www.wikidata.org/entity/Q190048,Tassili n'Ajjer,58,Algeria
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Ukraine
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Sweden
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Moldova
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Latvia
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Russia
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Lithuania
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Norway
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Estonia
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Belarus
http://www.wikidata.org/entity/Q192243,Struve Geodetic Arc,58,Finland
http://www.wikidata.org/entity/Q192666,Białowieża Forest,58,Poland
http://www.wikidata.org/entity/Q192666,Białowieża Forest,58,Belarus
http://www.wikidata.org/entity/Q4519,Naqsh-e Jahan Square,58,Iran
http://www.wikidata.org/entity/Q43286,Mogao Caves,58,People's Republic of China
http://www.wikidata.org/entity/Q6396,Neusiedl Lake,57,Hungary
http://www.wikidata.org/entity/Q6396,Neusiedl Lake,57,Austria
http://www.wikidata.org/entity/Q46650,Macquarie Island,57,Australia
http://www.wikidata.org/entity/Q213237,Valdes Peninsula,56,Argentina
http://www.wikidata.org/entity/Q237128,Mesa Verde National Park,56,United States of America
http://www.wikidata.org/entity/Q272153,Sigiriya,56,Sri Lanka
http://www.wikidata.org/entity/Q374096,Chauvet Cave,56,France
http://www.wikidata.org/entity/Q106934,Notre-Dame d'Amiens,55,France
http://www.wikidata.org/entity/Q189764,Pont du Gard,55,France
http://www.wikidata.org/entity/Q193241,Nesebar,55,Bulgaria
http://www.wikidata.org/entity/Q220289,Grand Canyon National Park,55,United States of America
http://www.wikidata.org/entity/Q715124,Teide National Park,55,Spain
http://www.wikidata.org/entity/Q767128,Dasht-e Lut,55,Iran
http://www.wikidata.org/entity/Q22720,Speyer Cathedral,55,Germany
http://www.wikidata.org/entity/Q27356,Hegra,55,Saudi Arabia
http://www.wikidata.org/entity/Q71279,Malbork Castle,54,Poland
http://www.wikidata.org/entity/Q84090,Archbasilica of St. John Lateran,54,Italy
http://www.wikidata.org/entity/Q189358,Kronborg Castle,54,Denmark
http://www.wikidata.org/entity/Q208559,Drottningholm Palace,54,Sweden
http://www.wikidata.org/entity/Q215992,Los Glaciares National Park,54,Argentina
http://www.wikidata.org/entity/Q235878,Kevladev National Park,54,India
http://www.wikidata.org/entity/Q242176,Yakushima,54,Japan
http://www.wikidata.org/entity/Q649384,Elephanta Caves,54,India
http://www.wikidata.org/entity/Q9900,Beemster,54,Netherlands
http://www.wikidata.org/entity/Q40729,Wadi Rum,54,Jordan
http://www.wikidata.org/entity/Q151963,Museum Island,53,Germany
http://www.wikidata.org/entity/Q205367,Château de Chambord,53,France
http://www.wikidata.org/entity/Q207917,Mount Nemrut,53,Turkey
http://www.wikidata.org/entity/Q211778,Lake District,53,United Kingdom
http://www.wikidata.org/entity/Q231699,Basilica of Saint Paul Outside the Walls,53,Italy
http://www.wikidata.org/entity/Q331603,Bhimbetka rock shelters,53,India
http://www.wikidata.org/entity/Q205711,Solovetsky Islands,52,Russia
http://www.wikidata.org/entity/Q215897,Castel del Monte,52,Italy
http://www.wikidata.org/entity/Q223385,Cueva de las Manos,52,Argentina
http://www.wikidata.org/entity/Q242711,Kyiv Pechersk Lavra,52,Ukraine
http://www.wikidata.org/entity/Q244347,Gorée,52,Senegal
http://www.wikidata.org/entity/Q328488,Salonga National Park,52,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q501344,Comoé National Park,52,Côte d'Ivoire
http://www.wikidata.org/entity/Q2211959,Sagarmatha National Park,52,Nepal
http://www.wikidata.org/entity/Q4516,Lorentz National Park,52,Indonesia
http://www.wikidata.org/entity/Q151545,Wartburg,51,Germany
http://www.wikidata.org/entity/Q192201,Wachau,51,Austria
http://www.wikidata.org/entity/Q215429,Grand Place,51,Belgium
http://www.wikidata.org/entity/Q4111,Jiuzhaigou Valley,51,People's Republic of China
http://www.wikidata.org/entity/Q9278,Abu Mena,51,Egypt
http://www.wikidata.org/entity/Q15875,Idrija,51,Slovenia
http://www.wikidata.org/entity/Q166479,St Kilda,50,United Kingdom
http://www.wikidata.org/entity/Q202494,Canal du Midi,50,France
http://www.wikidata.org/entity/Q207692,Wuyi Mountains,50,People's Republic of China
http://www.wikidata.org/entity/Q214827,Copán,50,Honduras
http://www.wikidata.org/entity/Q305044,Somapura Mahavihara,50,Bangladesh
http://www.wikidata.org/entity/Q372093,Olympic National Park,50,United States of America
http://www.wikidata.org/entity/Q744420,Burgos Cathedral,50,Spain
http://www.wikidata.org/entity/Q752091,Konark Sun temple,50,India
http://www.wikidata.org/entity/Q830054,Saint Sophia Cathedral,50,Ukraine
http://www.wikidata.org/entity/Q1075023,Chitwan National Park,50,Nepal
http://www.wikidata.org/entity/Q4132,Summer Palace,50,People's Republic of China
http://www.wikidata.org/entity/Q61757,Hortobágy National Park,50,Hungary
http://www.wikidata.org/entity/Q189113,L'Anse aux Meadows,49,Canada
http://www.wikidata.org/entity/Q201428,Palace of Fontainebleau,49,France
http://www.wikidata.org/entity/Q210055,Mehmed Paša Sokolović Bridge,49,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q212214,Amalfi Coast,49,Italy
http://www.wikidata.org/entity/Q245151,Tower of Hercules,49,Spain
http://www.wikidata.org/entity/Q532440,Sundarbans National Park,49,India
http://www.wikidata.org/entity/Q1244337,Canaima National Park,49,Venezuela
http://www.wikidata.org/entity/Q4187,Wulingyuan,49,People's Republic of China
http://www.wikidata.org/entity/Q156439,Reichenau Island,48,Germany
http://www.wikidata.org/entity/Q242681,Mammoth Cave National Park,48,United States of America
http://www.wikidata.org/entity/Q272781,Jerónimos Monastery,48,Portugal
http://www.wikidata.org/entity/Q273834,Longmen Grottoes,48,People's Republic of China
http://www.wikidata.org/entity/Q333661,Cahokia,48,United States of America
http://www.wikidata.org/entity/Q391338,Wood Buffalo National Park,48,Canada
http://www.wikidata.org/entity/Q394443,Polonnaruwa,48,Sri Lanka
http://www.wikidata.org/entity/Q457304,Okapi Wildlife Reserve,48,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q463141,Doñana National and Natural Park,48,Spain
http://www.wikidata.org/entity/Q506511,Manas National Park,48,India
http://www.wikidata.org/entity/Q1292442,Suomenlinna,48,Finland
http://www.wikidata.org/entity/Q275,Forth Bridge,48,United Kingdom
http://www.wikidata.org/entity/Q190060,Citadel of the Hồ Dynasty,47,Vietnam
http://www.wikidata.org/entity/Q205952,Hawaiʻi Volcanoes National Park,47,United States of America
http://www.wikidata.org/entity/Q207193,Skellig Michael,47,Republic of Ireland
http://www.wikidata.org/entity/Q208633,Ponte Vecchio,47,Italy
http://www.wikidata.org/entity/Q210957,Antonine Wall,47,United Kingdom
http://www.wikidata.org/entity/Q244952,Santa Maria delle Grazie,47,Italy
http://www.wikidata.org/entity/Q273456,Omo River,47,Ethiopia
http://www.wikidata.org/entity/Q276553,Boyana Church,47,Bulgaria
http://www.wikidata.org/entity/Q318181,Gobustan National Park,47,Azerbaijan
http://www.wikidata.org/entity/Q330095,Vredefort crater,47,South Africa
http://www.wikidata.org/entity/Q464942,Garajonay National Park,47,Spain
http://www.wikidata.org/entity/Q679891,Niokolo-Koba National Park,47,Senegal
http://www.wikidata.org/entity/Q2268839,Selous Game Reserve,47,Tanzania
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,Slovenia
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,Switzerland
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,Italy
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,Germany
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,France
http://www.wikidata.org/entity/Q4580,prehistoric pile dwellings around the Alps,47,Austria
http://www.wikidata.org/entity/Q37222,Bagrati Cathedral,47,Georgia
http://www.wikidata.org/entity/Q207985,Bourges Cathedral,46,France
http://www.wikidata.org/entity/Q208181,Blenheim Palace,46,United Kingdom
http://www.wikidata.org/entity/Q210610,Golestan Palace,46,Iran
http://www.wikidata.org/entity/Q235884,Chhatrapati Shivaji Maharaj Terminus,46,India
http://www.wikidata.org/entity/Q308807,Acacus Mountains,46,Libya
http://www.wikidata.org/entity/Q308893,Garamba National Park,46,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q309426,Kasubi Tombs,46,Uganda
http://www.wikidata.org/entity/Q328577,Taï National Park,46,Côte d'Ivoire
http://www.wikidata.org/entity/Q379759,Henderson Island,46,United Kingdom
http://www.wikidata.org/entity/Q391406,Mỹ Sơn,46,Vietnam
http://www.wikidata.org/entity/Q392365,Vlkolínec,46,Slovakia
http://www.wikidata.org/entity/Q457453,Villa Tugendhat,46,Czech Republic
http://www.wikidata.org/entity/Q464004,Great Smoky Mountains National Park,46,United States of America
http://www.wikidata.org/entity/Q464913,Cidade Velha,46,Cape Verde
http://www.wikidata.org/entity/Q504315,Simien Mountains National Park,46,Ethiopia
http://www.wikidata.org/entity/Q824602,Puerto Princesa Subterranean River National Park,46,Philippines
http://www.wikidata.org/entity/Q948975,Inca road system,46,Peru
http://www.wikidata.org/entity/Q948975,Inca road system,46,Bolivia
http://www.wikidata.org/entity/Q948975,Inca road system,46,Colombia
http://www.wikidata.org/entity/Q948975,Inca road system,46,Ecuador
http://www.wikidata.org/entity/Q948975,Inca road system,46,Chile
http://www.wikidata.org/entity/Q948975,Inca road system,46,Argentina
http://www.wikidata.org/entity/Q1256501,Jameh Mosque of Isfahan,46,Iran
http://www.wikidata.org/entity/Q28061,Quebrada de Humahuaca,46,Argentina
http://www.wikidata.org/entity/Q214007,Tsodilo,45,Botswana
http://www.wikidata.org/entity/Q215315,Kernavė,45,Lithuania
http://www.wikidata.org/entity/Q272771,Calakmul,45,Mexico
http://www.wikidata.org/entity/Q272777,Hadrian's Villa,45,Italy
http://www.wikidata.org/entity/Q273195,Carlsbad Caverns National Park,45,United States of America
http://www.wikidata.org/entity/Q331996,Vizcaya Bridge,45,Spain
http://www.wikidata.org/entity/Q391229,Tournai Cathedral,45,Belgium
http://www.wikidata.org/entity/Q457324,Kahuzi-Biéga National Park,45,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q477157,Changdeokgung,45,South Korea
http://www.wikidata.org/entity/Q501638,Shirakami-Sanchi,45,Japan
http://www.wikidata.org/entity/Q501833,Wadi Al-Hitan,45,Egypt
http://www.wikidata.org/entity/Q503823,Tomb of Askia,45,Mali
http://www.wikidata.org/entity/Q603622,Kazan Kremlin,45,Russia
http://www.wikidata.org/entity/Q679568,Purnululu National Park,45,Australia
http://www.wikidata.org/entity/Q4522,Ujung Kulon National Park,45,Indonesia
http://www.wikidata.org/entity/Q155743,Centennial Hall,44,Poland
http://www.wikidata.org/entity/Q209705,Roskilde Cathedral,44,Denmark
http://www.wikidata.org/entity/Q210678,Urnes Stave Church,44,Norway
http://www.wikidata.org/entity/Q270725,Novodevichy Convent,44,Russia
http://www.wikidata.org/entity/Q277576,Putorana Plateau,44,Russia
http://www.wikidata.org/entity/Q308805,Yungang Grottoes,44,People's Republic of China
http://www.wikidata.org/entity/Q391391,Nahanni National Park Reserve,44,Canada
http://www.wikidata.org/entity/Q500367,Beni Hammad Fort,44,Algeria
http://www.wikidata.org/entity/Q503835,Manovo-Gounda St. Floris National Park,44,Central African Republic
http://www.wikidata.org/entity/Q539518,Banc d'Arguin National Park,44,Mauritania
http://www.wikidata.org/entity/Q593870,Virgin Komi Forests,44,Russia
http://www.wikidata.org/entity/Q622865,Hollókő,44,Hungary
http://www.wikidata.org/entity/Q748211,Old Town of Prague,44,Czech Republic
http://www.wikidata.org/entity/Q750245,"Piazza del Duomo, Pisa",44,Italy
http://www.wikidata.org/entity/Q817250,Pattadakal,44,India
http://www.wikidata.org/entity/Q1353292,Vatnajökull National Park,44,Iceland
http://www.wikidata.org/entity/Q4531,Soltaniyeh,44,Iran
http://www.wikidata.org/entity/Q28361,Belize Barrier Reef,44,Belize
http://www.wikidata.org/entity/Q120314,Mount Wutai,43,People's Republic of China
http://www.wikidata.org/entity/Q209643,Mir Castle Complex,43,Belarus
http://www.wikidata.org/entity/Q217449,Val d'Orcia,43,Italy
http://www.wikidata.org/entity/Q217487,Shark Bay,43,Australia
http://www.wikidata.org/entity/Q219279,Caral,43,Peru
http://www.wikidata.org/entity/Q319296,Madara Rider,43,Bulgaria
http://www.wikidata.org/entity/Q379080,Fort Jesus,43,Kenya
http://www.wikidata.org/entity/Q385086,Khirokitia,43,Cyprus
http://www.wikidata.org/entity/Q499517,Qasr Amra,43,Jordan
http://www.wikidata.org/entity/Q505617,Villa Romana del Casale,43,Italy
http://www.wikidata.org/entity/Q605897,Valley of Flowers National Park,43,India
http://www.wikidata.org/entity/Q645157,Poblet Monastery,43,Spain
http://www.wikidata.org/entity/Q799893,Mosque City of Bagerhat,43,Bangladesh
http://www.wikidata.org/entity/Q834893,Kinabalu Park,43,Malaysia
http://www.wikidata.org/entity/Q846967,Nan Madol,43,Federated States of Micronesia
http://www.wikidata.org/entity/Q4521,Tropical Rainforest Heritage of Sumatra,43,Indonesia
http://www.wikidata.org/entity/Q45949,Preah Vihear Temple,43,Cambodia
http://www.wikidata.org/entity/Q60977,Anjar,43,Lebanon
http://www.wikidata.org/entity/Q153430,Bryggen,42,Norway
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,North Macedonia
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Romania
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Slovenia
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Slovakia
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Ukraine
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Switzerland
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Poland
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Spain
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Croatia
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Albania
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Bulgaria
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Czech Republic
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Germany
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,France
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Austria
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Italy
http://www.wikidata.org/entity/Q156011,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,42,Belgium
http://www.wikidata.org/entity/Q156675,Wieskirche,42,Germany
http://www.wikidata.org/entity/Q157550,Abbey and Altenmünster of Lorsch,42,Germany
http://www.wikidata.org/entity/Q181123,Sanchi,42,India
http://www.wikidata.org/entity/Q202845,Tongariro National Park,42,New Zealand
http://www.wikidata.org/entity/Q205558,Spiš Castle,42,Slovakia
http://www.wikidata.org/entity/Q242741,Erechtheion,42,Greece
http://www.wikidata.org/entity/Q251999,Uluṟu-Kata Tjuṯa National Park,42,Australia
http://www.wikidata.org/entity/Q259313,Semmering railway,42,Austria
http://www.wikidata.org/entity/Q267394,Serra da Capivara National Park,42,Brazil
http://www.wikidata.org/entity/Q272768,Aldabra,42,Seychelles
http://www.wikidata.org/entity/Q289466,Dinosaur Provincial Park,42,Canada
http://www.wikidata.org/entity/Q318422,Quiriguá,42,Guatemala
http://www.wikidata.org/entity/Q390028,Independence Hall,42,United States of America
http://www.wikidata.org/entity/Q508634,Jantar Mantar,42,India
http://www.wikidata.org/entity/Q650546,Bandiagara Escarpment,42,Mali
http://www.wikidata.org/entity/Q651314,Pirin National Park,42,Bulgaria
http://www.wikidata.org/entity/Q755514,Hypogeum of Ħal-Saflieni,42,Malta
http://www.wikidata.org/entity/Q839603,Sangay National Park,42,Ecuador
http://www.wikidata.org/entity/Q1405154,Tsingy de Bemaraha Strict Nature Reserve,42,Madagascar
http://www.wikidata.org/entity/Q4528,Mountain Railways of India,42,India
http://www.wikidata.org/entity/Q46069,Mausoleum of Khoja Ahmed Yasawi,42,Kazakhstan
http://www.wikidata.org/entity/Q46313,Buda Castle,42,Hungary
http://www.wikidata.org/entity/Q122082,Srebarna Nature Reserve,41,Bulgaria
http://www.wikidata.org/entity/Q155188,Rohtas Fort,41,Pakistan
http://www.wikidata.org/entity/Q156292,Augustusburg and Falkenlust Palaces,41,Germany
http://www.wikidata.org/entity/Q211962,Trinity Lavra of St. Sergius,41,Russia
http://www.wikidata.org/entity/Q239028,Stoclet Palace,41,Belgium
http://www.wikidata.org/entity/Q277540,Chan Chan,41,Peru
http://www.wikidata.org/entity/Q277683,Lena Pillars,41,Russia
http://www.wikidata.org/entity/Q458167,Ambohimanga,41,Madagascar
http://www.wikidata.org/entity/Q464695,Fasil Ghebbi,41,Ethiopia
http://www.wikidata.org/entity/Q499552,Zhoukoudian,41,People's Republic of China
http://www.wikidata.org/entity/Q543419,iron pillar of Delhi,41,India
http://www.wikidata.org/entity/Q588009,Lonja de la Seda,41,Spain
http://www.wikidata.org/entity/Q724484,M'zab,41,Algeria
http://www.wikidata.org/entity/Q740104,Qal’at al Bahrain,41,Bahrain
http://www.wikidata.org/entity/Q1353565,Richtersveld,41,South Africa
http://www.wikidata.org/entity/Q69307,Schokland,40,Netherlands
http://www.wikidata.org/entity/Q155699,Abbey of Saint Gall,40,Switzerland
http://www.wikidata.org/entity/Q156308,Muskau Park,40,Poland
http://www.wikidata.org/entity/Q156308,Muskau Park,40,Germany
http://www.wikidata.org/entity/Q157886,Maulbronn Monastery,40,Germany
http://www.wikidata.org/entity/Q158822,Pontcysyllte Aqueduct,40,United Kingdom
http://www.wikidata.org/entity/Q174779,Batalha Monastery,40,Portugal
http://www.wikidata.org/entity/Q257598,Gros Morne National Park,40,Canada
http://www.wikidata.org/entity/Q301815,Thracian Tomb of Kazanlak,40,Bulgaria
http://www.wikidata.org/entity/Q500376,Škocjan Caves,40,Slovenia
http://www.wikidata.org/entity/Q503387,Rock-hewn Churches of Ivanovo,40,Bulgaria
http://www.wikidata.org/entity/Q535577,Itchan Kala,40,Uzbekistan
http://www.wikidata.org/entity/Q650710,Noel Kempff Mercado National Park,40,Bolivia
http://www.wikidata.org/entity/Q696803,Las Médulas,40,Spain
http://www.wikidata.org/entity/Q733676,Djoudj National Bird Sanctuary,40,Senegal
http://www.wikidata.org/entity/Q750675,Belfries of Belgium and France,40,France
http://www.wikidata.org/entity/Q750675,Belfries of Belgium and France,40,Belgium
http://www.wikidata.org/entity/Q756790,Kilimanjaro National Park,40,Tanzania
http://www.wikidata.org/entity/Q826452,Holašovice,40,Czech Republic
http://www.wikidata.org/entity/Q873358,Mount Sanqing,40,People's Republic of China
http://www.wikidata.org/entity/Q61535,Gunung Mulu National Park,40,Malaysia
http://www.wikidata.org/entity/Q156722,Altes Museum,39,Germany
http://www.wikidata.org/entity/Q213988,Skogskyrkogården,39,Sweden
http://www.wikidata.org/entity/Q339489,Brú na Bóinne,39,Republic of Ireland
http://www.wikidata.org/entity/Q375634,Sinharaja Forest Reserve,39,Sri Lanka
http://www.wikidata.org/entity/Q393841,Dead Cities,39,Syria
http://www.wikidata.org/entity/Q490497,Jongmyo,39,South Korea
http://www.wikidata.org/entity/Q500397,Bwindi Impenetrable National Park,39,Uganda
http://www.wikidata.org/entity/Q651278,Dazu Rock Carvings,39,People's Republic of China
http://www.wikidata.org/entity/Q695229,Great Living Chola Temples,39,India
http://www.wikidata.org/entity/Q732554,Chavin de Huantar,39,Peru
http://www.wikidata.org/entity/Q733069,Horezu monastery,39,Romania
http://www.wikidata.org/entity/Q742315,Iguaçu National Park,39,Brazil
http://www.wikidata.org/entity/Q746063,Villa d'Este,39,Italy
http://www.wikidata.org/entity/Q849489,Chora Church,39,Turkey
http://www.wikidata.org/entity/Q870258,Plain of Jars,39,Laos
