,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
140,Austria,140.0,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,wd:Q2685,1806,"Arnold Alois Schwarzenegger (; German: [ˈaʁnɔlt ˈʃvaʁtsn̩ˌʔɛɡɐ]; born July 30, 1947) is an Austrian-American actor, former bodybuilder, film producer, businessman, and former politician who served as the 38th governor of California from 2003 to 2011. As of 2022, he is the most recent Republican governor of California.
Schwarzenegger began lifting weights at the age of 15 and went on to win the Mr. Universe title at age 20, subsequently winning the Mr. Olympia contest seven times; he remains a prominent figure in bodybuilding, and has written many books and articles on it. The Arnold Sports Festival, considered the second-most important bodybuilding event after Mr. Olympia, is named after him. He appeared in the bodybuilding documentary Pumping Iron (1977). Schwarzenegger retired from bodybuilding and gained worldwide fame as a Hollywood action star, with his breakthrough the sword and sorcery epic Conan the Barbarian (1982), a box-office hit with a sequel in 1984. After playing the title character in the science fiction film The Terminator (1984), he starred in the sequels Terminator 2: Judgment Day (1991), Terminator 3: Rise of the Machines (2003), Terminator Genisys (2015), and Terminator: Dark Fate (2019). His other successful action films included Commando (1985), The Running Man (1987), Predator (1987), Red Heat (1988), Total Recall (1990), and True Lies (1994), in addition to comedy films such as Twins (1988), Kindergarten Cop (1990), Junior (1994), and Jingle All the Way (1996). He is the founder of the film production company Oak Productions.As a Republican candidate, Schwarzenegger was first elected on October 7, 2003, in a special recall election to replace then-Governor Gray Davis. He received 48.6% of the vote, 17 points ahead of Democrat runner-up Cruz Bustamante. He was sworn in on November 17 to serve the remainder of Davis' term, and was re-elected in the 2006 California gubernatorial election with an increased vote share of 55.9% to serve a full term as governor. In 2011, he reached his term limit as Governor and returned to acting.
Schwarzenegger was nicknamed the ""Austrian Oak"" in his bodybuilding days, ""Arnie"" or ""Schwarzy"" during his acting career, and ""The Governator"" (a portmanteau of ""Governor"" and ""Terminator"") during his political career. He married Maria Shriver, a niece of President John F. Kennedy, in 1986. They separated in 2011 after he admitted to having fathered a child with their housemaid in 1997; their divorce was finalized in 2021.",https://en.wikipedia.org/wiki/Arnold_Schwarzenegger
158,Azerbaijan,40.0,Aygün Kazimova,http://www.wikidata.org/entity/Q2361757,wd:Q2361757,5527409,"Aygun Alasgar gizi Kazimova (Azerbaijani: Aygün Ələsgər qızı Kazımova) (born 26 January 1971) is an Azerbaijani singer, songwriter, pop musician, and actress.
She is a well known singer in Azerbaijan, Turkey and Russia. Her 2006 and 2007 solo concerts in Moscow and Baku brought her fame. During 2002 – 2006 she was president of the ""Best Model of Azerbaijan"" competition. Her ""Hayat Ona Guzel"" single was the most popular in Turkey on iTunes. Kazimova wrote and sang the anthem of the FIFA U-17 Women's World Cup 2012.  Her duet with Snoop Dogg Coffee from Colombia was a number one hit on the Azerbaijani, Turkish, Czech Republic, Colombian, Georgian and Russian charts. Kazimova has recorded ten albums.",https://en.wikipedia.org/wiki/Aygun_Kazimova
177,Bahrain,49.0,Jacqueline Fernandez,http://www.wikidata.org/entity/Q2312801,wd:Q2312801,10094963,"Jacqueline Fernandez (born 11 August 1985) is a Sri Lankan actress, model and the winner of the Miss Universe Sri Lanka pageant of 2006 who predominantly works in Hindi films. In 2009, she debuted with Aladin and since then has established a career in the Hindi film industry. Fernandez was born and raised in Bahrain to a multiracial Eurasian family of Sri Lankan, Canadian, and Malaysian descent. After graduating in mass communication from the University of Sydney and working as a television reporter in Sri Lanka, she joined the modeling industry. She was crowned Miss Universe Sri Lanka in 2006, and represented her country at Miss Universe 2006.
While on a modelling assignment in India in 2009, Fernandez successfully auditioned for Sujoy Ghosh's fantasy drama Aladin, which marked her acting debut. Fernandez had her breakthrough role with the psychological thriller Murder 2 (2011), her first commercial success. This was followed by glamorous roles in the commercially successful ensemble-comedy Housefull 2 (2012) and the action thriller Race 2 (2013), which garnered her an IIFA Award for Best Supporting Actress nomination. Fernandez went on to star in the top-grossing action film Kick (2014) and the comedies Housefull 3 (2016) and Judwaa 2 (2017).
Alongside her screen acting career, Fernandez has worked as a judge in the ninth season of the dance reality show Jhalak Dikhhla Jaa (2016–2017), is a popular celebrity endorser for various brands and products, has participated in stage shows, and is active in humanitarian work.",https://en.wikipedia.org/wiki/Jacqueline_Fernandez
198,Bangladesh,38.0,EN,http://www.wikidata.org/entity/Q218168,wd:Q218168,436175,error,error
218,Barbados,136.0,Rihanna,http://www.wikidata.org/entity/Q36844,wd:Q36844,2110323,"Robyn Rihanna Fenty  (born February 20, 1988) ( ree-ANN-ə) is a Barbadian singer, actress, fashion designer, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna was discovered by American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, Music of the Sun (2005) and A Girl Like Me (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US Billboard 200 chart.
Rihanna's third album, Good Girl Gone Bad (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&B genres on her next studio albums, Rated R (2009), Loud (2010), Talk That Talk (2011), and Unapologetic (2012), the latter of which became her first Billboard 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, Anti (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborations with artists such as rappers Drake, Eminem, Jay-Z, and Kanye West and singers Adam Levine, Paul McCartney, Ne-Yo, and Shakira.
With sales of over 250 million records worldwide, Rihanna is one of the best-selling music artists of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 Billboard Music Awards, six Guinness World Records, and the NAACP's President's Award. Time named her one of the 100 most influential people in the world in 2012 and 2018. Forbes ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2021, she is the wealthiest female musician, with an estimated net worth of $1.7 billion.Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organisation Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in Battleship (2012), Home (2015), Valerian and the City of a Thousand Planets (2017), and Ocean's 8 (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018, and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.",https://en.wikipedia.org/wiki/Rihanna
224,Belarus,69.0,Alexander Rybak,http://www.wikidata.org/entity/Q131259,wd:Q131259,8127963,"Alexander Igorevich Rybak  (Russian: Александр Игоревич Рыбак) or Alyaxandr Iharavich Rybak (Belarusian: Аляксандр Ігаравіч Рыбак; born 13 May 1986) is a Belarusian-Norwegian singer-composer, violinist, pianist and actor.Though based in Oslo, Rybak extensively worked on television programmes and on tours in Russia, Belarus, Ukraine and Sweden throughout the early 2010s. Singing in mainly English and Russian, Rybak, in his early twenties, held on to a teen idol status in Scandinavia, Eastern Europe, and to a certain extent in Western Asia. His debut 2009 album, Fairytales, charted in the top 20 in nine European countries, including a top position in Norway and Russia. After two pop albums in 2009 and 2010, Rybak desired to be more of a family-orientated artist, focusing on children's and classical music alongside and frequently performed with youth orchestras throughout the world.Rybak is known for his extensive involvement in the Eurovision Song Contest. Representing Norway in the 2009 contest in Moscow, Russia, he won the competition with 387 points—the highest tally any country has achieved in the history of Eurovision under the then voting system—with ""Fairytale"", a song he wrote and composed. Winning at the age of 23, Rybak remains the youngest solo male winner of the contest and the only Belarusian-born winner. His win was celebrated all across Europe for crushing stereotypes about the contest, such as needing an over-the-top performance or the negative influence of neighbour voting.Since then Rybak has been involved several times in the contest. He represented Norway again in the Eurovision Song Contest 2018 in Lisbon, Portugal, with the song ""That's How You Write a Song"", winning the second semi-final and finishing in 15th place in the Grand Final. He provided as an opening act to the Grand Final in 2010 and as an interval act in 2012 and 2016. Rybak has frequently provided commentary on the contest, working as a journalist in 2011, as once-off judge on the Belgian preselection in 2016 and as commentator on his personal social media.",https://en.wikipedia.org/wiki/Alexander_Rybak
244,Belgium,128.0,Audrey Hepburn,http://www.wikidata.org/entity/Q42786,wd:Q42786,52139,"Audrey Hepburn (born Audrey Kathleen Ruston; 4 May 1929 – 20 January 1993) was a British actress and humanitarian. Recognised as both a film and fashion icon, she was ranked by the American Film Institute as the third-greatest female screen legend from the Classical Hollywood cinema and was inducted into the International Best Dressed List Hall of Fame. 
Born in Ixelles, Brussels to an aristocratic family, Hepburn spent parts of her childhood in Belgium, England, and the Netherlands. She studied ballet with Sonia Gaskell in Amsterdam beginning in 1945, and with Marie Rambert in London from 1948. She began performing as a chorus girl in West End musical theatre productions and then had minor appearances in several films. She rose to stardom in the romantic comedy Roman Holiday (1953) alongside Gregory Peck, for which she was the first actress to win an Oscar, a Golden Globe Award, and a BAFTA Award for a single performance. That year, she also won a Tony Award for Best Lead Actress in a Play for her performance in Ondine.
She went on to star in a number of successful films such as Sabrina (1954), in which Humphrey Bogart and William Holden compete for her affection; Funny Face (1957), a musical where she sang her own parts; the drama The Nun's Story (1959); the romantic comedy Breakfast at Tiffany's (1961); the thriller-romance Charade (1963), opposite Cary Grant; and the musical My Fair Lady (1964). In 1967 she starred in the thriller Wait Until Dark, receiving Academy Award, Golden Globe, and BAFTA nominations. After that, she only occasionally appeared in films, one being Robin and Marian (1976) with Sean Connery. Her last recorded performances were in the 1990 documentary television series Gardens of the World with Audrey Hepburn for which she won a Primetime Emmy Award for Outstanding Individual Achievement – Informational Programming.
Hepburn won three BAFTA Awards for Best British Actress in a Leading Role. In recognition of her film career, she received BAFTA's Lifetime Achievement Award, the Golden Globe Cecil B. DeMille Award, the Screen Actors Guild Life Achievement Award, and the Special Tony Award. She remains one of only sixteen people who have won Academy, Emmy, Grammy, and Tony Awards. Later in life, Hepburn devoted much of her time to UNICEF, to which she had contributed since 1954. Between 1988 and 1992, she worked in some of the poorest communities of Africa, South America, and Asia. In December 1992, she received the Presidential Medal of Freedom in recognition of her work as a UNICEF Goodwill Ambassador. A month later, she died of appendiceal cancer at her home in Switzerland at the age of 63.",https://en.wikipedia.org/wiki/Audrey_Hepburn
267,Belize,13.0,Arlen Escarpeta,http://www.wikidata.org/entity/Q957454,wd:Q957454,21563235,"Arlen Alexander Escarpeta is a Belizean-born American actor. He is best known for his roles in the films Friday the 13th, Brotherhood, Final Destination 5, Into the Storm (2014), and most notably, his portrayal of Bobby Brown in the 2015 film Whitney.",https://en.wikipedia.org/wiki/Arlen_Escarpeta
272,Benin,48.0,Djimon Hounsou,http://www.wikidata.org/entity/Q298682,wd:Q298682,468318,"Djimon Gaston Hounsou (; French: [dʒimɔ̃ unsu]; born April 24, 1964) is a Beninese-American actor and model. He began his career appearing in music videos. He made his film debut in Without You I'm Nothing (1990) and earned widespread recognition for his role as Cinqué in the Steven Spielberg film Amistad (1997). He gained further recognition for his roles in Gladiator (2000), In America (2003), and Blood Diamond (2006), receiving Academy Award for Best Supporting Actor nominations for both the latter films. He also played an antagonist in Furious 7 (2015). He has been nominated for a Golden Globe Award and three Screen Actors Guild Awards. He plays an important role as well in the French film Forces spéciales (2011).
In the Marvel Cinematic Universe, he portrays Korath the Pursuer in Guardians of the Galaxy (2014), Captain Marvel (2019) and the second episode of What If...? (2021). In the DC Extended Universe, he appears as the Fisherman King in Aquaman (2018), and as the wizard Shazam in Shazam! (2019) and the upcoming Shazam! Fury of the Gods (2023). He plays Papa Midnite in another DC movie, Constantine (2005).",https://en.wikipedia.org/wiki/Djimon_Hounsou
292,Bhutan,8.0,Neten Chokling,http://www.wikidata.org/entity/Q2391584,wd:Q2391584,24479712,"Neten Chokling Rinpoche (Tibetan: གནས་བརྟན་མཆོག་གླིང་རིན་པོ་ཆེ, Wylie: gnas brtan mchog gling rin po che, THL: né-ten chok-ling rin-po-ché), also referred as to the Fourth Neten Chokling Rinpoche, is a Tibetan actor.",https://en.wikipedia.org/wiki/Neten_Chokling
300,Bolivia,15.0,Verona Pooth,http://www.wikidata.org/entity/Q68027,wd:Q68027,5153356,"Verona Pooth (née Feldbusch; born 30 April 1968) is a German television personality, model, and occasional actress. In 1993, she was Miss Germany and Miss Intercontinental and represented Germany at the Miss Universe 1993 contest.",https://en.wikipedia.org/wiki/Verona_Pooth
316,Bosnia and Herzegovina,75.0,Emir Kusturica,http://www.wikidata.org/entity/Q94882,wd:Q94882,429800,"Emir Kusturica (Serbian Cyrillic: Емир Кустурица; born 24 November 1954) is a Serbian film director, screenwriter, actor, producer and musician. He also has French citizenship. Kusturica is one of the most-distinguished European filmmakers since the mid-1980s, best known for surreal and naturalistic movies that express deep sympathies for people from the margins. He has also been recognized for his projects in town-building. He has competed at the Cannes Film Festival on five occasions and won the Palme d'Or twice (for When Father Was Away on Business and Underground), as well as the Best Director prize for Time of the Gypsies. 
Kusturica has also won a Silver Bear at the Berlin Film Festival for Arizona Dream, a Silver Lion at the Venice Film Festival for Black Cat, White Cat and a Silver Lion for Best First Work for Do You Remember Dolly Bell?. In addition he was also named Commander of the French Ordre des Arts et des Lettres.Since the mid-2000s, Kusturica's primary residence has been in Drvengrad, a town built for his film Life Is a Miracle, in the Mokra Gora region of Serbia. He had portions of the historic village reconstructed for the film. He has been a member of the Academy of Sciences and Arts of the Republika Srpska since 9 November 2011. Among other accolades, Kusturica became a UNICEF ambassador in 2002 and eight years later he was made a chevalier of the Legion of Honour in France. He published an autobiography ""Smrt je neprovjerena glasina"" (“Death Is an Unverified Rumour”) in 2010, followed by a book of fiction, ""Sto jada"" (“Hundreds of Troubles”), in 2013.",https://en.wikipedia.org/wiki/Emir_Kusturica
343,Botswana,7.0,Connie Ferguson,http://www.wikidata.org/entity/Q18206959,wd:Q18206959,44020944,"Constance Ferguson (née Masilo; born 10 June 1970) is a South African based Botswana actress, filmmaker, producer and businesswoman. She is best known for her role as ""Karabo Moroka"" on South Africa's most popular soap opera, Generations. She starred on the show from its start in 1994 until she exited in 2010. In 2014, she reprised her role on the show after a 4-year absence for a short term. Ferguson was on the cover of Forbes Woman Africa magazine in 2018.",https://en.wikipedia.org/wiki/Connie_Ferguson
357,Brazil,101.0,Marjorie Estiano,http://www.wikidata.org/entity/Q288933,wd:Q288933,3786159,"Marjorie Estiano (born March 8, 1982) is a Brazilian actress and singer-songwriter. She became nationally known for her role in Rede Globo's teen soap opera Malhação.
In film, Estiano was the lead role in Time and the Wind, Good Manners, among others.In television, she was the lead role in three telenovelas, including Emmy award-winning Side by Side, and four series. In 2019, she was nominated for the International Emmy Award for Best Actress for her role in Sob Pressão.",https://en.wikipedia.org/wiki/Marjorie_Estiano
376,Brunei,21.0,Wu Chun,http://www.wikidata.org/entity/Q701041,wd:Q701041,9130264,"Wu Chun (Chinese: 吳尊; born Goh Kiat Chun on 10 October 1979) is a Bruneian actor, singer, and model. He was a member of Fahrenheit, a Taiwanese Mandopop vocal quartet boy band, from its debut in 2005 to June 2011, singing bass. Wu has appeared in several Taiwanese television series, such as Tokyo Juliet (2006), Hanazakarino Kimitachihe (2006), Romantic Princess (2007), Hot Shot (2008), Sunshine Angel (2011), and Kindaichi Case Files (2012–2013). His film appearances include The Butterfly Lovers (2008), Lady of the Dynasty (2014).
In 2014, he appeared in the reality television program, Dad is Back with his daughter, Nei Nei. In 2018, he was cast in the Chinese drama, Martial Universe. In 2018, Wu Chun appeared with his father, Wu Jingtian, in a reality tv show called Best Time. In early 2020, a reality TV show called Before Wedding with his wife in his home country Brunei and was a great success and well received all over China hitting 1.5 billion viewers. He was also honored in Madame Tussauds, a prestigious wax figure exhibit launch in Shanghai China after being on an almost year hiatus in showbiz.
In 2020, he took part in a marine life protection campaign and was appointed as an ocean protection ambassador of Merlin Entertainments Group China, specifically advocating for the preservation of Beluga whales. He became the Pangolins Protection Ambassador for The World Wildlife Fund.
In Brunei, he was appointed as the Goodwill Ambassador and Messenger of Cancer Awareness; Wu's mother had died from cancer.",https://en.wikipedia.org/wiki/Wu_Chun
383,Bulgaria,72.0,Nina Dobrev,http://www.wikidata.org/entity/Q183439,wd:Q183439,8900348,"Nikolina Kamenova Dobreva (Bulgarian: Николина Каменова Добрева, pronounced [ˈnikolinɐ ˈdɔbrɛvɐ]; born January 9, 1989), known professionally as Nina Dobrev ( DOH-brev), is a Canadian actress. Her first acting role was as Mia Jones in the CTV drama series Degrassi: The Next Generation. She later became known for portraying Elena Gilbert and Katherine Pierce on The CW's supernatural drama series The Vampire Diaries.
Dobrev has also appeared in several feature films, including the 2012 coming-of-age drama The Perks of Being a Wallflower, the 2014 action comedy Let's Be Cops, the 2015 horror comedy The Final Girls, the 2017 action thriller XXX: Return of Xander Cage, and the 2017 science-fiction drama Flatliners.",https://en.wikipedia.org/wiki/Nina_Dobrev
407,Burkina Faso,20.0,Jacky Ido,http://www.wikidata.org/entity/Q731602,wd:Q731602,24085228,"Jacky Ido (born 14 May 1977) is a Burkinabé-born French actor. His first role was as Lemalian in the 2005 German film, The White Masai. He is best known to English-language audiences for his role as Marcel, the film projectionist in Quentin Tarantino's 2009 film, Inglourious Basterds. Ido's brother Cédric Ido, who is also an actor, has directed him in the short Hasaki Ya Suda. Ido works and resides in Paris, France and, as of 2010, is working on an album of slam poetry.In 2014, Ido starred as Leo Romba in the short lived French-American television series Taxi Brooklyn. In 2015, he was cast opposite Mireille Enos in the ABC legal thriller, The Catch produced by Shonda Rhimes.",https://en.wikipedia.org/wiki/Jacky_Ido
420,Burundi,4.0,Consolate Sipérius,http://www.wikidata.org/entity/Q29021598,wd:Q29021598,69160028,"Consolate Sipérius (born 20 March 1989), is a Burundian-Belgian actress particularly active in French cinema and theatre.",https://en.wikipedia.org/wiki/Consolate_Sip%C3%A9rius
