,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description
12,7,Algeria,40,Monica of Hippo,http://www.wikidata.org/entity/Q234689,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,wd:Q234689,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine,740416,Christian saint; mother of St. Augustine
13,8,Algeria,33,Sofia Boutella,http://www.wikidata.org/entity/Q258777,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",wd:Q258777,14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast",14882980,"Algerian-French actress, dancer and former rhythmic gymnast"
14,9,Algeria,32,Dihya,http://www.wikidata.org/entity/Q284295,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,wd:Q284295,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen,1234207,Berber warrior queen
15,10,Algeria,30,Edwige Fenech,http://www.wikidata.org/entity/Q266229,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,wd:Q266229,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress,2393673,French-Italian actress
16,11,Algeria,29,Hassiba Boulmerka,http://www.wikidata.org/entity/Q233870,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,wd:Q233870,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete,628737,Algerian middle distance athlete
17,12,Algeria,29,Thelma Schoonmaker,http://www.wikidata.org/entity/Q166887,American film editor,2976893,American film editor,2976893,American film editor,2976893,American film editor,2976893,American film editor,2976893,American film editor,2976893,American film editor,wd:Q166887,2976893,American film editor,2976893,American film editor,2976893,American film editor,2976893,American film editor
18,13,Algeria,29,Marlène Jobert,http://www.wikidata.org/entity/Q272183,French actress,447845,French actress,447845,French actress,447845,French actress,447845,French actress,447845,French actress,447845,French actress,wd:Q272183,447845,French actress,447845,French actress,447845,French actress,447845,French actress
19,14,Algeria,27,Souad Massi,http://www.wikidata.org/entity/Q236370,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,wd:Q236370,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer,2597169,Algerian singer
20,15,Algeria,27,Valérie Benguigui,http://www.wikidata.org/entity/Q3554229,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,wd:Q3554229,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen,38782159,French actress of stage and screen
21,16,Algeria,27,"Princess Charlotte, Duchess of Valentinois",http://www.wikidata.org/entity/Q254060,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",wd:Q254060,161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)",161393,"daughter of Louis II, Prince of Monaco; mother of Rainier III, Prince of Monaco (1898-1977)"
22,17,Algeria,26,Nicole Garcia,http://www.wikidata.org/entity/Q434060,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",wd:Q434060,6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer",6631702,"French actress, film director and writer"
23,18,Algeria,25,Nouria Mérah-Benida,http://www.wikidata.org/entity/Q234986,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,wd:Q234986,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor,3685072,athletics competitor
24,19,Algeria,25,Warda Al-Jazairia,http://www.wikidata.org/entity/Q268615,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),wd:Q268615,956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012),956082,Algerian singer (1939-2012)
25,20,Algeria,24,Salima Ghezali,http://www.wikidata.org/entity/Q127304,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,wd:Q127304,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer,16086891,Algerian writer
26,21,Algeria,24,Soraya Haddad,http://www.wikidata.org/entity/Q593317,judoka,18810026,judoka,18810026,judoka,18810026,judoka,18810026,judoka,18810026,judoka,18810026,judoka,wd:Q593317,18810026,judoka,18810026,judoka,18810026,judoka,18810026,judoka
27,22,Algeria,22,Zaho,http://www.wikidata.org/entity/Q144166,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,wd:Q144166,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer,19333422,Algerian-Canadian singer
28,23,Algeria,22,Ahlam Mosteghanemi,http://www.wikidata.org/entity/Q1772341,Algerian writer,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer,wd:Q1772341,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer,966330,Algerian writer
29,24,Algeria,20,Lalla Fatma N'Soumer,http://www.wikidata.org/entity/Q2636619,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,wd:Q2636619,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader,1491346,Algerian anticolonial leader
30,25,Andorra,26,Susanne Georgi,http://www.wikidata.org/entity/Q236034,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,wd:Q236034,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer,10936764,Danish singer
31,26,Andorra,23,Marta Roure,http://www.wikidata.org/entity/Q275912,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,wd:Q275912,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer,6292897,Andorran singer
32,27,Andorra,14,Marian van de Wal,http://www.wikidata.org/entity/Q264615,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,wd:Q264615,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer,2423715,Dutch singer
33,28,Andorra,13,Maria Ubach,http://www.wikidata.org/entity/Q55955802,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,wd:Q55955802,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra,61016241,politician of Andorra
34,29,Andorra,11,Mireia Gutiérrez,http://www.wikidata.org/entity/Q462834,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,wd:Q462834,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier,26524759,Andorran alpine skier
35,30,Angola,36,Leila Lopes,http://www.wikidata.org/entity/Q232501,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",wd:Q232501,30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011",30107294,"Miss Angola 2011, Miss Universe 2011"
36,31,Angola,36,Nzingha Mbande,http://www.wikidata.org/entity/Q467650,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),wd:Q467650,419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663),419490,17th-century queen regnant of the Ndongo and Matamba Kingdoms of the Mbundu people in Angola (1583-1663)
37,32,Angola,27,Isabel dos Santos,http://www.wikidata.org/entity/Q456034,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,wd:Q456034,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman
38,116,Azerbaijan,27,Isabel dos Santos,http://www.wikidata.org/entity/Q456034,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,wd:Q456034,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman,12662959,Angolan Businesswoman
39,33,Angola,16,Maria Borges,http://www.wikidata.org/entity/Q18534020,Angolan model,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model,wd:Q18534020,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model,44359177,Angolan model
40,34,Angola,15,Antonia Moreira,http://www.wikidata.org/entity/Q463073,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,wd:Q463073,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka,13587334,Angolan judoka
41,35,Angola,14,Alda Lara,http://www.wikidata.org/entity/Q535235,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,wd:Q535235,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer,1151234,Portuguese writer
42,36,Angola,11,Isabel Guialo,http://www.wikidata.org/entity/Q3359430,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,wd:Q3359430,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player,33967584,Angolan handball player
43,37,Angola,11,Marcelina Kiala,http://www.wikidata.org/entity/Q3493825,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,wd:Q3493825,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player,18685340,Angolan handball player
44,38,Angola,11,Luisa Kiala,http://www.wikidata.org/entity/Q3499453,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,wd:Q3499453,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player,33967628,Angolan handball player
45,39,Angola,11,Ana Paula Tavares,http://www.wikidata.org/entity/Q460121,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,wd:Q460121,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer,7887206,Angolan writer
46,40,Angola,11,Deolinda Rodríguez de Almeida,http://www.wikidata.org/entity/Q22665691,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",wd:Q22665691,49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator",49333348,"Angolan nationalist, heroine, militant, writer, and translator"
47,41,Antigua and Barbuda,27,Jamaica Kincaid,http://www.wikidata.org/entity/Q275601,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",wd:Q275601,939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer",939039,"Antiguan-American novelist, essayist, gardener, and gardening writer"
48,42,Antigua and Barbuda,23,Louise Lake-Tack,http://www.wikidata.org/entity/Q232610,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,wd:Q232610,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda,12315519,Governor-General of Antigua and Barbuda
49,43,Argentina,111,Cristina Fernández de Kirchner,http://www.wikidata.org/entity/Q40649,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",wd:Q40649,1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina",1644780,"president of Argentina from 2007 to 2015, vicepresident of Argentina"
50,44,Argentina,98,Eva Perón,http://www.wikidata.org/entity/Q40933,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),wd:Q40933,51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952),51584,Argentinian actress and politician (1919-1952)
51,45,Argentina,66,Isabel Martínez de Perón,http://www.wikidata.org/entity/Q191014,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,wd:Q191014,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976,209191,President of Argentina from 1974 to 1976
52,46,Argentina,54,Queen Máxima of the Netherlands,http://www.wikidata.org/entity/Q460960,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,wd:Q460960,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands,102274,Queen consort of the Netherlands
53,47,Argentina,52,Martha Argerich,http://www.wikidata.org/entity/Q156810,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,wd:Q156810,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist,52395,Argentine/Swiss pianist
54,48,Argentina,51,Mercedes Sosa,http://www.wikidata.org/entity/Q216450,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),wd:Q216450,476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009),476992,Argentine singer (1935-2009)
55,49,Armenia,47,Sirusho,http://www.wikidata.org/entity/Q229383,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,wd:Q229383,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer,12060871,Armenian singer
56,50,Armenia,42,Ivetà Mukutxian,http://www.wikidata.org/entity/Q3539876,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,wd:Q3539876,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer,37859507,Armenian singer
57,51,Armenia,39,Eva Rivas,http://www.wikidata.org/entity/Q235880,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,wd:Q235880,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer,26198691,Armenian singer
