country,number,Rank,item,item_id,shortform,pageid,wikidata_description
Republic of Ireland,218,1,Dublin,http://www.wikidata.org/entity/Q1761,wd:Q1761,8504,capital city of Ireland
Israel,269,1,Jerusalem,http://www.wikidata.org/entity/Q1218,wd:Q1218,16043,"city in Western Asia, claimed by both Israel and the Palestinian Authority as its capital"
Italy,313,1,Rome,http://www.wikidata.org/entity/Q220,wd:Q220,25458,capital and largest city of Italy
Jamaica,143,1,Kingston,http://www.wikidata.org/entity/Q34692,wd:Q34692,37408,capital of Jamaica
Japan,274,1,Tokyo,http://www.wikidata.org/entity/Q1490,wd:Q1490,30057,capital and most populous prefecture of Japan
Jordan,177,1,Amman,http://www.wikidata.org/entity/Q3805,wd:Q3805,45007,capital of Jordan
Kazakhstan,197,1,Nur-Sultan,http://www.wikidata.org/entity/Q1520,wd:Q1520,56602,capital of Kazakhstan
Kenya,205,1,Nairobi,http://www.wikidata.org/entity/Q3870,wd:Q3870,21482,capital city of Kenya
Kiribati,87,1,South Tarawa,http://www.wikidata.org/entity/Q131233,wd:Q131233,1039944,capital of Kiribati
Kosovo,144,1,Pristina,http://www.wikidata.org/entity/Q25270,wd:Q25270,15839892,capital of Kosovo
Kuwait,156,1,Kuwait City,http://www.wikidata.org/entity/Q35178,wd:Q35178,57021,capital of Kuwait
Kyrgyzstan,170,1,Bishkek,http://www.wikidata.org/entity/Q9361,wd:Q9361,4554,capital of Kyrgyzstan
Laos,159,1,Vientiane,http://www.wikidata.org/entity/Q9326,wd:Q9326,23508076,capital of Laos
Latvia,211,1,Riga,http://www.wikidata.org/entity/Q1773,wd:Q1773,25508,capital and largest city of Latvia
Lebanon,196,1,Beirut,http://www.wikidata.org/entity/Q3820,wd:Q3820,37428,capital of Lebanon
Lesotho,141,1,Maseru,http://www.wikidata.org/entity/Q3909,wd:Q3909,57047,capital of Lesotho
Liberia,147,1,Monrovia,http://www.wikidata.org/entity/Q3748,wd:Q3748,285213,capital city of Liberia
Libya,171,1,Tripoli,http://www.wikidata.org/entity/Q3579,wd:Q3579,31232,capital city of Libya
Liechtenstein,170,1,Vaduz,http://www.wikidata.org/entity/Q1844,wd:Q1844,59036,capital of Liechtenstein
Lithuania,217,1,Vilnius,http://www.wikidata.org/entity/Q216,wd:Q216,32597,capital and largest city of Lithuania
Luxembourg,155,1,Luxembourg,http://www.wikidata.org/entity/Q1842,wd:Q1842,57035,capital city of the country Luxembourg
Madagascar,153,1,Antananarivo,http://www.wikidata.org/entity/Q3915,wd:Q3915,56597,capital of Madagascar
Malawi,139,1,Lilongwe,http://www.wikidata.org/entity/Q3876,wd:Q3876,57030,capital of Malawi
Malaysia,191,1,Kuala Lumpur,http://www.wikidata.org/entity/Q1865,wd:Q1865,16854,capital of Malaysia
Maldives,143,1,Malé,http://www.wikidata.org/entity/Q9347,wd:Q9347,57040,capital of Maldives
Mali,167,1,Bamako,http://www.wikidata.org/entity/Q3703,wd:Q3703,56606,capital of Mali
Malta,162,1,Valletta,http://www.wikidata.org/entity/Q23800,wd:Q23800,57664,capital of Malta
Marshall Islands,112,1,Majuro,http://www.wikidata.org/entity/Q12919,wd:Q12919,57037,"coral atoll, capital of the Marshall Islands"
Mauritania,143,1,Nouakchott,http://www.wikidata.org/entity/Q3688,wd:Q3688,51592,capital of Mauritania
Mauritius,141,1,Port Louis,http://www.wikidata.org/entity/Q3929,wd:Q3929,57378,capital of Mauritius
Mexico,231,1,Mexico City,http://www.wikidata.org/entity/Q1489,wd:Q1489,18987,capital city of Mexico
Federated States of Micronesia,105,1,Palikir,http://www.wikidata.org/entity/Q42751,wd:Q42751,99394,capital of Federated States of Micronesia
Moldova,182,1,Chișinău,http://www.wikidata.org/entity/Q21197,wd:Q21197,56635,capital of Moldova
Mongolia,177,1,Ulaanbaatar,http://www.wikidata.org/entity/Q23430,wd:Q23430,67397,capital of Mongolia
Montenegro,171,1,Podgorica,http://www.wikidata.org/entity/Q23564,wd:Q23564,172136,capital city of Montenegro
Morocco,174,1,Rabat,http://www.wikidata.org/entity/Q3551,wd:Q3551,57400,capital of Morocco
Mozambique,153,1,Maputo,http://www.wikidata.org/entity/Q3889,wd:Q3889,57044,capital of Mozambique
Myanmar,137,1,Naypyidaw,http://www.wikidata.org/entity/Q37400,wd:Q37400,2270051,capital city of Myanmar (Burma)
Namibia,162,1,Windhoek,http://www.wikidata.org/entity/Q3935,wd:Q3935,57669,capital of the Republic of Namibia
Nauru,103,1,Yaren District,http://www.wikidata.org/entity/Q31026,wd:Q31026,59028,district and de facto capital of Nauru
Nepal,182,1,Kathmandu,http://www.wikidata.org/entity/Q3037,wd:Q3037,17168,capital of Nepal
Netherlands,256,1,Amsterdam,http://www.wikidata.org/entity/Q727,wd:Q727,844,capital and most populous city of the Netherlands
New Zealand,175,1,Wellington,http://www.wikidata.org/entity/Q23661,wd:Q23661,33804,"capital of New Zealand; urban area of the cities of Wellington, Lower Hutt, Upper Hutt, and Porirua"
Nicaragua,144,1,Managua,http://www.wikidata.org/entity/Q3274,wd:Q3274,57042,capital of Nicaragua
Niger,147,1,Niamey,http://www.wikidata.org/entity/Q3674,wd:Q3674,57061,capital of Niger
Nigeria,171,1,Abuja,http://www.wikidata.org/entity/Q3787,wd:Q3787,56823,capital city of Nigeria
North Korea,178,1,Pyongyang,http://www.wikidata.org/entity/Q18808,wd:Q18808,47948,capital city of North Korea
North Macedonia,184,1,Skopje,http://www.wikidata.org/entity/Q384,wd:Q384,29618,capital city of North Macedonia
Norway,229,1,Oslo,http://www.wikidata.org/entity/Q585,wd:Q585,22309,capital city of Norway
Oman,152,1,Muscat,http://www.wikidata.org/entity/Q3826,wd:Q3826,57053,capital of Oman
Pakistan,184,1,Karachi,http://www.wikidata.org/entity/Q8660,wd:Q8660,17123,"Provincial capital of Sindh, Pakistan"
Palau,78,1,Ngerulmud,http://www.wikidata.org/entity/Q515229,wd:Q515229,23804937,capital of Palau
State of Palestine,147,1,Bethlehem,http://www.wikidata.org/entity/Q5776,wd:Q5776,4312,city in the State of Palestine
Panama,142,1,Panama City,http://www.wikidata.org/entity/Q3306,wd:Q3306,57361,capital of Panama
Papua New Guinea,137,1,Port Moresby,http://www.wikidata.org/entity/Q36526,wd:Q36526,57387,capital of Papua New Guinea
Paraguay,165,1,Asunción,http://www.wikidata.org/entity/Q2933,wd:Q2933,56836,capital of Paraguay
Peru,197,1,Lima,http://www.wikidata.org/entity/Q2868,wd:Q2868,85423,capital of Peru
Philippines,188,1,Manila,http://www.wikidata.org/entity/Q1461,wd:Q1461,184334,capital city of the Philippines
Poland,263,1,Warsaw,http://www.wikidata.org/entity/Q270,wd:Q270,32908,capital and largest city of Poland
Portugal,242,1,Lisbon,http://www.wikidata.org/entity/Q597,wd:Q597,18091,capital city of Portugal
Qatar,171,1,Doha,http://www.wikidata.org/entity/Q3861,wd:Q3861,26214389,capital of Qatar
Romania,221,1,Bucharest,http://www.wikidata.org/entity/Q19660,wd:Q19660,36877,capital and largest city of Romania
Russia,322,1,Moscow,http://www.wikidata.org/entity/Q649,wd:Q649,19004,capital and most populous city of Russia
Rwanda,148,1,Kigali,http://www.wikidata.org/entity/Q3859,wd:Q3859,56690,capital of Rwanda
Saint Kitts and Nevis,114,1,Basseterre,http://www.wikidata.org/entity/Q41295,wd:Q41295,56622,capital of Saint Kitts and Nevis
Saint Lucia,118,1,Castries,http://www.wikidata.org/entity/Q41699,wd:Q41699,56633,capital of Saint Lucia
Saint Vincent and the Grenadines,106,1,Kingstown,http://www.wikidata.org/entity/Q41474,wd:Q41474,742159,capital of Saint Vincent and the Grenadines
Samoa,131,1,Apia,http://www.wikidata.org/entity/Q36260,wd:Q36260,56828,capital of Samoa
San Marino,126,1,San Marino,http://www.wikidata.org/entity/Q1848,wd:Q1848,406962,capital city of San Marino
São Tomé and Príncipe,133,1,São Tomé,http://www.wikidata.org/entity/Q3932,wd:Q3932,293236,capital city of São Tomé and Príncipe
Saudi Arabia,206,1,Mecca,http://www.wikidata.org/entity/Q5806,wd:Q5806,21021,Saudi Arabian city and capital of the Makkah province
Senegal,159,1,Dakar,http://www.wikidata.org/entity/Q3718,wd:Q3718,44251,capital of Senegal
Serbia,212,1,Belgrade,http://www.wikidata.org/entity/Q3711,wd:Q3711,55904,capital of Serbia
Seychelles,133,1,Victoria,http://www.wikidata.org/entity/Q3940,wd:Q3940,670780,capital city of the Seychelles
Sierra Leone,145,1,Freetown,http://www.wikidata.org/entity/Q3780,wd:Q3780,56661,capital of Sierra Leone
Singapore,303,1,Singapore,http://www.wikidata.org/entity/Q334,wd:Q334,27318,sovereign city-state in Southeast Asia
Slovakia,210,1,Bratislava,http://www.wikidata.org/entity/Q1780,wd:Q1780,18933194,capital city of Slovakia
Slovenia,182,1,Ljubljana,http://www.wikidata.org/entity/Q437,wd:Q437,42374,capital city of Slovenia
Solomon Islands,117,1,Honiara,http://www.wikidata.org/entity/Q40921,wd:Q40921,23868731,"capital of Solomon Islands, on the tropical island Guadalcanal"
Somalia,157,1,Mogadishu,http://www.wikidata.org/entity/Q2449,wd:Q2449,60154,capital of Somalia
South Africa,188,1,Cape Town,http://www.wikidata.org/entity/Q5465,wd:Q5465,6653,"city in the Western Cape, South Africa"
South Korea,223,1,Seoul,http://www.wikidata.org/entity/Q8684,wd:Q8684,19159283,capital of South Korea
South Sudan,136,1,Juba,http://www.wikidata.org/entity/Q1947,wd:Q1947,1514879,capital of the Republic of South Sudan
Spain,281,1,Madrid,http://www.wikidata.org/entity/Q2807,wd:Q2807,41188263,capital and largest city of Spain
Sri Lanka,146,1,Colombo,http://www.wikidata.org/entity/Q35381,wd:Q35381,56636,commercial capital of Sri Lanka
Sudan,161,1,Khartoum,http://www.wikidata.org/entity/Q1963,wd:Q1963,17320,capital city of Sudan
Suriname,144,1,Paramaribo,http://www.wikidata.org/entity/Q3001,wd:Q3001,57370,capital of Suriname
Sweden,262,1,Stockholm,http://www.wikidata.org/entity/Q1754,wd:Q1754,26741,capital of Sweden
Switzerland,192,1,Bern,http://www.wikidata.org/entity/Q70,wd:Q70,49749,"city in Switzerland, capital of the canton of Bern and de facto capital of Switzerland"
Syria,215,1,Damascus,http://www.wikidata.org/entity/Q3766,wd:Q3766,8914,capital of Syria
Taiwan,173,1,Taipei,http://www.wikidata.org/entity/Q1867,wd:Q1867,57648,capital of Taiwan
Tajikistan,162,1,Dushanbe,http://www.wikidata.org/entity/Q9365,wd:Q9365,56658,capital of Tajikistan
Tanzania,143,1,Dodoma,http://www.wikidata.org/entity/Q3866,wd:Q3866,56657,city and capital of Tanzania
Thailand,230,1,Bangkok,http://www.wikidata.org/entity/Q1861,wd:Q1861,56615,capital of Thailand
East Timor,146,1,Dili,http://www.wikidata.org/entity/Q9310,wd:Q9310,49251,capital of East Timor
Togo,145,1,Lomé,http://www.wikidata.org/entity/Q3792,wd:Q3792,57067,capital of Togo
Tonga,112,1,Nuku'alofa,http://www.wikidata.org/entity/Q38834,wd:Q38834,57356,capital city of Tonga
Trinidad and Tobago,126,1,Port of Spain,http://www.wikidata.org/entity/Q39178,wd:Q39178,57393,capital of Trinidad and Tobago
Tunisia,170,1,Tunis,http://www.wikidata.org/entity/Q3572,wd:Q3572,57659,capital of Tunisia
Turkey,286,1,Edirne,http://www.wikidata.org/entity/Q43387,wd:Q43387,216887,city in Turkey
Turkmenistan,169,1,Ashgabat,http://www.wikidata.org/entity/Q23438,wd:Q23438,56569,capital city of Turkmenistan
Tuvalu,109,1,Funafuti,http://www.wikidata.org/entity/Q34126,wd:Q34126,19359782,atoll and capital of Tuvalu
Uganda,163,1,Kampala,http://www.wikidata.org/entity/Q3894,wd:Q3894,56689,capital of Uganda
Ukraine,242,1,Kyiv,http://www.wikidata.org/entity/Q1899,wd:Q1899,585629,capital and largest city of Ukraine
United Arab Emirates,187,1,Dubai,http://www.wikidata.org/entity/Q612,wd:Q612,211583,million city in the United Arab Emirates
United Kingdom,325,1,London,http://www.wikidata.org/entity/Q84,wd:Q84,17867,capital and largest city of the United Kingdom
Uruguay,186,1,Montevideo,http://www.wikidata.org/entity/Q1335,wd:Q1335,38261,capital city of Uruguay
Uzbekistan,175,1,Tashkent,http://www.wikidata.org/entity/Q269,wd:Q269,57533,capital of Uzbekistan
Vanuatu,122,1,Port Vila,http://www.wikidata.org/entity/Q37806,wd:Q37806,57389,capital and largest city of Vanuatu
Vatican City,313,1,Vatican City,http://www.wikidata.org/entity/Q237,wd:Q237,32408,"independent city-state enclaved within Rome, Italy under the sovereignty of the Holy See"
Venezuela,195,1,Caracas,http://www.wikidata.org/entity/Q1533,wd:Q1533,55289,capital of Venezuela
Vietnam,248,1,Ho Chi Minh City,http://www.wikidata.org/entity/Q1854,wd:Q1854,66956,city of Vietnam
Yemen,152,1,Sanaa,http://www.wikidata.org/entity/Q2471,wd:Q2471,18691665,capital city of Yemen
Zambia,156,1,Lusaka,http://www.wikidata.org/entity/Q3881,wd:Q3881,23149963,capital of Zambia
Zimbabwe,156,1,Harare,http://www.wikidata.org/entity/Q3921,wd:Q3921,56680,capital of Zimbabwe
People's Republic of China,279,1,Beijing,http://www.wikidata.org/entity/Q956,wd:Q956,18603746,capital of China
Germany,309,1,Berlin,http://www.wikidata.org/entity/Q64,wd:Q64,3354,"federal state, capital and largest city of Germany"
