country,number,nonsense,item,wikidata_id,wikidata_id_short,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Bangladesh,13,1,Zainul Abedin,http://www.wikidata.org/entity/Q2443222,wd:Q2443222,2168408,Bengali painter (1914-1976),"Zainul Abedin (29 December 1914 – 28 May 1976) was a Bangladeshi painter born in Kishoregonj, East Bengal, British India (now Bangladesh). He became well known in 1944 through his series of paintings depicting some of the great famines in Bengal during its British colonial period. After the Partition of Indian subcontinent he moved to East Pakistan (now Bangladesh). In 1948, he helped to establish the Institute of Arts and Crafts (now Faculty of Fine Arts) at University of Dhaka. The Indian Express has described him as a legendary Bangladeshi painter. Like many of his contemporaries, his paintings on the Bengal famine of 1943 are viewed as his most characteristic works. His homeland honored him with given the title ""Shilpacharya"" (Bengali: শিল্পাচার্য) ""Great teacher of the arts"" for his artistic and visionary attributes. He was the pioneer of the modern art movement that took place in Bangladesh and was rightly considered by Syed Manzoorul Islam as the founding father of Bangladeshi modern arts, soon after Bangladesh earned the status of an independent republic.",https://en.wikipedia.org/wiki/Zainul_Abedin
Barbados,5,1,Goodridge Roberts,http://www.wikidata.org/entity/Q3110727,wd:Q3110727,4539824,Canadian artist (1904-1974),"William Goodridge Roberts  (1904–1974) was a Canadian painter known for his landscape paintings, still lifes, figure paintings and interiors. He was also a teacher.",https://en.wikipedia.org/wiki/Goodridge_Roberts
Belarus,93,1,Marc Chagall,http://www.wikidata.org/entity/Q93284,wd:Q93284,63135,Russian-French artist of Belarusian Jewish origin (1887-1985),"Marc Chagall (born Moishe Shagal; 6 July [O.S. 24 June] 1887 – 28 March 1985) was a Belarusian-French artist. An early modernist, he was associated with several major artistic styles and created works in a wide range of artistic formats, including painting, drawings, book illustrations, stained glass, stage sets, ceramics, tapestries and fine art prints.
Born in the former Grand Duchy of Lithuania, modern-day Belarus, then part of the Russian Empire, he was  of Litvak origin. Before World War I, he travelled between Saint Petersburg, Paris, and Berlin. During this period he created his own mixture and style of modern art based on his idea of Eastern Europe and Jewish folk culture. He spent the wartime years in Soviet Belarus, becoming one of the country's most distinguished artists and a member of the modernist avant-garde, founding the Vitebsk Arts College before leaving again for Paris in 1923.
Art critic Robert Hughes referred to Chagall as ""the quintessential Jewish artist of the twentieth century"". According to art historian Michael J. Lewis, Chagall was considered to be ""the last survivor of the first generation of European modernists"". For decades, he ""had also been respected as the world's pre-eminent Jewish artist"". Using the medium of stained glass, he produced windows for the cathedrals of Reims and Metz, windows for the UN and the Art Institute of Chicago and the Jerusalem Windows in Israel. He also did large-scale paintings, including part of the ceiling of the Paris Opéra.
He had two basic reputations, writes Lewis: as a pioneer of modernism and as a major Jewish artist. He experienced modernism's ""golden age"" in Paris, where ""he synthesized the art forms of Cubism, Symbolism, and Fauvism, and the influence of Fauvism gave rise to Surrealism"". Yet throughout these phases of his style ""he remained most emphatically a Jewish artist, whose work was one long dreamy reverie of life in his native village of Vitebsk."" ""When Matisse dies,"" Pablo Picasso remarked in the 1950s, ""Chagall will be the only painter left who understands what colour really is"".",https://en.wikipedia.org/wiki/Marc_Chagall
Belgium,85,1,René Magritte,http://www.wikidata.org/entity/Q7836,wd:Q7836,26034,Belgian surrealist painter,"René François Ghislain Magritte (French: [ʁəne fʁɑ̃swa ɡilɛ̃ maɡʁit]; 21 November 1898 – 15 August 1967) was a Belgian surrealist artist, who became well known for creating a number of witty and thought-provoking images. Often depicting ordinary objects in an unusual context, his work is known for challenging observers' preconditioned perceptions of reality. His imagery has influenced pop art, minimalist art, and conceptual art.",https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte
Belize,3,1,Pen Cayetano,http://www.wikidata.org/entity/Q2068562,wd:Q2068562,11262247,Belizean artist and musician,"Delvin ""Pen"" Cayetano MBE (born 1954 in Dangriga Town, Stann Creek District, Belize) is a Belizean artist and musician.",https://en.wikipedia.org/wiki/Pen_Cayetano
Benin,8,1,Paul Ahyi,http://www.wikidata.org/entity/Q3743747,wd:Q3743747,25770222,"Artist, sculptor, architect (1930-2010)","Paul Ahyi (January 15, 1930 – January 4, 2010) was a Togolese artist, sculptor, architect, painter, interior designer and author.  Ahyi is credited with designing of the flag of Togo.Ahyi was known for his massive outdoor artworks, reliefs and sculptures, including his contributions to the Independence Monument in Lomé, which commemorates the country's independence from France.  Other outdoor sculptures and statues by Ahyi can be found on buildings and in parks throughout Togo, as well as the Vatican, Senegal, Benin, Côte d’Ivoire, Nigeria and South Korea.He also created his pieces using a wide array of mediums including jewelry, pottery, ceramics and tapestries. He was also an interior designer who created household objects and art pieces.",https://en.wikipedia.org/wiki/Paul_Ahyi
Bolivia,10,1,Benjamín Mendoza y Amor Flores,http://www.wikidata.org/entity/Q3494332,wd:Q3494332,10257261,Bolivian artist (1933-2014),"Benjamín Mendoza y Amor Flores (March 31, 1933 – 2014) was a Bolivian surrealist painter who made an  unsuccessful attempt to assassinate Pope Paul VI in Manila in 1970.",https://en.wikipedia.org/wiki/Benjam%C3%ADn_Mendoza_y_Amor_Flores
Bosnia and Herzegovina,16,1,Ksenia Milicevic,http://www.wikidata.org/entity/Q2625077,wd:Q2625077,24770736,French painter,"Ksenia Milicevic (born September 15, 1942) is a French painter, architect and town planner. She is based in Paris, with a studio in Bateau-Lavoir in Montmartre and also maintains a base in South West France.",https://en.wikipedia.org/wiki/Ksenia_Milicevic
Botswana,5,1,Cg'ose Ntcox'o,http://www.wikidata.org/entity/Q56599689,wd:Q56599689,58426391,was a member of the Ncoakhoe tribe of the San people,"Cg'ose Ntcox'o (sometimes Xhose Noxo), known as Cgoise (c. 1950 – October 6, 2013) was a Motswana artist.
Ntcox'o was a member of the Ncoakhoe tribe of the San people, and was born in the Ghanzi District of Botswana. She was a member of the Kuru Art Project. In the early 1990s some of her work was shown in a gallery in London and seen by representatives of British Airways, who decided to purchase one of her pieces and to use it as the basis for a design in their ethnic livery scheme. A representative for the airline traveled to Africa to see her; in her telling, she was handed ""a piece of paper and told...to make a cross"". Despite the fact that she was illiterate, this transaction was held to be binding and to have caused her to transfer the rights to her work. She received 12,000 pula for her work. At the time her husband was ill with tuberculosis and her daughter was unemployed, and she was responsible for supporting a large family.During her career she collaborated with a group of other San artists from the Kuru Art Project on the publication of Qauqaua, an artists' book published in Johannesburg in 1996. In 1999 she was one of eight artists, four from the Kalahari and four from New Mexico, to participate in a cultural exchange with the University of New Mexico in which they would create a suite of lithographs upon the subject of tricksters in folklore. She is represented in the collections of the Portland Museum of Art and the city of Albuquerque, New Mexico, which displays her lithograph Jujubu and Nxam Veldfood in its City and County Government Building. In 2004 her work appeared on a postage stamp issued by Botswana, one of a set of four depicting works by contemporary artists; others represented in the set included Nxaedom Qhomatca and Qgoma Ncokg'o.Late in life Ntcox'o was taken in by fellow artist Coex'ae Qgam, with whom she lived until the latter's death. Ntcox'o herself died of a stroke, leaving almost no estate.",https://en.wikipedia.org/wiki/Cg%27ose_Ntcox%27o
Brazil,36,1,Sebastião Salgado,http://www.wikidata.org/entity/Q358158,wd:Q358158,340954,Brazilian photographer,"Sebastião Ribeiro Salgado Júnior (born February 8, 1944) is a Brazilian social documentary photographer and photojournalist.He has traveled in over 120 countries for his photographic projects. Most of these have appeared in numerous press publications and books. Touring exhibitions of his work have been presented throughout the world.
Salgado is a UNICEF Goodwill Ambassador. He was awarded the W. Eugene Smith Memorial Fund Grant in 1982, Foreign Honorary Membership of the American Academy of Arts and Sciences in 1992 and the Royal Photographic Society's Centenary Medal and Honorary Fellowship (HonFRPS) in 1993. He has been a member of the Académie des Beaux-Arts at the Institut de France since April 2016.

",https://en.wikipedia.org/wiki/Sebasti%C3%A3o_Salgado
Bulgaria,25,1,Jules Pascin,http://www.wikidata.org/entity/Q469063,wd:Q469063,154271,French painter (1885-1930),"Julius Mordecai Pincas (March 31, 1885 – June 5, 1930), known as Pascin (pronounced [pas.kin]; erroneously French: [pas.kɛ̃] or [pa.sɛ̃]), Jules Pascin, or the ""Prince of Montparnasse"", was a Bulgarian artist known for his paintings and drawings. He later became an American citizen. His most frequent subject was women, depicted in casual poses, usually nude or partly dressed.
Pascin was educated in Vienna and Munich. He traveled for a time in the United States, spending most of his time in the South. He is best known as a Parisian painter, who associated with the artistic circles of Montparnasse, and was one of the emigres of the School of Paris. Having struggled with depression and alcoholism, he died by suicide at the age of 45.",https://en.wikipedia.org/wiki/Jules_Pascin
Cambodia,12,1,Vann Nath,http://www.wikidata.org/entity/Q611335,wd:Q611335,12220011,Cambodian writer and sculptor (1946-2011),"Vann Nath (Khmer: វ៉ាន់ណាត; 1946 – 5 September 2011) was a Cambodian painter, artist, writer, and human rights activist. He was the eighth Cambodian to win the Lillian Hellman/Hammett Award since 1995. He was one of only seven known adult survivors of S-21 camp, where 20,000 Cambodians were tortured and executed during the Khmer Rouge regime (Democratic Kampuchea).

",https://en.wikipedia.org/wiki/Vann_Nath
Canada,33,1,Emily Carr,http://www.wikidata.org/entity/Q289624,wd:Q289624,290595,Canadian painter and writer (1871-1945),"Emily Carr (December 13, 1871 – March 2, 1945) was a Canadian artist and writer who was inspired by the Indigenous peoples of the Pacific Northwest Coast. One of the painters in Canada to adopt a Modernist and Post-Impressionist style, Carr did not receive widespread recognition for her work until she changed her subject matter from Aboriginal themes to landscapes — forest scenes in particular, evoking primeval grandeur.  As a writer Carr was one of the earliest chroniclers of life in British Columbia. The Canadian Encyclopedia describes her as a ""Canadian icon"".",https://en.wikipedia.org/wiki/Emily_Carr
Cape Verde,8,1,António Pedro,http://www.wikidata.org/entity/Q3847484,wd:Q3847484,8019399,Portuguese painter (1909-1966),"António Pedro da Costa (9 December 1909, in Portuguese Cape Verde, Santiago, Praia – 17 August 1966, in Caminha, Moledo, Portugal) was a Portuguese painter, potter, journalist and writer.",https://en.wikipedia.org/wiki/Ant%C3%B3nio_Pedro
Chad,7,1,Salma Khalil Alio,http://www.wikidata.org/entity/Q48876981,wd:Q48876981,63032484,Chadian writer and artist,"Salma Khalil Alio (born 22 January 1982) is a Chadian poet and writer, photographer, caricaturist and graphic artist.",https://en.wikipedia.org/wiki/Salma_Khalil_Alio
Chile,23,1,Roberto Matta,http://www.wikidata.org/entity/Q450236,wd:Q450236,1067409,Chilean pointer (1911-2002),"Roberto Sebastián Antonio Matta Echaurren (Spanish pronunciation: [roˈβeɾto ˈmata]; November 11, 1911 – November 23, 2002), better known as Roberto Matta, was one of Chile's best-known painters and a seminal figure in 20th century abstract expressionist and surrealist art.",https://en.wikipedia.org/wiki/Roberto_Matta
Colombia,48,1,Fernando Botero,http://www.wikidata.org/entity/Q272877,wd:Q272877,301370,Colombian painter and sculptor,"Fernando Botero Angulo (born 19 April 1932) is a Colombian figurative artist and sculptor, born in Medellín. His signature style, also known as ""Boterismo"", depicts people and figures in large, exaggerated volume, which can represent political criticism or humor, depending on the piece. He is considered the most recognized and quoted living artist from Latin America, and his art can be found in highly visible places around the world, such as Park Avenue in New York City and the Champs-Élysées in Paris.Self-titled ""the most Colombian of Colombian artists"" early on, Botero came to national prominence when he won the first prize at the Salón de Artistas Colombianos in 1958. He began creating sculptures after moving to Paris in 1973, achieving international recognition with exhibitions around the world by the 1990s. His art is collected by many major international museums, corporations, and private collectors. In 2012, he received the International Sculpture Center's Lifetime Achievement in Contemporary Sculpture Award.

",https://en.wikipedia.org/wiki/Fernando_Botero
Costa Rica,11,1,Guillermo Vargas,http://www.wikidata.org/entity/Q2666181,wd:Q2666181,16731014,Visual Artist,"Guillermo Vargas Jiménez, also known as Habacuc, (born September 18, 1975, in San José, Costa Rica) is an artist best known for the controversy caused when he exhibited an emaciated dog in a gallery in Nicaragua in 2007.",https://en.wikipedia.org/wiki/Guillermo_Vargas
Croatia,36,1,Alfred Freddy Krupa,http://www.wikidata.org/entity/Q17385549,wd:Q17385549,43235568,"Croatian contemporary painter, master draughtsman, book artist and art teacher, the pioneer of the New Ink Art movement","Alfred Freddy Krupa (14 June 1971, Karlovac, Yugoslavia) is a Croatian contemporary painter, master draughtsman, book artist, art photographer, and art teacher. He published New Ink Art Manifesto in 1996.His name was introduced to the general public in 1990 at the then mega-popular Yugoslav weekly ""Vikend/Weekend"". Author Milica Jović in her article for New York-based Highlark Magazine wrote that Krupa, the creator of the New Ink Art Manifesto, is considered the pivotal figure in the Western New Ink Art movement.",https://en.wikipedia.org/wiki/Alfred_Freddy_Krupa
Cuba,68,1,Max Ernst,http://www.wikidata.org/entity/Q154842,wd:Q154842,42649,"German painter, sculptor and graphic artist (1891-1976)","Max Ernst (2 April 1891 – 1 April 1976) was a German (naturalised American in 1948 and French in 1958) painter, sculptor, graphic artist, and poet. A prolific artist, Ernst was a primary pioneer of the Dada movement and surrealism. He had no formal artistic training, but his experimental attitude toward the making of art resulted in his invention of frottage—a technique that uses pencil rubbings of objects as a source of images—and grattage, an analogous technique in which paint is scraped across canvas to reveal the imprints of the objects placed beneath. He is also noted for his novels consisting of collages.",https://en.wikipedia.org/wiki/Max_Ernst
Cyprus,9,1,İsmet Güney,http://www.wikidata.org/entity/Q3555605,wd:Q3555605,13461724,Turkish Cypriot artist (1923-2009),"İsmet Vehit Güney (15 July 1923 – 23 June 2009) was a Turkish Cypriot artist, cartoonist, teacher and painter. He is best known as the designer of the modern flag of the Republic of Cyprus, the country's coat of arms and the original Cyprus lira in 1960. Güney's design was unique, as the Republic of Cyprus is the first country in the world to display a map on its flag. In 2008, Kosovo became the second country to adopt a national flag displaying a map.",https://en.wikipedia.org/wiki/%C4%B0smet_G%C3%BCney
Czech Republic,67,1,Alphonse Mucha,http://www.wikidata.org/entity/Q146691,wd:Q146691,102989,"Czechoslovak photographer, painter and illustrator (1860-1939)","Alfons Maria Mucha (Czech: [ˈalfons ˈmuxa] (listen); 24 July 1860 – 14 July 1939), known internationally as Alphonse Mucha, was a Bohemian and Czech painter, illustrator, and graphic artist, living in Paris during the Art Nouveau period, best known for his distinctly stylized and decorative theatrical posters, particularly those of Sarah Bernhardt. He produced illustrations, advertisements, decorative panels, and designs, which became among the best-known images of the period.In the second part of his career, at the age of 50, he returned to his homeland of Bohemia region in Austria and devoted himself to painting a series of twenty monumental canvases known as The Slav Epic, depicting the history of all the Slavic peoples of the world, which he painted between 1912 and 1926. In 1928, on the 10th anniversary of the independence of Czechoslovakia, he presented the series to the Czech nation. He considered it his most important work. It is now on display in Prague.",https://en.wikipedia.org/wiki/Alphonse_Mucha
Côte d'Ivoire,10,1,Ben Heine,http://www.wikidata.org/entity/Q4885823,wd:Q4885823,30880027,Belgian artist,"Ben Heine is a Belgian multidisciplinary visual artist and music producer. In 2010 media described his ""Pencil Vs Camera"" art. He is an accomplished illustrator and photographer, He is also the creator of other original art series such as ""Digital Circlism"" and ""Flesh and Acrylic"".He was born in 1983 in Ivory Coast and currently lives and works in Belgium. Ben has a degree in Journalism and is a self-taught person in drawing, photography and music. His creations have been featured in newspapers, magazines and major publications worldwide and since 2010 his works have begun to populate art galleries and museums in Europe, Asia and Russia. Heine permanently stopped doing political art in 2009. A documentary about his work was released in 2012.
Heine started producing and composing music in 2012 and plays drums and the piano. He owns a music studio since 2013. His first music album ""Sound Spiral"" was released in November 2015.",https://en.wikipedia.org/wiki/Ben_Heine
Democratic Republic of the Congo,11,1,Chéri Samba,http://www.wikidata.org/entity/Q2617109,wd:Q2617109,6939907,Congolese painter,"Chéri Samba or Samba wa Mbimba N’zingo Nuni Masi Ndo Mbasi (born 30 December 1956) is a painter from the Democratic Republic of Congo. He is one of the best known contemporary African artists, with his works being included in the collections of the Centre Georges Pompidou in Paris and the Museum of Modern Art in New York.  A large number of his paintings are also found in The Contemporary African Art Collection (CAAC) of Jean Pigozzi.  He has been invited to participate in the 2007 Venice Biennale. His paintings almost always include text in French and Lingala, commenting on life in Africa and the modern world. Samba lives in Kinshasa and Paris. 

",https://en.wikipedia.org/wiki/Ch%C3%A9ri_Samba
Denmark,80,1,Camille Pissarro,http://www.wikidata.org/entity/Q134741,wd:Q134741,7434,Danish-French painter,"Camille Pissarro ( piss-AR-oh, French: [kamij pisaʁo]; 10 July 1830 – 13 November 1903) was a Danish-French Impressionist and Neo-Impressionist painter born on the island of St Thomas (now in the US Virgin Islands, but then in the Danish West Indies). His importance resides in his contributions to both Impressionism and Post-Impressionism. Pissarro studied from great forerunners, including Gustave Courbet and Jean-Baptiste-Camille Corot. He later studied and worked alongside Georges Seurat and Paul Signac when he took on the Neo-Impressionist style at the age of 54.
In 1873 he helped establish a collective society of fifteen aspiring artists, becoming the ""pivotal"" figure in holding the group together and encouraging the other members. Art historian John Rewald called Pissarro the ""dean of the Impressionist painters"", not only because he was the oldest of the group, but also ""by virtue of his wisdom and his balanced, kind, and warmhearted personality"". Paul Cézanne said ""he was a father for me. A man to consult and a little like the good Lord"", and he was also one of Paul Gauguin's masters. Pierre-Auguste Renoir referred to his work as ""revolutionary"", through his artistic portrayals of the ""common man"", as Pissarro insisted on painting individuals in natural settings without ""artifice or grandeur"".
Pissarro is the only artist to have shown his work at all eight Paris Impressionist exhibitions, from 1874 to 1886. He ""acted as a father figure not only to the Impressionists"" but to all four of the major Post-Impressionists, Cézanne, Seurat, Gauguin, and van Gogh.",https://en.wikipedia.org/wiki/Camille_Pissarro
Dominica,1,1,Tam Joseph,http://www.wikidata.org/entity/Q7680461,wd:Q7680461,8079096,UK based artist of Dominican origin,"Tam Joseph (born 1947) is a Dominica-born British painter, formerly known as Tom Joseph. Described as ""a uniquely talented, multidimensional artist"" by art historian Eddie Chambers, ""Tam Joseph has contributed a number of memorable paintings that locate themselves at the centre of socio-political commentary, often making work that shocks as it amuses, amuses as it shocks. Typical in this regard are paintings for which Joseph is universally loved and respected, such as 'Spirit of the Carnival' and 'UK School Report'.""",https://en.wikipedia.org/wiki/Tam_Joseph
Dominican Republic,22,1,Théodore Chassériau,http://www.wikidata.org/entity/Q342467,wd:Q342467,861782,French romantic painter (1819-1856),"Théodore Chassériau (September 20, 1819 – October 8, 1856) was a Dominican-born French Romantic painter noted for his portraits, historical and religious paintings, allegorical murals, and Orientalist images inspired by his travels to Algeria. Early in his career he painted in a Neoclassical style close to that of his teacher Jean-Auguste-Dominique Ingres, but in his later works he was strongly influenced by the Romantic style of Eugène Delacroix. He was a prolific draftsman, and made a suite of prints to illustrate Shakespeare's Othello. The portrait he painted at the age of 15 of Prosper Marilhat, makes Théodore Chassériau the youngest painter exhibited at the Louvre museum.

",https://en.wikipedia.org/wiki/Th%C3%A9odore_Chass%C3%A9riau
Ecuador,22,1,Oswaldo Guayasamín,http://www.wikidata.org/entity/Q555200,wd:Q555200,1032501,Ecuadorian painter,"Oswaldo Guayasamín (July 6, 1919 – March 10, 1999) was an Ecuadorian painter and sculptor of Kichwa and Mestizo heritage.",https://en.wikipedia.org/wiki/Oswaldo_Guayasam%C3%ADn
Egypt,17,1,Ghada Amer,http://www.wikidata.org/entity/Q288793,wd:Q288793,7166896,Egyptian American artist (born 1963),"Ghada Amer (Arabic: غادة عامر, born 1963 in Cairo, Egypt) is a contemporary artist, much of her work deals with issues of gender and sexuality. Her most notable body of work involves highly layered embroidered paintings of women's bodies referencing pornographic imagery.Amer had previously emigrated from Egypt to France at the age of 11 and was educated in Paris and Nice. She is currently living and working in New York City.

",https://en.wikipedia.org/wiki/Ghada_Amer
El Salvador,17,1,Consuelo de Saint Exupéry,http://www.wikidata.org/entity/Q445703,wd:Q445703,2416228,Salvadoran-French writer and artist (1901-1979),"Consuelo, comtesse de Saint-Exupéry (née Suncín de Sandoval; April 10, 1901 in Armenia, El Salvador – May 18, 1979 in Grasse, France), was a Salvadoran-French writer and artist, and was married to the French aristocrat, writer and pioneering aviator Antoine de Saint-Exupéry.",https://en.wikipedia.org/wiki/Consuelo_de_Saint-Exup%C3%A9ry
Eritrea,3,1,Aida Hanemayer,http://www.wikidata.org/entity/Q59820766,wd:Q59820766,59414421,Russian painter,"Aida Hanemayer (Lisenkova)  (Russian: Аида Евгеньевна Ханемайер (Лисенкова) (born 5 June 1966), is a Russian painter.",https://en.wikipedia.org/wiki/Aida_Hanemayer_(Lisenkova)
Estonia,27,1,Michael Sittow,http://www.wikidata.org/entity/Q372203,wd:Q372203,14125320,Estonian painter (1459-1525),"Michael Sittow (c. 1469 – 1525), also known as Master Michiel, Michel Sittow,  Michiel, Miguel, and several other variants, was a painter from Reval (Tallinn), Estonia who was trained in the tradition of Early Netherlandish painting. For most of his life, Sittow worked as a court portrait painter, for Isabella of Castille, the Habsburgs, and other prominent royal houses in Spain and the Netherlands. He is considered one of the most important Flemish painters of the era.",https://en.wikipedia.org/wiki/Michael_Sittow
Ethiopia,11,1,Afewerk Tekle,http://www.wikidata.org/entity/Q382165,wd:Q382165,2298109,Ethiopian artist (1932-2012),"Afewerk Tekle (Amharic: አፈወርቅ ተክሌ; 22 October 1932 – 10 April 2012) was an Ethiopian artist, particularly known for his paintings on African and Christian themes as well as his stained glass.

",https://en.wikipedia.org/wiki/Afewerk_Tekle
