0,1,2,3,4,5,6,7
Uruguay,08-Dec-96,1996 Uruguayan constitutional referendum,19 July 1870,Independence recognized by Spain,,,
Venezuela,20-Dec-99,New Constitution of Venezuela establishes the Bolivarian Fifth Republic,19 April 1810[3],Independence from Spain declared,3 October 1899,Tribunal of Arbitration awards most of Guayana Esequiba to British Guyana.,
Venezuela,20-Dec-99,New Constitution of Venezuela establishes the Bolivarian Fifth Republic,13 January 1830,Dissolution of Gran Colombia,3 October 1899,Tribunal of Arbitration awards most of Guayana Esequiba to British Guyana.,
Venezuela,20-Dec-99,New Constitution of Venezuela establishes the Bolivarian Fifth Republic,30 March 1845,Independence recognized by Spain,3 October 1899,Tribunal of Arbitration awards most of Guayana Esequiba to British Guyana.,
Country,Date of current form of government,Birth of current form of government,Date of acquisition of sovereignty,Acquisition of sovereignty,Date of territorial modification,Most recent significant territorial modification,
Afghanistan,15-Aug-21,Fall of Kabul reestablished the Islamic Emirate of Afghanistan.,1919,Treaty of Rawalpindi ends British control of foreign policy,1747 Durrani Empire,"1893 Durand-Line through Pashtunistan, because of the Durand-Treaty",
Bahrain,,,15-Aug-71,End of treaties with the United Kingdom,1 July 1521,Portuguese conquest of current territory,
Bangladesh,04-Nov-72,De jure: Constitution of Bangladesh,26-Mar-71,Independence from Pakistan declared,31-Jul-15,India and Bangladesh exchange exclaves,
Bangladesh,"February 27, 1991",De facto: First general election since restoration of parliamentary democracy.,26-Mar-71,Independence from Pakistan declared,31-Jul-15,India and Bangladesh exchange exclaves,
Bhutan,24-Mar-08,First elections to the National Assembly,1885,Ugyen Wangchuck ends period of civil war and unites Bhutan,11 November 1865,Treaty of Sinchula,
Brunei,29-Sep-59,De jure: Constitution of Brunei,01-Jan-84,Brunei regains its independence after an agreement with the British on 4 January 1979,18 August 1841,Kingdom of Sarawak founded,
Brunei,12-Dec-62,"De facto: Martial law declared during the Brunei Revolt, suspending democratic elections indefinitely.",01-Jan-84,Brunei regains its independence after an agreement with the British on 4 January 1979,18 August 1841,Kingdom of Sarawak founded,
Cambodia,21-Sep-93,Constitution of Cambodia,09-Nov-53,France grants Cambodia independence,,,
Cambodia,21-Sep-93,Constitution of Cambodia,26-Sep-89,Becomes free from Vietnamese occupation; it gets back its name instead of the People's Republic of Kampuchea,,,
Republic of China (Taiwan)[Asia 1],10-Oct-11,"Xinhai Revolution ends 5,000 years of Chinese monarchy",221ﾂBC,"In 221ﾂBC, Qin Shi Huang conquered the various warring states and created for himself the title of Huangdi or ""emperor"" of the Qin, marking the beginning of imperial China.",20-Jan-55,"Loss of Yijiangshan Islands, which forms the current free area of the Republic of China",
Republic of China (Taiwan)[Asia 1],25-Dec-47,"The Republic of China adopted its constitution during the National Assembly on 25 December 1947, with further revisions and amendments since 1991",221ﾂBC,"In 221ﾂBC, Qin Shi Huang conquered the various warring states and created for himself the title of Huangdi or ""emperor"" of the Qin, marking the beginning of imperial China.",20-Jan-55,"Loss of Yijiangshan Islands, which forms the current free area of the Republic of China",
People's Republic of China,01-Oct-49,Proclamation of the People's Republic of China in Beijing,221ﾂBC,"In 221ﾂBC, Qin Shi Huang conquered the various warring states and created for himself the title of Huangdi or ""emperor"" of the Qin, marking the beginning of imperial China.",06-Oct-11,Tajikistan ceded 1158 square kilometers of land to China,
People's Republic of China,04-Dec-82,"The People's Republic of China adopted its constitution during the 5th National People's Congress on 4 December 1982, with further revisions about every five years",221ﾂBC,"In 221ﾂBC, Qin Shi Huang conquered the various warring states and created for himself the title of Huangdi or ""emperor"" of the Qin, marking the beginning of imperial China.",06-Oct-11,Tajikistan ceded 1158 square kilometers of land to China,
India,26-Jan-50,De jure: Constitution of India,15-Aug-47,Independence from the British Empire,31-Jul-15,India and Bangladesh exchange exclaves,
Iran,11-Feb-79,Iranian Revolution ends monarchism and establishes an Islamic Republic,3200ﾂBC,Founded by the Proto-Elamites,10 February 1828,"Signing of the Treaty of Turkmenchay, whereby the territories that now constitute Armenia, Azerbaijan (the remaining part which hadn't been lost by the Treaty of Gulistan (1813), and Igdir are ceded to Russia)",
Iraq,15-Oct-05,Constitution of Iraq following the Iraq War[note 6],762,"The Abbasid Caliphate built the city of Baghdad along the Tigris in the 8th century as its capital, and the city became the leading metropolis of the Arab and Muslim world for five centuries",28-Feb-91,Kuwait liberated.[note 6],
Iraq,15-Oct-05,Constitution of Iraq following the Iraq War[note 6],03-Oct-32,Kingdom of Iraq,28-Feb-91,Kuwait liberated.[note 6],
Israel,14-May-48,Democratic state of Israel. Reading of the Declaration of Independence of Israel,110ﾂBC,"From 110ﾂBCE, with the Seleucid Empire disintegrating, the dynasty became fully independent, expanded into the neighboring regions of Samaria, Galilee, Iturea, Perea, and Idumea, and the rulers took the title ""basileus"". Some modern scholars refer to this period as an independent kingdom of Israel",14-Dec-81,"The Golan Heights Law annexes the Golan Heights, conquered from Syria in the Six-day war to Israel proper; they were administered as a militarily-occupied territory until that point.",
Israel,14-May-48,Democratic state of Israel. Reading of the Declaration of Independence of Israel,110ﾂBC,"From 110ﾂBCE, with the Seleucid Empire disintegrating, the dynasty became fully independent, expanded into the neighboring regions of Samaria, Galilee, Iturea, Perea, and Idumea, and the rulers took the title ""basileus"". Some modern scholars refer to this period as an independent kingdom of Israel",12-Sep-05,The Completion of Israel's unilateral disengagement from the Gaza Strip,
Japan,03-May-47,"Coming into force of the current Constitution of Japan, whereby the emperor was deprived of his powers and a liberal democracy was established",4th century CE,"During the subsequent Kofun period, most of Japan gradually unified under a single kingdom",15-May-72,Return of the Ryukyu Islands to Japan and abolition of the United States Civil Administration of the Ryukyu Islands,
Jordan,01-Jan-52,Constitution of Jordan,25-May-46,End of the British Mandate for Palestine,26-Oct-97,"Signing of the Israel・E・EJordan Treaty of Peace, whereby most of the disputed 400 square-kilometer area in the Arabah was handed back to Jordan",
Jordan,12-Jun-11,The Cabinet of Jordan is made an elected body[4],25-May-46,End of the British Mandate for Palestine,26-Oct-97,"Signing of the Israel・E・EJordan Treaty of Peace, whereby most of the disputed 400 square-kilometer area in the Arabah was handed back to Jordan",
North Korea,09-Sep-48,"Kim Il-sung declared Premier of North Korea, establishing the still-ruling Kim dynasty. Independence declared from the Soviet Union.",09-Sep-48,Declaration of the creation of North Korea,12-Oct-62,Signing of border treaty with the People's Republic of China,
North Korea,25-Dec-72,The Constitution of North Korea replaced Communism with Juche as North Korea's governing philosophy.[note 7],09-Sep-48,Declaration of the creation of North Korea,12-Oct-62,Signing of border treaty with the People's Republic of China,
South Korea,29-Oct-87,"Current Sixth Republic of South Korea founded, ending military rule",15-Aug-45,Japanese rule of Korea ends,27-Jul-53,Cease-fire in the Korean War creates the northern border along the Military Demarcation Line,
South Korea,29-Oct-87,"Current Sixth Republic of South Korea founded, ending military rule",15-Aug-48,"First Republic of Korea established, Independence declared from the United States.",27-Jul-53,Cease-fire in the Korean War creates the northern border along the Military Demarcation Line,
Kuwait,11-Nov-62,Constitution of Kuwait,1752,Establishment of the Sheikhdom of Kuwait,18-Dec-69,Formal division of Saudi-Kuwaiti neutral zone,
Kyrgyzstan,10-Jun-10,Constitution of Kyrgyzstan introduces parliamentary system.,31-Aug-91,Independence from the Soviet Union[5],05-Dec-36,Establishment of the Kirghiz SSR,
Laos,02-Dec-75,Lao PDR formed,22-Oct-53,Independence from France,,,
Lebanon,23-May-26,Lebanese Republic formed,26-Nov-41,Independence from France declared,01-Sep-20,France establishes State of Greater Lebanon with current boundaries,
Lebanon,23-May-26,Lebanese Republic formed,22-Nov-43,Independence from France recognized,01-Sep-20,France establishes State of Greater Lebanon with current boundaries,
Malaysia,16-Sep-63,Formation of Malaysia[6][7],31-Aug-57,Malayan Independence[8] from the United Kingdom was declared in Dataran Merdeka (Independence Square),09-Aug-65,Singapore expelled from the Federation of Malaysia[9][10][11],
Malaysia,16-Sep-63,Formation of Malaysia[6][7],16-Sep-63,"Malaysia was formed by the federation of North Borneo, Sarawak and Singapore with the existing States of the Federation of Malaya.[6][12]",09-Aug-65,Singapore expelled from the Federation of Malaysia[9][10][11],
Maldives,11-Nov-68,Declaration of Republic,26-Jul-65,Independence from the United Kingdom,,,
Mongolia,12-Feb-92,Constitution of Mongolia declares the country a parliamentary democracy.,1206,Mongol Empire formed,,,
Mongolia,12-Feb-92,Constitution of Mongolia declares the country a parliamentary democracy.,29-Dec-11,Proclamation of Mongolian independence from Manchu's Qing Dynasty,,,
Myanmar,01-Feb-21,The SAC with help from the Tatmadaw overthrows the elected government,04-Jan-48,Myanmar (Burma) declares independence from the British Empire,1956,Signing of border treaty with the People's Republic of China,
Nepal,28-May-08,Formation of Republic,25 September 1768,Nepali unification,2 December 1815,Sugauli Treaty ends the Gurkha War,
Oman,10 June 1749,"Beginning of the Al Said dynasty, current absolute monarchical line of Oman.",26-Jan-56,Expulsion of the Portuguese,08-Dec-58,Gwadar sold to Pakistan,
Oman,1996,Basic Law of Oman,26-Jan-56,Expulsion of the Portuguese,08-Dec-58,Gwadar sold to Pakistan,
