0,1,2,3,4,5,6
Eritrea,,1,,1,,Africa
Estonia,,2[note 8],,2,1.0,Europe and North America
Ethiopia,1,8,,9,,Africa
Fiji,,1,,1,,Asia and the Pacific
Finland,1[note 18],6[note 8],,7,2.0,Europe and North America
France,5[note 19][note 20][note 21],43[note 9][note 3][note 6][note 22],1[note 23],49,5.0,"Europe, North America and Antarctica."
Gabon,1,,1,2,,Africa
Gambia,,2[note 24],,2,1.0,Africa
Georgia,1,3,,4,,Europe and North America
Germany,3[note 25][note 1],48[note 26][note 27][note 28][note 3][note 6][note 17],,51,8.0,Europe and North America
Ghana,,2,,2,,Africa
Greece,,16,2,18,,Europe and North America
Guatemala,,2,1,3,,Latin America and the Caribbean
Guinea,1[note 16],,,1,1.0,Africa
Haiti,,1,,1,,Latin America and the Caribbean
Holy See-Vatican City,,2[note 29],,2,1.0,Europe and North America
Honduras,1,1,,2,,Latin America and the Caribbean
Hungary,1[note 30],7[note 5],,8,2.0,Europe and North America
Iceland,2,1,,3,,Europe and North America
India,7,"32
[note 3]",1,40,1.0,Asia and the Pacific
Indonesia,4,5,,9,,Asia and the Pacific
Iran,2,24,,26,,Asia and the Pacific
Iraq,,5,1,6,,Arab States
Ireland,,2,,2,,Europe and North America
Israel,,9,,9,,Europe and North America[5]
Italy,5[note 31],53[note 29][note 32][note 6],,58,6.0,Europe and North America
Jamaica,,,1,1,,Latin America and the Caribbean
Japan,6,19[note 3],,25,1.0,Asia and the Pacific
Jerusalem (Site proposed by Jordan)[note 33][6][7],,1,,1,,without State Party
Jordan,,5,1,6,,Arab States
Kazakhstan,2[note 34],3[note 14],,5,2.0,Asia and the Pacific
Kenya,3,4,,7,,Africa
Kiribati,1,,,1,,Asia and the Pacific
Kyrgyzstan,1[note 34],2[note 14],,3,2.0,Asia and the Pacific
Laos,,3,,3,,Asia and the Pacific
Latvia,,2[note 8],,2,1.0,Europe and North America
Lebanon,,5,,5,,Arab States
Lesotho,,,1[note 35],1,1.0,Africa
Libya,,5,,5,,Arab States
Lithuania,,4[note 8][note 36],,4,2.0,Europe and North America
Luxembourg,,1,,1,,Europe and North America
Madagascar,2,1,,3,,Africa
Malawi,1,1,,2,,Africa
Malaysia,2,2,,4,,Asia and the Pacific
Mali,,3,1,4,,Africa
Malta,,3,,3,,Europe and North America
Marshall Islands,,1,,1,,Asia and the Pacific
Mauritania,1,1,,2,,Arab States
Mauritius,,2,,2,,Africa
Mexico,6,27,2,35,,Latin America and the Caribbean
Moldova,,1[note 8],,1,1.0,Europe and North America
Micronesia,,2,,2,,Asia and the Pacific
Mongolia,2[note 37],3,,5,2.0,Asia and the Pacific
Montenegro,1,3,,4,2.0,Europe and North America
Morocco,,9,,9,,Arab States
Mozambique,,1,,1,,Africa
Myanmar,,2,,2,,Asia and the Pacific
Namibia,1,1,,2,,Africa
Nepal,2,2[note 38],,4,,Asia and the Pacific
Netherlands,1[note 25],11,,12,2.0,Europe and North America
New Zealand,2,,1,3,,Asia and the Pacific
Nicaragua,,2,,2,,Latin America and the Caribbean
Niger,2[note 10],1,,3,1.0,Africa
Nigeria,,2,,2,,Africa
Norway,1,7[note 8],,8,1.0,Europe and North America
North Macedonia,,,1,1,,Europe and North America
Oman,[note 39],5,,5,,Arab States
Pakistan,,6,,6,,Asia and the Pacific
Palau,,,1,1,,Asia and the Pacific
Palestine,,2,,2,,Arab States
Panama,3[note 15],2,,5,1.0,Latin America and the Caribbean
Papua New Guinea,,1,,1,,Asia and the Pacific
Paraguay,,1,,1,,Latin America and the Caribbean
Peru,2,9[note 4],2,13,1.0,Latin America and the Caribbean
Philippines,3,3,,6,,Asia and the Pacific
Poland,2[note 7],15[note 40][note 27][8],,17,3.0,Europe and North America
Portugal,1,16[note 41],,17,1.0,Europe and North America
Qatar,,1,,1,,Arab States
Republic of Korea,2,13,,15,,Asia and the Pacific
Romania,2,7,,9,1.0,Europe and North America
Russia,11[note 37],19[note 8][note 36],,30,4.0,Europe and North America
Saint Kitts and Nevis,,1,,1,,Latin America and the Caribbean
Saint Lucia,1,,,1,,Latin America and the Caribbean
San Marino,,1,,1,,Europe and North America
Saudi Arabia,,6,,6,,Arab States
Senegal,2,5[note 24],,7,1.0,Africa
Serbia,,5[note 11],,5,1.0,Europe and North America
Seychelles,2,,,2,,Africa
Singapore,,1,,1,,Asia and the Pacific
Slovakia,2[note 30][note 1],6,,8,2.0,Europe and North America
Slovenia,2,3[note 42][note 6],,5,3.0,Europe and North America
Solomon Islands,1,,,1,,Asia and the Pacific
South Africa,4,5,1[note 35],10,1.0,Africa
Spain,4,43[note 41][note 42],2[note 23],49,4.0,Europe and North America
Sri Lanka,2,6,,8,,Asia and the Pacific
Sudan,1,2,,3,,Arab States
Suriname,1,1,,2,,Latin America and the Caribbean
Sweden,1[note 18],13[note 8],1,15,2.0,Europe and North America
Switzerland,3[note 31],10[note 32][note 3][note 6],,13,4.0,Europe and North America
Syria,,6,,6,,Arab States
Tajikistan,1,1,,2,,Asia and the Pacific
Tanzania,3,3,1,7,,Africa
Thailand,3,3,,6,,Asia and the Pacific
Togo,,1,,1,,Africa
Tunisia,1,7,,8,,Arab States
Turkey,,17,2,19,,Europe and North America
Turkmenistan,,3,,3,,Asia and the Pacific
Uganda,2,1,,3,,Africa
Ukraine,1[note 1],6[note 8][note 40],,7,3.0,Europe and North America
United Kingdom,4,28[note 26],1,33,1.0,Europe and North America
United States,12[note 13],11,1,24,2.0,Europe and North America
United Arab Emirates,,1,,1,,Arab States
Uruguay,,3,,3,,Latin America and the Caribbean
Uzbekistan,1[note 34],4,,5,1.0,Asia and the Pacific
Vanuatu,,1,,1,,Asia and the Pacific
Venezuela,1,2,,3,,Latin America and the Caribbean
Vietnam,2,5,1,8,,Asia and the Pacific
Yemen,1,3,,4,,Arab States
Zambia,1[note 43],,,1,1.0,Africa
Zimbabwe,2[note 43],3,,5,1.0,Africa
(less Transboundary Sites),14,18,2,34,,
