country,number,nonsense,item,wikidata_id,wikidata_id_short,pageid,wikidata_description
Cyprus,9,1,İsmet Güney,http://www.wikidata.org/entity/Q3555605,wd:Q3555605,13461724,Turkish Cypriot artist (1923-2009)
Czech Republic,67,1,Alphonse Mucha,http://www.wikidata.org/entity/Q146691,wd:Q146691,102989,"Czechoslovak photographer, painter and illustrator (1860-1939)"
Democratic Republic of the Congo,11,1,Chéri Samba,http://www.wikidata.org/entity/Q2617109,wd:Q2617109,6939907,Congolese painter
Denmark,80,1,Camille Pissarro,http://www.wikidata.org/entity/Q134741,wd:Q134741,7434,Danish-French painter
Dominica,1,1,Tam Joseph,http://www.wikidata.org/entity/Q7680461,wd:Q7680461,8079096,UK based artist of Dominican origin
Dominican Republic,22,1,Théodore Chassériau,http://www.wikidata.org/entity/Q342467,wd:Q342467,861782,French romantic painter (1819-1856)
Ecuador,22,1,Oswaldo Guayasamín,http://www.wikidata.org/entity/Q555200,wd:Q555200,1032501,Ecuadorian painter
Egypt,17,1,Ghada Amer,http://www.wikidata.org/entity/Q288793,wd:Q288793,7166896,Egyptian American artist (born 1963)
El Salvador,17,1,Consuelo de Saint Exupéry,http://www.wikidata.org/entity/Q445703,wd:Q445703,2416228,Salvadoran-French writer and artist (1901-1979)
Eritrea,3,1,Aida Hanemayer,http://www.wikidata.org/entity/Q59820766,wd:Q59820766,59414421,Russian painter
Estonia,27,1,Michael Sittow,http://www.wikidata.org/entity/Q372203,wd:Q372203,14125320,Estonian painter (1459-1525)
Ethiopia,11,1,Afewerk Tekle,http://www.wikidata.org/entity/Q382165,wd:Q382165,2298109,Ethiopian artist (1932-2012)
Fiji,1,1,Sina Woolcott,http://www.wikidata.org/entity/Q41784257,wd:Q41784257,55489542,"New Zealand artist, born in Fiji"
Finland,46,1,Akseli Gallen-Kallela,http://www.wikidata.org/entity/Q170068,wd:Q170068,159552,Finnish painter (1865-1931)
France,159,1,Henri Matisse,http://www.wikidata.org/entity/Q5589,wd:Q5589,60203,French artist (1869-1954)
Georgia,45,1,Niko Pirosmani,http://www.wikidata.org/entity/Q310896,wd:Q310896,1289941,Georgian artist (1862-1918)
Germany,171,1,Albrecht Dürer,http://www.wikidata.org/entity/Q5580,wd:Q5580,2402,"German painter, printmaker, mathematician, and theorist"
Greece,106,1,El Greco,http://www.wikidata.org/entity/Q301,wd:Q301,140639,"Greek artist, painter, sculptor and architect, 1541-1614"
Guatemala,13,1,Rina Lazo,http://www.wikidata.org/entity/Q2153294,wd:Q2153294,39679639,Guatemalan-Mexican painter and muralist (1923-2019)
Guyana,4,1,Frank Bowling,http://www.wikidata.org/entity/Q1264049,wd:Q1264049,7803069,British painter
Haiti,18,1,Frankétienne,http://www.wikidata.org/entity/Q162778,wd:Q162778,852125,Haitian artist and writer
Honduras,4,1,Teresita Fortín,http://www.wikidata.org/entity/Q50300756,wd:Q50300756,56726940,Honduran painter
Hungary,55,1,Victor Vasarely,http://www.wikidata.org/entity/Q154448,wd:Q154448,311107,French-Hungarian painter and printmaker
Iceland,20,1,Jóhannes Sveinsson Kjarval,http://www.wikidata.org/entity/Q1364913,wd:Q1364913,701114,Icelandic painter (1885-1972)
India,52,1,Raja Ravi Varma,http://www.wikidata.org/entity/Q333453,wd:Q333453,910003,Indian painter from Kerala (1848-1906)
Indonesia,27,1,Jan Toorop,http://www.wikidata.org/entity/Q369416,wd:Q369416,178222,Dutch-Indonesian painter (1858-1928)
Iran,31,1,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535)
Iraq,78,1,Zaha Hadid,http://www.wikidata.org/entity/Q47780,wd:Q47780,513402,Iraqi British architect and painter
Israel,28,1,Yaacov Agam,http://www.wikidata.org/entity/Q276030,wd:Q276030,1336683,Israeli sculptor and experimental artist
Italy,282,1,Leonardo da Vinci,http://www.wikidata.org/entity/Q762,wd:Q762,18079,Italian Renaissance polymath (1452-1519)
Jamaica,5,1,Barrington Watson,http://www.wikidata.org/entity/Q808936,wd:Q808936,8526831,Jamaican painter (1931-2016)
Japan,153,1,Katsushika Hokusai,http://www.wikidata.org/entity/Q5586,wd:Q5586,43357,Japanese artist (1760-1849)
Jordan,23,1,Princess Fahrelnissa Zeid,http://www.wikidata.org/entity/Q3064473,wd:Q3064473,1328444,Turkish artist (1901–1991)
Kazakhstan,14,1,Vladimir Tretchikoff,http://www.wikidata.org/entity/Q716596,wd:Q716596,1660979,Russian artist (1913-2006)
Kenya,11,1,Wangechi Mutu,http://www.wikidata.org/entity/Q457420,wd:Q457420,4215779,Kenyan sculptor
Kosovo,6,1,Ramadan Ramadani,http://www.wikidata.org/entity/Q14542500,wd:Q14542500,30968666,Kosovar painter (1944-2005)
Kuwait,6,1,Shurooq Amin,http://www.wikidata.org/entity/Q19588367,wd:Q19588367,45654148,Kuwaiti artist
Kyrgyzstan,5,1,Lucien Dulfan,http://www.wikidata.org/entity/Q6697058,wd:Q6697058,17043160,American artist
Laos,2,1,Marisa Darasavath,http://www.wikidata.org/entity/Q42719188,wd:Q42719188,55717115,Laotian artist and translator
Latvia,63,1,Mark Rothko,http://www.wikidata.org/entity/Q160149,wd:Q160149,127657,American painter of Latvian-Jewish descent (1903-1970)
Lebanon,11,1,Paul Guiragossian,http://www.wikidata.org/entity/Q7151036,wd:Q7151036,44436268,Armenian painter
Libya,7,1,Mario Schifano,http://www.wikidata.org/entity/Q1411112,wd:Q1411112,19279309,Italian painter (1934-1998)
Lithuania,48,1,Isaac Levitan,http://www.wikidata.org/entity/Q211356,wd:Q211356,61629531,Russian artist (1860-1900)
Luxembourg,35,1,Edward Steichen,http://www.wikidata.org/entity/Q313899,wd:Q313899,389901,"American photographer, artist and curator (1879-1973)"
Malawi,1,1,Mary Nicol Neill Armour,http://www.wikidata.org/entity/Q6780415,wd:Q6780415,29239707,Scottish painter (1902-2000)
Malaysia,5,1,Ibrahim Hussein,http://www.wikidata.org/entity/Q2127538,wd:Q2127538,21618837,Malaysian artist (1936-2009)
Mali,4,1,Abdoulaye Konaté,http://www.wikidata.org/entity/Q2821379,wd:Q2821379,16386037,Malian artist
Malta,16,1,Maria de Dominici,http://www.wikidata.org/entity/Q16859396,wd:Q16859396,41839220,"Maltese artist, sculptor(1645–1703)"
Mauritius,21,1,Malcolm de Chazal,http://www.wikidata.org/entity/Q549230,wd:Q549230,1190104,Mauritian artist (1902-1981)
Mexico,170,1,Frida Kahlo,http://www.wikidata.org/entity/Q5588,wd:Q5588,162276,Mexican painter
Moldova,26,1,Mikhail Larionov,http://www.wikidata.org/entity/Q38785,wd:Q38785,2480197,Russian artist (1881-1964)
Monaco,15,1,François Joseph Bosio,http://www.wikidata.org/entity/Q659429,wd:Q659429,1149657,Monegasque sculptor (1768-1845)
Mongolia,10,1,Nadya Rusheva,http://www.wikidata.org/entity/Q1958352,wd:Q1958352,1779678,Russian artist (1952-1969)
Montenegro,8,1,Milo Milunović,http://www.wikidata.org/entity/Q1283140,wd:Q1283140,3620048,Serbian painter (1897-1967)
Morocco,12,1,Mahi Binebine,http://www.wikidata.org/entity/Q3277719,wd:Q3277719,5825225,Moroccan artist
Mozambique,14,1,Malangatana Ngwenya,http://www.wikidata.org/entity/Q384560,wd:Q384560,8469276,Mozambican artist (1936-2011)
Myanmar,4,1,Ba Kyi,http://www.wikidata.org/entity/Q4837059,wd:Q4837059,29585434,Burmese painter (1912-2000)
Namibia,6,1,Dieter Aschenborn,http://www.wikidata.org/entity/Q439887,wd:Q439887,24395682,German artist (1915-2002)
Nepal,23,1,Araniko,http://www.wikidata.org/entity/Q626019,wd:Q626019,1340629,Nepalese artist and architect (c.1244-c.1306)
Netherlands,238,1,Vincent van Gogh,http://www.wikidata.org/entity/Q5582,wd:Q5582,32603,Dutch post-impressionist painter (1853–1890)
New Zealand,13,1,Frances Hodgkins,http://www.wikidata.org/entity/Q1264271,wd:Q1264271,3894530,New Zealand painter (1869-1947)
Nicaragua,5,1,Carlos Mauricio Valenti Perrillat,http://www.wikidata.org/entity/Q1043058,wd:Q1043058,22777847,French painter (1888-1912)
Nigeria,14,1,El Anatsui,http://www.wikidata.org/entity/Q1323876,wd:Q1323876,8165775,Ghanaian painter and sculptor
North Korea,7,1,Kim Heungsou,http://www.wikidata.org/entity/Q3196925,wd:Q3196925,38398113,South Korean painter (1919-2014)
North Macedonia,34,1,Vlado Goreski,http://www.wikidata.org/entity/Q7938953,wd:Q7938953,29612277,Macedonian painter and graphic artist
Norway,110,1,Edvard Munch,http://www.wikidata.org/entity/Q41406,wd:Q41406,9779,Norwegian painter and printmaker (1863–1944)
Pakistan,14,1,Nalini Malani,http://www.wikidata.org/entity/Q13112819,wd:Q13112819,47302883,artist from India
Panama,8,1,José Luis Rodríguez Pittí,http://www.wikidata.org/entity/Q449779,wd:Q449779,2768668,"Panamanian poet, essayist and photographer"
Papua New Guinea,4,1,Timothy Akis,http://www.wikidata.org/entity/Q2140827,wd:Q2140827,17597850,Papua New Guinean artist (1944-1984)
Paraguay,6,1,Olga Blinder,http://www.wikidata.org/entity/Q981257,wd:Q981257,8058674,Paraguayan artist (1921-2008)
People's Republic of China,36,1,Shitao,http://www.wikidata.org/entity/Q469439,wd:Q469439,1979799,Chinese painter and poet (1642-1707)
Peru,26,1,Boris Vallejo,http://www.wikidata.org/entity/Q377997,wd:Q377997,766490,American artist
Philippines,26,1,Juan Luna,http://www.wikidata.org/entity/Q28867,wd:Q28867,1138168,"Filipino painter, sculptor and political activist (1857-1899)"
Poland,58,1,Jan Matejko,http://www.wikidata.org/entity/Q189117,wd:Q189117,392979,Polish painter (1838-1893)
Portugal,25,1,Paula Rego,http://www.wikidata.org/entity/Q235318,wd:Q235318,208066,Portuguese visual artist
Qatar,38,1,M. F. Husain,http://www.wikidata.org/entity/Q558522,wd:Q558522,1280630,Indian artist (1915-2011)
Republic of Ireland,58,1,Francis Bacon,http://www.wikidata.org/entity/Q154340,wd:Q154340,206186,Irish-born British painter (1909-1992)
Republic of the Congo,6,1,Rhode Bath-Schéba Makoumbou,http://www.wikidata.org/entity/Q3429586,wd:Q3429586,55872181,Congolese painter
Romania,56,1,Constantin Brâncuși,http://www.wikidata.org/entity/Q153048,wd:Q153048,6585,"Romanian sculptor, photographer and painter (1876-1957)"
Russia,96,1,Wassily Kandinsky,http://www.wikidata.org/entity/Q61064,wd:Q61064,33820,Russian painter (1866–1944)
São Tomé and Príncipe,12,1,José de Almada Negreiros,http://www.wikidata.org/entity/Q1376821,wd:Q1376821,3649894,Portuguese artist and writer (1893-1970)
Saudi Arabia,7,1,Uthman Taha,http://www.wikidata.org/entity/Q3395409,wd:Q3395409,17577790,Syrian calligrapher
Senegal,16,1,Fathi Hassan,http://www.wikidata.org/entity/Q3740105,wd:Q3740105,8166876,Egyptian artist
Serbia,35,1,Nadežda Petrović,http://www.wikidata.org/entity/Q264453,wd:Q264453,2948009,Serbian artist (1873-1915)
Singapore,8,1,Georgette Chen,http://www.wikidata.org/entity/Q5547081,wd:Q5547081,19271176,Singaporean Artist
Slovakia,27,1,Tivadar Csontváry Kosztka,http://www.wikidata.org/entity/Q613125,wd:Q613125,2200117,painter from Hungary (1853-1919)
Slovenia,29,1,Ivana Kobilca,http://www.wikidata.org/entity/Q236878,wd:Q236878,520915,Slovenian realist painter (1861-1926)
Somalia,1,1,Diriye Osman,http://www.wikidata.org/entity/Q14949307,wd:Q14949307,40387221,Somali writer and visual artist
South Africa,24,1,Edith Durham,http://www.wikidata.org/entity/Q287994,wd:Q287994,13566030,British artist (1863-1944)
South Korea,34,1,Nam June Paik,http://www.wikidata.org/entity/Q158056,wd:Q158056,149356,American video art pioneer (1932-2006)
Spain,239,1,Pablo Picasso,http://www.wikidata.org/entity/Q5593,wd:Q5593,24176,Spanish artist (1881-1973)
Sri Lanka,5,1,Segar,http://www.wikidata.org/entity/Q7446209,wd:Q7446209,21679028,Sri Lankan artist and sculptor
State of Palestine,29,1,Naji al-Ali,http://www.wikidata.org/entity/Q3335321,wd:Q3335321,2227409,Palestinian Cartoonist (c.1937-1987)
Sudan,6,1,Rashid Diab,http://www.wikidata.org/entity/Q21693162,wd:Q21693162,53521303,Sudanese painter
Suriname,9,1,Erwin de Vries,http://www.wikidata.org/entity/Q3216137,wd:Q3216137,26200460,Surinamese artist (1929-2018)
Sweden,55,1,Carl Larsson,http://www.wikidata.org/entity/Q187310,wd:Q187310,88300,Swedish painter (1853-1919)
Switzerland,88,1,Paul Klee,http://www.wikidata.org/entity/Q44007,wd:Q44007,80441,German painter (1879-1940)
Syria,18,1,Jean Carzou,http://www.wikidata.org/entity/Q1245202,wd:Q1245202,3810345,French painter (1907-2000)
Taiwan,21,1,Chen Danqing,http://www.wikidata.org/entity/Q8933393,wd:Q8933393,45713719,Chinese painter
Tajikistan,4,1,Vladimir Ovchinnikov,http://www.wikidata.org/entity/Q27956582,wd:Q27956582,52474553,"painter, ethnographer, social activist, founder of the wall painting of the city of Borovsk."
Tanzania,11,1,George Lilanga,http://www.wikidata.org/entity/Q1507782,wd:Q1507782,6853425,Tanzanian artists
Thailand,10,1,Rirkrit Tiravanija,http://www.wikidata.org/entity/Q989861,wd:Q989861,8100685,contemporary artist
The Gambia,4,1,Viyé Diba,http://www.wikidata.org/entity/Q3561678,wd:Q3561678,58650919,Senegalese painter
Togo,6,1,Emmanuel Kavi,http://www.wikidata.org/entity/Q16631949,wd:Q16631949,46822251,Togolese visual artist and painter
Tonga,1,1,Sopolemalama Filipe Tohi,http://www.wikidata.org/entity/Q21063221,wd:Q21063221,46965100,New Zealand painter
Trinidad and Tobago,5,1,Michel-Jean Cazabon,http://www.wikidata.org/entity/Q14298845,wd:Q14298845,1766233,Trinidad and Tobago painter
Tunisia,53,1,Georges Wolinski,http://www.wikidata.org/entity/Q1375265,wd:Q1375265,13340909,French cartoonist (1934-2015)
Turkey,56,1,Abdulmejid II,http://www.wikidata.org/entity/Q203768,wd:Q203768,292086,last Ottoman caliph and painter (1868-1944)
Turkmenistan,18,1,Durdy Bayramov,http://www.wikidata.org/entity/Q5316342,wd:Q5316342,23443171,Turkmenistani artist (1938-2014)
Ukraine,78,1,Kazimir Malevich,http://www.wikidata.org/entity/Q130777,wd:Q130777,17300,Ukrainian painter and founder of the Suprematist movement
United Arab Emirates,7,1,Francisco Henriques,http://www.wikidata.org/entity/Q957872,wd:Q957872,8536343,painter
United Kingdom,81,1,J. M. W. Turner,http://www.wikidata.org/entity/Q159758,wd:Q159758,72187,English painter and draftsman (c.1775-1851)
Uruguay,20,1,Joaquín Torres-García,http://www.wikidata.org/entity/Q520713,wd:Q520713,1401316,"Spanish Uruguayan  painter sculptor writer theorist of modern art active in Spain, United States, Italy, France and Uruguay (1874-1949)"
Uzbekistan,15,1,Halyna Sevruk,http://www.wikidata.org/entity/Q12151449,wd:Q12151449,66926446,Ukrainian artist
Venezuela,19,1,Marisol,http://www.wikidata.org/entity/Q438248,wd:Q438248,1392224,Venezuelan-American sculptor (1930-2016)
Vietnam,8,1,Tô Ngọc Vân,http://www.wikidata.org/entity/Q7862308,wd:Q7862308,36900889,Vietnamese painter and art critic
Yemen,6,1,Zadok Ben-David,http://www.wikidata.org/entity/Q1870377,wd:Q1870377,19702155,Israeli artist
Zambia,5,1,Henry Tayali,http://www.wikidata.org/entity/Q2885533,wd:Q2885533,22860510,"Zambian artist, sculptor, printmaker, and lecturer (1943-1987)"
Zimbabwe,5,1,Dessa,http://www.wikidata.org/entity/Q1200888,wd:Q1200888,52159284,Swiss artist
