,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
158,Belarus,14,Klaudzi Duzh-Dusheuski,http://www.wikidata.org/entity/Q3495280,wd:Q3495280,26666930,"Klawdziy Stsyapanavich Duzh-Dushewski (Belarusian: Клаўдзій Сцяпанавіч Дуж-Душэўскі, Lithuanian: Klaudijus Dušauskas-Duž; 27 March 1891 – 25 February 1959) was a Belarusian civil engineer, architect, diplomat and journalist. He is believed to be the creator of the Flag of Belarus in 1917.",https://en.wikipedia.org/wiki/Klawdziy_Duzh-Dushewski
174,Belgium,48,Victor Horta,http://www.wikidata.org/entity/Q49744,wd:Q49744,421318,"Victor Pierre Horta (French: [ɔʁta]; Victor, Baron Horta after 1932; 6 January 1861 – 8 September 1947) was a Belgian architect and designer, and one of the founders of the Art Nouveau movement. His Hôtel Tassel in Brussels, built in 1892–93, is often considered the first Art Nouveau house. The curving stylized vegetal forms that Horta used influenced many others, including architect Hector Guimard, who used it in the first house he designed in Paris and in the entrances he designed for the Paris Metro. He is also considered a precursor of modern architecture for his open floor plans and his innovative use of iron, steel and glass.Horta's later work moved away from Art Nouveau, and became more geometric and formal, with classical touches, such as columns. He made a highly original use of steel frames and skylights to bring light into the structures, open floor plans, and finely-designed decorative details. His later major works included the Maison du Peuple/Volkshuis (1895–1899); Brussels' Centre for Fine Arts (1923–1929); and Brussels Central Station (1913–1952).
In 1932, King Albert I conferred on Horta the title of Baron for his services to the field of architecture. Four of the buildings he designed have been designated a UNESCO World Heritage Site.

",https://en.wikipedia.org/wiki/Victor_Horta
194,Belize,7,Esther Ayuso,http://www.wikidata.org/entity/Q21165247,wd:Q21165247,48174362,"Esther Ayuso,  (born November 1958) was the first female Belizean architect. She is known for her designs to improve hospitals in Belize including Belize Medical Associates, the Cleopatra White Polyclinic, Matron Robert polyclinic, the Hoy Eye Clinic and the PICU/NICU wing of Karl Heusner Memorial Hospital due to be completed in 2015. She has served as a Senator and as the Chair of the National Women's Commission, as well as the Belizean delegate to the Inter-American Commission of Women. In 2015 she was awarded the Most Excellent Order of the British Empire for contributions to the community.",https://en.wikipedia.org/wiki/Esther_Ayuso
198,Benin,8,Paul Ahyi,http://www.wikidata.org/entity/Q3743747,wd:Q3743747,25770222,"Paul Ahyi (January 15, 1930 – January 4, 2010) was a Togolese artist, sculptor, architect, painter, interior designer and author.  Ahyi is credited with designing of the flag of Togo.Ahyi was known for his massive outdoor artworks, reliefs and sculptures, including his contributions to the Independence Monument in Lomé, which commemorates the country's independence from France.  Other outdoor sculptures and statues by Ahyi can be found on buildings and in parks throughout Togo, as well as the Vatican, Senegal, Benin, Côte d’Ivoire, Nigeria and South Korea.He also created his pieces using a wide array of mediums including jewelry, pottery, ceramics and tapestries. He was also an interior designer who created household objects and art pieces.",https://en.wikipedia.org/wiki/Paul_Ahyi
200,Bhutan,6,Dorji Yangki,http://www.wikidata.org/entity/Q1245423,wd:Q1245423,49344112,"Dorji Yangki is one of the first female architects from Bhutan.She studied architecture at Deakin University in Melbourne, Australia, and later studied in England, Norway, and Japan. From 2008 until 2009 she held the Loeb Fellowship at the Harvard Graduate School of Design. She also completed a Masters in historic buildings at the British University of York.
Dorji is the first elected female President of the Bhutan Association of Architects and the first female Chair of SAARCH  (South Asian Association for Regional Cooperation of Architects). Dorji is currently one of the only actively practicing female Bhutanese Principal Architects leading a private firm in BhutanSince graduating in 1996, she selected as the first local architect in Bhutan to work on the conservation of heritage sites in Bhutan. As the pioneering Head of the office for Conservation of Heritage Sites at the Ministry for the Home and Cultural Affairs, for over 15 years, Dorji not only helped establish the first office for the conservation of heritage sites, she also drafted the first Bhutan Guidelines for the conservation of heritage sites in Bhutan and initiated the first training workshops in this field. One of her key initiatives was also the incorporation of traditional local architectural concepts and craftsmanship into new architecture and construction in Bhutan.At the office she worked not only as Principal Architect but also as the project coordinator/Director in numerous projects. Some of the projects include the restoration of the famous monastery Takshang (Tiger's Nest) in Paro after the fire of 1998, the establishment of the first Folk Heritage Museum, the renovation of the Thimphu Memorial Chorten, the Dechenphug monastery, the Trongsa Dzong fortress and the Simtokha Dzong fortress among many others.Some of her key new architectural design works include the design of the National Archives of Bhutan (which was the first climate controlled building in Bhutan), the Office /gallery building of the National Museum, the offices of the Royal Academy of Performing Arts, the Chukha Dzong redesign, the Pangrizampa School of Astrology, the Ugyen Pema Woedling Zangdol Palri temple at Paro, the Smithsonion Folk life Bhutanese temple, and the new Guru Rimpoche Temple at Dechenphug monastery. She also helped curate and design the first exhibitions on Bhutanese culture held outside of Bhutan in the National Museums in Delhi and Kolkata.
Following her passion for sustainable architecture, Dorji was responsible for helping the Ministry of Works and Human Settlements of Bhutan to establish the first Guidelines for the introduction of Green Buildings in Bhutan in 2013. She was also instrumental in leading the drafting of the Bhutanese Architecture Guidelines 2014, for the design of new buildings and cities in the nation. With the Royal University of Bhutan, Dorji was one of the key advisers to help set up the course for the very first degree in Architecture within Bhutan.  
As a native from Bhutan, a country that follows the principle of ‘GNH’ or Gross National Happiness, Dorji advocates for sustainable Biophilic design and planning that has a sense of place, connects people to nature and helps to initiate happiness among people.",https://en.wikipedia.org/wiki/Dorji_Yangki
201,Bolivia,12,Teresa Gisbert Carbonell,http://www.wikidata.org/entity/Q16438439,wd:Q16438439,44166035,"Teresa Gisbert Carbonell de Mesa (November 30, 1926 – February 19, 2018) was a Bolivian architect and art historian. She specialized in the history of the Andean region.",https://en.wikipedia.org/wiki/Teresa_Gisbert
208,Bosnia and Herzegovina,16,Ksenia Milicevic,http://www.wikidata.org/entity/Q2625077,wd:Q2625077,24770736,"Ksenia Milicevic (born September 15, 1942) is a French painter, architect and town planner. She is based in Paris, with a studio in Bateau-Lavoir in Montmartre and also maintains a base in South West France.",https://en.wikipedia.org/wiki/Ksenia_Milicevic
227,Brazil,41,Lucio Costa,http://www.wikidata.org/entity/Q298926,wd:Q298926,766384,"Lúcio Marçal Ferreira Ribeiro Lima Costa  (27 February 1902 – 13 June 1998) was a Brazilian architect and urban planner, best known for his plan for Brasília.",https://en.wikipedia.org/wiki/L%C3%BAcio_Costa
249,Bulgaria,18,Sunay Erdem,http://www.wikidata.org/entity/Q18393109,wd:Q18393109,44246985,"Sunay Erdem (born 17 March 1971) is a Turkish Landscape architect (graduated) and self-taught Architect. He is one of Turkey's most prolific and best Landscape architects of his generation. Sunay Erdem founded Erdem Architects with his brother, Günay Erdem, in 1998.
Sunay Erdem designed many urban design projects in more than 40 different countries. Erdem has been using free-hand sketching method since 1992 and he has more than 700 free-hand perspectives. His water colored sketch won the first prize in 2013 Sketch Showdown Competition, Mixed Media which was organized by Philadelphia Center for Architecture. He won Turkish National Architecture Award in the category Presentation of Ideas (2010). Sunay Erdem also won Turkish National Landscape Architecture Awards in 2009, 2010 and 2013 which were given by Chamber of Landscape Architects in Turkey. One of the important projects developed by Sunay Erdem is the wall project for the US-Mexico border.",https://en.wikipedia.org/wiki/Sunay_Erdem
270,Burkina Faso,9,Diébédo Francis Kéré,http://www.wikidata.org/entity/Q99416,wd:Q99416,25986110,"Diébédo Francis Kéré is an architect who was born April 10, 1965 in Gando, Burkina Faso and studied at the Technical University of Berlin. Since 1985, he has been living in Berlin, Germany, where he set up Kéré Architecture. Parallel to his studies, he established the Kéré Foundation e.V. (formerly Schulbausteine für Gando e.V.), and in 2005 he founded Kéré Architecture. His architectural practice has been recognized nationally and internationally with awards including the Aga Khan Award for Architecture (2004) for his first building, the Gando Primary School in Burkina Faso, and the Global Holcim Award 2012 Gold. Kéré has undertaken projects in varied countries including Burkina Faso, Mali, Germany, the United States, Kenya, and Uganda. In 2017 the Serpentine Galleries commissioned him to design the Serpentine Pavilion in London. He has held professorships at the Harvard Graduate School of Design, Yale School of Architecture and the Swiss Accademia di Architettura di Mendrisio. In 2017 he accepted the professorship for ""Architectural Design and Participation"" at TU München (Germany).",https://en.wikipedia.org/wiki/Di%C3%A9b%C3%A9do_Francis_K%C3%A9r%C3%A9
271,Burundi,7,Costas Kondylis,http://www.wikidata.org/entity/Q1136471,wd:Q1136471,6385633,"Costas Kondylis (1940 – August 18, 2018) was an American architect. He designed over 85 buildings in New York City, many of them for real-estate developer and later U.S. president Donald Trump, through his eponymous architectural firm.Kondylis was born in Burundi, though his parents were from Greece; he ultimately ended up attending boarding school there. He attained master's degrees at the University of Geneva and at Columbia University. After receiving his master's degrees in 1967, Kondylis worked at Davis, Brody & Associates, and then at Philip Birnbaum & Associates. In 1989, Kondylis created Costas Kondylis and Partners; the firm's work was featured in several magazines and was the subject of a television documentary. Costas Kondylis and Partners, which was headquartered in New York City, dissolved in 2009. Afterward, he created another firm called Kondylis Design. Kondylis died on August 18, 2018, of undisclosed causes.",https://en.wikipedia.org/wiki/Costas_Kondylis
272,Cambodia,10,Vann Molyvann,http://www.wikidata.org/entity/Q379178,wd:Q379178,12398858,"Vann Molyvann (Khmer: វណ្ណ ម៉ូលីវណ្ណ; 23 November 1926 – 28 September 2017) was a Cambodian architect.  During the Sangkum Reastr Niyum regime (1955–1970), Prince Norodom Sihanouk enacted a development policy encompassing the whole kingdom with the construction of new towns, infrastructure and architecture.  Vann was the foremost of a generation of architects who contributed to the unique style of architecture that emerged during this era and that has been coined New Khmer Architecture.  In 1997 Darryl Collins Historian and Helen Grant Ross Architect Historian, two lecturers at the Royal University of Fine Arts, Phnom Penh, questioned the history behind this heritage of modern architecture that all could see throughout the land, but that everybody had forgotten due to the troubled history of the Kingdom.  After nearly 10 years of research in 2006 they published the facts.  In the meantime they produced exhibitions, participated in university conferences, and wrote many articles in the press about the phenomenon known as New Khmer Architecture, and the accomplishments of Vann Molyvann who was still alive and who they had interviewed lengthily.",https://en.wikipedia.org/wiki/Vann_Molyvann
274,Cameroon,6,Isaac Menyoli,http://www.wikidata.org/entity/Q2238468,wd:Q2238468,18249975,"Isaac Menyoli (born 6 August 1972) is a Cameroonian architect and skier who was the first person to represent his country at the Winter Olympic Games when he took part in the 2002 Winter Olympics in Salt Lake City. He competed in the men's classical 10 km race in cross-country skiing, finishing 80th and last with a time of 45:40.3. He also took part in the 1.5 km sprint, where he finished 67th out of 71, with a time of 4:10.07, just behind Philip Boit of Kenya.The Australian Broadcasting Corporation reported that he had been ""voted the day's best Olympian overnight"", and described him as a Winter Olympics' version of Eric the Eel.Menyoli's stated aim as a competitor was not to win a medal, but to attract media attention (as a Cameroonian skier) so as to speak up, in front of a global audience, about the prevalence of AIDS in his country, and specifically in his home town of Buea.Menyoli explained that many people in Buea were not convinced of the threat posed by AIDS and that he hoped to persuade them by being interviewed during an international event. ""I want to ski for a reason. I want to tell people that they really have to watch out, that AIDS is serious.""",https://en.wikipedia.org/wiki/Isaac_Menyoli
276,Canada,71,Frank Gehry,http://www.wikidata.org/entity/Q180374,wd:Q180374,53404,"Frank Owen Gehry, , FAIA (; born Frank Owen Goldberg; (1929 -02-28)February 28, 1929) is a Canadian-born American architect and designer. A number of his buildings, including his private residence in Santa Monica, California, have become world-renowned attractions.
His works are considered among the most important of contemporary architecture in the 2010 World Architecture Survey, leading Vanity Fair to call him ""the most important architect of our age"". He is also the designer of the National Dwight D. Eisenhower Memorial.

",https://en.wikipedia.org/wiki/Frank_Gehry
303,Cape Verde,4,Jorge Ferreira Chaves,http://www.wikidata.org/entity/Q6277979,wd:Q6277979,28975514,"Jorge Ferreira Chaves (22 February 1920 – 22 August 1981) was a Portuguese architect.
Some authors may refer to him as ""Jorge Chaves"" or simply ""Chaves"".
He was one of the architects responsible, in the latter part of the 1940s, for the establishment of the Modern Movement in Portugal.Professionally active between 1941 and 1981, he is considered one of the most perfectionist Portuguese architects. From 1946, in his office, he developed several dozens of projects for continental Portugal, the island of Madeira, Portuguese Guinea and Angola.He also collaborated with some of Lisbon's most important architectural offices of the first half of the 20th century: those of Joaquim Ferreira, Miguel Jacobetty Rosa and Porfírio Pardal Monteiro.",https://en.wikipedia.org/wiki/Jorge_Ferreira_Chaves
305,Chile,23,Alejandro Aravena,http://www.wikidata.org/entity/Q3609433,wd:Q3609433,39935926,"Alejandro Gastón Aravena Mori (born 22 June 1967) is a Chilean architect and executive director of the firm Elemental S.A.  He won the Pritzker Architecture Prize in 2016, and also, he was the director and curator of the Architecture Section of the 2016 Venice Biennale.",https://en.wikipedia.org/wiki/Alejandro_Aravena
322,Colombia,13,Bruce Graham,http://www.wikidata.org/entity/Q62570,wd:Q62570,1428886,"Bruce John Graham (December 1, 1925 – March 6, 2010) was a Peruvian-American architect. Graham built buildings all over the world and was deeply involved with evolving the Burnham Plan of Chicago. Among his most notable buildings are the Inland Steel Building, the Willis Tower (formerly the Sears Tower), and the John Hancock Center. 
He was also responsible for planning the  Broadgate and Canary Wharf developments in London.Architectural historian Franz Schulze called him ""the Burnham of his generation.""  He was a 1993 Pew Fellow.",https://en.wikipedia.org/wiki/Bruce_Graham
339,Costa Rica,7,Claudia Dobles Camargo,http://www.wikidata.org/entity/Q51544231,wd:Q51544231,57099899,"Claudia Vanessa Dobles Camargo (born 19 November 1980) is a Costa Rican architect and urban planner. Dobles, the wife of President Carlos Alvarado Quesada, has served as the First Lady of Costa Rica since 8 May 2018. She is the first person from San Carlos to hold the position of first lady.",https://en.wikipedia.org/wiki/Claudia_Dobles_Camargo
346,Croatia,65,Marcus Vipsanius Agrippa,http://www.wikidata.org/entity/Q48174,wd:Q48174,19747,"Marcus Vipsanius Agrippa (; 63 BC  – 12 BC) was a Roman general, statesman, and architect who was a close friend, son-in-law, and lieutenant to the Roman emperor Augustus. He was responsible for the construction of some of the most notable buildings in history, including the original Pantheon, and is well known for his important military victories, notably the Battle of Actium in 31 BC against the forces of Mark Antony and Cleopatra. 
Born to a plebeian family of equestrian rank in 63 BC, in an uncertain location in Roman Italy, he met the future emperor Augustus, then known as Octavian, at Apollonia, in Illyria. Following the assassination of Octavian's great-uncle Julius Caesar in 44 BC, Octavian returned to Italy. Around this time, he was elected tribune of the plebs. Agrippa served as a military commander, fighting alongside Octavian and Caesar's former general and right-hand man Mark Antony in the Battle of Philippi. In 40 BC, he became the Praetor Urbanus (Urban Prefect) of Rome, managing the administration of the city. He played a major role in the Second Triumvirate's war against Lucius Antonius and Fulvia, respectively the brother and wife of Mark Antony. In 39 or 38 BC, Agrippa was appointed governor of Transalpine Gaul. In 38 BC he put down a rising of the Aquitanians and fought the Germanic tribes. He was consul for 37 BC, well below the usual minimum age of 43, to oversee the preparations for warfare against Sextus Pompey, who had cut off grain shipments to Rome.
Agrippa defeated Pompey in the battles of Mylae and Naulochus in 36 BC. In 33 BC, he served as Curule aedile. Agrippa commanded the victorious Octavian's fleet at the Battle of Actium in 31 BC. Following the victory at Actium, Octavian became emperor, and took the title of Augustus, while Agrippa remained as his close friend and lieutenant. Agrippa assisted Augustus in making Rome ""a city of marble."" Agrippa renovated aqueducts to provide Roman citizens from every social class access to the highest quality public services, and was responsible for the creation of many baths, porticoes, and gardens. He was also awarded powers almost as great as those of Augustus. He had veto power over the acts of the Senate and the power to present laws for approval by the People. He died in 12 BC at the age of 50–51. Augustus honored his memory with a magnificent funeral and spent over a month in mourning. His remains were placed in Augustus' own mausoleum.
Agrippa was also known as a writer, especially on geography. Under his supervision, Julius Caesar's design of having a complete survey of the empire made was accomplished. From the materials at hand he constructed a circular chart, which was engraved on marble by Augustus and afterwards placed in the colonnade built by his sister Vipsania Polla. Agrippa was also husband to Julia the Elder (who had later married the second Emperor Tiberius), and was the maternal grandfather of Caligula and the maternal great-grandfather of the Emperor Nero.",https://en.wikipedia.org/wiki/Marcus_Vipsanius_Agrippa
373,Cuba,7,Ricardo Porro,http://www.wikidata.org/entity/Q1453813,wd:Q1453813,31073104,"Ricardo Porro Hidalgo (November 1925 – 25 December 2014) was a Cuban-born architect. He graduated in architecture from the Universidad de la Habana (University of Havana) in 1949 and built this year his first project Villa Armenteros in Havana, following which he spent two years in post-graduate studies at the Institute of Urbanism at the Sorbonne.",https://en.wikipedia.org/wiki/Ricardo_Porro
390,Cyprus,10,Hermodorus of Salamis,http://www.wikidata.org/entity/Q1035625,wd:Q1035625,17424172,"Hermodorus of Salamis was an ancient Greek architect from Salamis, Cyprus who was highly active in ancient Rome between 146 BC and 102 BC, where his work includes the Temple of Jupiter Stator (2nd century BC) and the Temple of Mars. He also inspired Vitruvius and led the construction of the Navalia.",https://en.wikipedia.org/wiki/Hermodorus_of_Salamis
392,Czech Republic,58,Adolf Loos,http://www.wikidata.org/entity/Q44323,wd:Q44323,53604,"Adolf Franz Karl Viktor Maria Loos
(German pronunciation: [ˈaːdɔlf loːs]; 10 December 1870 – 23 August 1933) was an Austrian architect and influential European theorist of modern architecture. His essay Ornament and Crime advocated smooth and clear surfaces in contrast to the lavish decorations of the fin de siècle, as well as the more modern aesthetic principles of the Vienna Secession, exemplified in his design of Looshaus, Vienna. Loos became a pioneer of modern architecture and contributed a body of theory and criticism of Modernism in architecture and design and developed the ""Raumplan"" (literally spatial plan) method of arranging interior spaces, exemplified in Villa Müller in Prague.
Loos had three tumultuous marriages that all ended in divorce. He suffered from poor health, including an inherited hearing affliction. He was convicted as a pedophile in 1928 for exploiting girls from poor families, aged 8 to 10. He died aged 62 on 23 August 1933 in Kalksburg near Vienna.",https://en.wikipedia.org/wiki/Adolf_Loos
418,Côte d'Ivoire,8,Pierre Fakhoury,http://www.wikidata.org/entity/Q3384954,wd:Q3384954,13196904,"Pierre Fakhoury (born in Dabou, 
Côte d'Ivoire) is a Lebanese/Ivorian architect. He graduated at the School of Architecture at Tournai, Belgium.
His notable work includes the Basilica of Our Lady of Peace in Yamoussoukro, Côte d'Ivoire. Since 1983, Fakhoury has been involved in the relocation of the capital of Côte d'Ivoire from Abidjan to Yamoussoukro.",https://en.wikipedia.org/wiki/Pierre_Fakhoury
422,Denmark,39,Nicolai Abildgaard,http://www.wikidata.org/entity/Q319854,wd:Q319854,21949,"Nicolai Abraham Abildgaard (11 September 1743 – 4 June 1809) was a Danish neoclassical and royal history painter, sculptor, architect, and professor of painting, mythology, and anatomy at the New Royal Danish Academy of Art in Copenhagen, Denmark. Many of his works were in the royal Christiansborg Palace (some destroyed by fire 1794), Fredensborg Palace, and Levetzau Palace at Amalienborg.",https://en.wikipedia.org/wiki/Nicolai_Abildgaard
442,Dominican Republic,11,Carlos de la Mota,http://www.wikidata.org/entity/Q2939521,wd:Q2939521,41080795,"Carlos de la Mota (October 19, 1974, Concepcion de la Vega, Dominican Republic) is a Dominican architect, actor and singer. His acting career began in 2003 and he received critical acclaim for his role in the telenovela Destilando Amor, as Britishman James O'Brian.",https://en.wikipedia.org/wiki/Carlos_de_la_Mota
452,Ecuador,38,Sixto Durán-Ballén,http://www.wikidata.org/entity/Q177182,wd:Q177182,744505,"Sixto Alfonso Durán-Ballén Cordovez (July 14, 1921 – November 15, 2016) was an Ecuadorian political figure and architect. He served as Mayor of Quito between 1970 and 1978. In 1951, he co-founded a political party, the Social Christian Party. In 1991, he left the Social Christian Party and formed a new conservative group, the Republican Union Party (PUR), before running for president for the third time in 1992.Durán-Ballén was elected as President of Ecuador in 1992. He served as congressman in 1984 and again in 1998. he helped to modernize the Ecuadorian economy while facing challenges from the World Bank and oversaw and resolved the Cenepa War during the last years of his presidency. He received positive ratings, upon leaving office four years later on August 10, 1996. His presidency was seen favorably by the public polls, but received mixed opinions from scholars.",https://en.wikipedia.org/wiki/Sixto_Dur%C3%A1n_Ball%C3%A9n
464,Egypt,29,Senenmut,http://www.wikidata.org/entity/Q328732,wd:Q328732,546188,"Senenmut (Ancient Egyptian: sn-n-mwt, sometimes spelled Senmut, Senemut, or Senmout) was an 18th Dynasty ancient Egyptian architect and government official. His name translates literally as ""mother's brother.""",https://en.wikipedia.org/wiki/Senenmut
481,El Salvador,3,Rubén Martínez,http://www.wikidata.org/entity/Q14838817,wd:Q14838817,58170588,"Rubén Martínez Bulnes (born July 7, 1929) is a Salvadoran architect and sculptor. He is considered the author of the country's most prolific sculptural art.",https://en.wikipedia.org/wiki/Rub%C3%A9n_Mart%C3%ADnez_Bulnes
