,Unnamed: 0,country,number,item,item_id,shortform,pageid_x,wikidata_description_x,pageid_y,wikidata_description_y,wikipedia_summary,wikipedia_url
10,182,Bahrain,5,Zakariya Rashid Hassan al-Ashiri,http://www.wikidata.org/entity/Q8065036,wd:Q8065036,33605249,Bahraini journalist,33605249,Bahraini journalist,"Zakariya Rashid Hassan Al-Ashiri (Arabic: زكريا راشد حسن العشيري), also spelled Al Asheri and Aushayri, (1971– April 9, 2011), was a forty-year-old Bahraini blogger and journalist, worked as an editor and writer for a local blog news website in Al Dair, Bahrain. He was killed on April 9, 2011 while in custody of the Bahraini Government. Al-Ashiri was the first journalist in Bahrain to die in direct relation to his work since The Committee to Protect Journalists started keeping records in 1992, and he was the first to die in the Bahraini uprising (2011–present).Al-Ashiri was also the second blogger-journalist worldwide to have been killed for his blogging. Al-Ashiri follows the death two years earlier of Iranian Omid Reza Mir Sayafi, who was the first blogger to have been known to be killed for his publication. Two months after Al-Ashiri, Brazilian blogger Edinaldo Filgueira was killed in June 2011.",https://en.wikipedia.org/wiki/Zakariya_Rashid_Hassan_al-Ashiri
11,200,Bangladesh,12,Shamsur Rahman,http://www.wikidata.org/entity/Q734564,wd:Q734564,1467975,"Bangladeshi poet, writer, journalist",1467975,"Bangladeshi poet, writer, journalist","Shamsur Rahman (Bengali: শামসুর রাহমান; 23 October 1929 – 17 August 2006) was a Bangladeshi poet, columnist and journalist. A prolific writer, Rahman produced more than sixty books of poetry collection and is considered a key figure in Bengali literature from the latter half of the 20th century. He was regarded as the unofficial poet laureate of Bangladesh. Major themes in his poetry and writings include liberal humanism, human relations, romanticised rebellion of youth, the emergence of and consequent events in Bangladesh, and opposition to religious fundamentalism.",https://en.wikipedia.org/wiki/Shamsur_Rahman_(poet)
12,219,Barbados,57,Sue Gardner,http://www.wikidata.org/entity/Q7524,wd:Q7524,26576829,Canadian journalist & former executive director of the Wikimedia Foundation,26576829,Canadian journalist & former executive director of the Wikimedia Foundation,"Sue Gardner (born May 11, 1967) is a Canadian journalist, not-for-profit executive and business executive. She was the executive director of the Wikimedia Foundation from December 2007 until May 2014, and before that was the director of the Canadian Broadcasting Corporation's website and online news outlets.
In 2012, she was ranked as the 70th-most powerful woman in the world by Forbes magazine. In 2013, she joined the board of Global Voices. In May 2015, the Tor Project announced that Gardner would be assisting the project with the development of their long-term organizational strategy. In 2018, she was announced as executive director of The Markup. Gardner left this position in May 2019.",https://en.wikipedia.org/wiki/Sue_Gardner
13,229,Belarus,109,Svetlana Aleksievich,http://www.wikidata.org/entity/Q274334,wd:Q274334,8207719,Belarusian investigative journalist and non-fiction prose writer,8207719,Belarusian investigative journalist and non-fiction prose writer,"Svetlana Alexandrovna Alexievich (born 31 May 1948) is a Belarusian investigative journalist, essayist and oral historian who writes in Russian. She was awarded the 2015 Nobel Prize in Literature ""for her polyphonic writings, a monument to suffering and courage in our time"". She is the first writer from Belarus to receive the award.",https://en.wikipedia.org/wiki/Svetlana_Alexievich
14,262,Belgium,25,Paul Frère,http://www.wikidata.org/entity/Q173328,wd:Q173328,1235784,Belgian racecar driver and journalist,1235784,Belgian racecar driver and journalist,"Paul Frère (30 January 1917 – 23 February 2008) was a racing driver and journalist from Belgium. He participated in eleven World Championship Formula One Grands Prix debuting on 22 June 1952 and achieving one podium finish with a total of eleven championship points. He drove in several non-Championship Formula One races, winning the 1952 Grand Prix des Frontières and 1960 VI South African Grand Prix.
He also won the 1960 24 Hours of Le Mans, driving for Ferrari with fellow Belgian teammate Olivier Gendebien.",https://en.wikipedia.org/wiki/Paul_Fr%C3%A8re
15,274,Belize,3,Kalilah Enríquez,http://www.wikidata.org/entity/Q6352715,wd:Q6352715,8191334,Belizean journalist,8191334,Belizean journalist,"Kalilah Antonette Enríquez (married name Reynolds, born February 11, 1983) is a Belizean journalist and poet. She currently resides in Kingston, Jamaica, where she co-hosts the popular current affairs radio programme, Nationwide This Morning on Nationwide News Network.",https://en.wikipedia.org/wiki/Kalilah_Enr%C3%ADquez
16,280,Benin,7,Olympe Bhely-Quenum,http://www.wikidata.org/entity/Q3351591,wd:Q3351591,6851433,Beninese writer and journalist,6851433,Beninese writer and journalist,"Olympe Bhêly-Quénum (born 20 September 1928) is a Beninese writer, journalist and magazine editor. He is the nephew of anthropologist Maximilien Quenum-Possy-Berry.Born in Ouidah, Benin (formerly Dahomey), Bhêly-Quénum had his primary education in Benin from 1938 to 1944, after which he traveled throughout his native country, Nigeria, his maternal grandmother's country, and Ghana, where he learned English. In 1948 he went to France and undertook his secondary studies at the College Littré, in Avranches, Normandy (Manche). He worked as a teacher and trained as a diplomat, before turning to journalism. He was Editor-in-Chief and then Director of an African magazine entitled La Vie Africaine until 1964. He subsequently joined UNESCO in Paris.
He is the author of several works of fiction published in French. He won the Grand prix littéraire d'Afrique noire for Le Chant du lac in 1966. His first novel Un Piège Sans Fin (1960) was translated into English as Snares Without End (Longman, 1981) and has been called ""an un-put-downable tragedy"".",https://en.wikipedia.org/wiki/Olympe_Bhely-Quenum
17,290,Bolivia,11,Eduardo Rózsa-Flores,http://www.wikidata.org/entity/Q743597,wd:Q743597,22479235,"Bolivian-Hungarian-Croatian mercenary, journalist, actor, and secret agent",22479235,"Bolivian-Hungarian-Croatian mercenary, journalist, actor, and secret agent","Eduardo Rózsa-Flores (31 March 1960 – 16 April 2009) was a Bolivian-Hungarian-Croatian journalist, actor, mercenary, and alleged secret agent. Born in Santa Cruz de la Sierra, Bolivia, he was known in Hungary as Rózsa-Flores Eduardo or Rózsa György Eduardo. His wartime nickname in the Croatian War of Independence was ""Chico"".",https://en.wikipedia.org/wiki/Eduardo_R%C3%B3zsa-Flores
18,323,Botswana,9,Pelonomi Venson-Moitoi,http://www.wikidata.org/entity/Q7161670,wd:Q7161670,14599418,Motswana journalist,14599418,Motswana journalist,"Pelonomi Venson-Moitoi is a Motswana journalist and politician who served as Minister of Foreign Affairs of Botswana from 2014 until December 2018. She was appointed to the National Assembly of Botswana in 1999 as one of the four specially selected members and was re-elected in the 2004 general elections.Venson-Moitoi was the Minister of Works, Transport and Communications from 2001 to 2002 and Minister of Trade, Industry, Wildlife and Tourism from 2002 to 2004. She was appointed as the Minister of Communications, Science, and Technology in 2004. In the 2009 cabinet, Venson-Moitoi was appointed Minister of Communications, Science and Technology, and later she was appointed as Minister of Education.
On 17 December 2018, Venson-Moitoi announced that she would contest the party presidency. President Mokgweetsi Masisi sacked her from Cabinet the following day.

On 5 April 2019 she wrote a letter to Secretary General of the Botswana Democratic Party stating that she was withdrawing from the presidential election, alleging that the election was ""rigged from the beginning."" The previous day, the High Court had ruled against her request to have the elective congress postponed, agreed with opposition lawyers that she had not proved if her citizenship was by birth or descent. Her candidacy had been supported by former President Ian Khama, who slammed the ruling party, accusing them of ""cheating, intolerance and intimidation.""",https://en.wikipedia.org/wiki/Pelonomi_Venson-Moitoi
19,361,Bulgaria,22,Victoria Marinova,http://www.wikidata.org/entity/Q57076990,wd:Q57076990,58691889,Bulgarian journalist and TV host (1988-2018),58691889,Bulgarian journalist and TV host (1988-2018),Victoria Marinova (Bulgarian: Виктория Маринова; 19 August 1988 – 6 October 2018) was a Bulgarian TV host and journalist. She was raped and murdered  at age 30. Her death caused international outrage during a time of increased violence against investigative reporters.,https://en.wikipedia.org/wiki/Victoria_Marinova
20,373,Burkina Faso,3,Serge Théophile Balima,http://www.wikidata.org/entity/Q3479550,wd:Q3479550,18238339,Burkinabé journalist and diplomat,18238339,Burkinabé journalist and diplomat,"Serge Théophile Balima  (born February 1, 1949) is a Burkinabé journalist, diplomat and professor of the University of Ouagadougou.",https://en.wikipedia.org/wiki/Serge_Th%C3%A9ophile_Balima
21,375,Burundi,6,Hafsa Mossi,http://www.wikidata.org/entity/Q26259932,wd:Q26259932,51300487,Burundian politician and journalist,51300487,Burundian politician and journalist,"Hafsa Mossi (1964 – July 13, 2016) was a Burundian politician, journalist, and member of President Pierre Nkurunziza's ruling CNDD–FDD political party. Mossi served as Minister of Information, Communications and Government Spokesperson from 2005 to 2007, as well as Minister of Regional Integration from 2009 to 2011, in Nkurunziza's Council of Ministers. She then served as a member of the East African Legislative Assembly (EALA), representing Burundi, from June 12, 2012, until her murder on July 13, 2016. Her current term in the EALA would have expired in 2017.Mossi was born in 1964 in Makamba. An ethnic Hutu, she began her career in journalism at the Channel for Africa in South Africa. In 1998, Mossi moved to London and became a journalist and producer for the British Broadcasting Corporation's (BBC) Swahili service. She returned to Burundi in the mid-2000s.
Mossi, who was in her 50s, was shot and killed while leaving her home in the Gihosha commune of the then-capital, Bujumbura, on July 13, 2016, by two gunmen who escaped in a car. President Pierre Nkurunziza called her murder an assassination. Several high-ranking members of the Military of Burundi had been killed in the country since the beginning of the Burundian unrest in April 2015. However, Hafsa Mossi was the first senior politician to be killed during the ongoing political crisis. Observers were puzzled by the motive behind Mossi's murder, since she was not viewed as a CNDD–FDD hardliner or stalwart.",https://en.wikipedia.org/wiki/Hafsa_Mossi
22,382,Cambodia,28,Dith Pran,http://www.wikidata.org/entity/Q469846,wd:Q469846,323932,Cambodian photojournalist,323932,Cambodian photojournalist,Dith Pran (Khmer: ឌិត ប្រន; 27 September 1942 – 30 March 2008) was a Cambodian photojournalist. He was a refugee and survivor of the Cambodian genocide and the subject of the film The Killing Fields (1984).,https://en.wikipedia.org/wiki/Dith_Pran
23,392,Cameroon,13,Henriette Ekwe Ebongo,http://www.wikidata.org/entity/Q5716092,wd:Q5716092,32250445,Cameroonian journalist and political activist,32250445,Cameroonian journalist and political activist,"Henriette Ekwe Ebongo (December 25, 1949) is a Cameroonian journalist, publisher and political activist. She was awarded the International Women of Courage Award in 2011.Ebongo advocates freedom of press, gender equality, human rights, and good governance. She was active in the struggle against dictatorship in the 1980s, and the current campaign against government corruption, gender discrimination and human rights abuses. During this time she has suffered repression, torture, and being taken to military court.She is the publisher of the independent weekly newspaper Babela and is a founder of the Cameroon branch of Transparency International, the anti-corruption non-governmental organization.",https://en.wikipedia.org/wiki/Henriette_Ekwe_Ebongo
24,408,Canada,57,Sue Gardner,http://www.wikidata.org/entity/Q7524,wd:Q7524,26576829,Canadian journalist & former executive director of the Wikimedia Foundation,26576829,Canadian journalist & former executive director of the Wikimedia Foundation,"Sue Gardner (born May 11, 1967) is a Canadian journalist, not-for-profit executive and business executive. She was the executive director of the Wikimedia Foundation from December 2007 until May 2014, and before that was the director of the Canadian Broadcasting Corporation's website and online news outlets.
In 2012, she was ranked as the 70th-most powerful woman in the world by Forbes magazine. In 2013, she joined the board of Global Voices. In May 2015, the Tor Project announced that Gardner would be assisting the project with the development of their long-term organizational strategy. In 2018, she was announced as executive director of The Markup. Gardner left this position in May 2019.",https://en.wikipedia.org/wiki/Sue_Gardner
25,426,Cape Verde,12,Arménio Vieira,http://www.wikidata.org/entity/Q2604164,wd:Q2604164,7977467,Cape Verdean journalist,7977467,Cape Verdean journalist,"Arménio Adroaldo Vieira e Silva (Portuguese pronunciation: [ɐɾˈmɛniu ɐdɾuˈaldu viˈejɾɐ i ˈsilvɐ]; born January 29, 1941) is a Cape Verdean writer, poet and journalist.  He began his activity during the 1960s, collaborated in SELÓ, Boletim de Cabo Verde, Vértice (Coimbra) review, Raízes, Ponto & Vírgula, Fragmentos, Sopinha de Alfabeto and others.
Three of his poems— Lisboa (1971), Quiproquo and Ser tigre— can be found on the CD Poesia de Cabo Verde e Sete Poemas de Sebastião da Gama by Afonso Dias.He won the Camões Prize in 2009 on the work O Poema, a Viagem, o Sonho.His poems were celebrated by Mito Elias (also simply as Mito) in Praia and Mindelo in 2011.He started a series of ""versions of books, poetic and miscellaneous notes"" in June 2013 with O Brumário, later Derivações do Brumário and recently Fantasmas e Fantasias do Brumário in 2014.",https://en.wikipedia.org/wiki/Arm%C3%A9nio_Vieira
26,436,Chad,13,Pape Diouf,http://www.wikidata.org/entity/Q3362788,wd:Q3362788,18447388,Senegalese journalist,18447388,Senegalese journalist,"Mababa Diouf, known as Papa Diouf or Pape Diouf, (18 December 1951-31 March 2020), is a Franco-Senegalese football personality who was sports journalist, agent for football players, and later president of Olympique de Marseille from 2005 to 2009.
A descendant of a Senegalese military family, Pape Diouf arrived in France at the age of 18 and started after studying political science in the profession of sports journalism with the communist newspaper La Marseillaise in his football column and columnist of Marseille sports life including Olympique de Marseille during the 1970s and 1980s. At the end of the 1990s, he joined the daily Le Sport, which was supposed to compete with L'Équipe, but ultimately failed.
Linked to many people in football, he then became a agent for several players in the 1990s until 2004. That year, he joined the Olympique de Marseille club as general manager then chairman of the executive board before being appointed president in 2005, being the first, and only since, black president of a French professional club. He remained four years in this post before being disembarked in 2009 following internal disagreements. Although under his presidency the club did not win a trophy, it allowed him to remain in the top 5 of the French Championship standings and to regain stability despite a financially difficult period. He later took part in the creation of a journalism school in Marseille and in conferences on football and shared his life between France and Senegal. He died in Dakar at the age of 68, a victim of the COVID-19 pandemic.",https://en.wikipedia.org/wiki/Pape_Diouf
27,447,Chile,25,José Donoso,http://www.wikidata.org/entity/Q439761,wd:Q439761,3813595,Chilean author and journalist (1924-1996),3813595,Chilean author and journalist (1924-1996),"José Manuel Donoso Yáñez (5 October 1924 – 7 December 1996), known as José Donoso, was a Chilean writer, journalist and professor. He lived most of his life in Chile, although he spent many years in self-imposed exile in Mexico, the United States and Spain. Although he had left his country in the sixties for personal reasons, after 1973 he said his exile was also a form of protest against the dictatorship of Augusto Pinochet. He returned to Chile in 1981 and lived there until his death.
Donoso is the author of a number of short stories and novels, which contributed greatly to the Latin American literary boom. His best known works include the novels Coronación (Coronation), El lugar sin límites (Hell Has No Limits) and El obsceno pájaro de la noche (The Obscene Bird of Night). His works deal with a number of themes, including sexuality, the duplicity of identity, psychology, and a sense of dark humor.",https://en.wikipedia.org/wiki/Jos%C3%A9_Donoso
28,476,Colombia,17,George Rodger,http://www.wikidata.org/entity/Q920364,wd:Q920364,1219992,British photojournalist (1908-1995),1219992,British photojournalist (1908-1995),George William Adam Rodger (19 March 1908 – 24 July 1995) was a British photojournalist noted for his work in Africa and for photographing the mass deaths at Bergen-Belsen concentration camp at the end of the Second World War.,https://en.wikipedia.org/wiki/George_Rodger
29,492,Croatia,21,Marija Jurić Zagorka,http://www.wikidata.org/entity/Q291016,wd:Q291016,7822338,"Croatian journalist, novelist, dramatist",7822338,"Croatian journalist, novelist, dramatist","Marija Jurić (Croatian: [mǎrija jǔːritɕ]; 2 March 1873 – 30 November 1957), known by her pen name Zagorka (IPA: [zǎːɡoːrka]), was a Croatian journalist, writer and women's rights activist. She was the first female journalist in Croatia and is among the most read Croatian writers.

",https://en.wikipedia.org/wiki/Marija_Juri%C4%87_Zagorka
30,497,Cuba,80,Italo Calvino,http://www.wikidata.org/entity/Q154756,wd:Q154756,14937,Italian journalist and writer (1923-1985),14937,Italian journalist and writer (1923-1985),"Italo Calvino (, also US: , Italian: [ˈiːtalo kalˈviːno]; 15 October 1923 – 19 September 1985) was an Italian writer and journalist. His best known works include the Our Ancestors trilogy (1952–1959), the Cosmicomics collection of short stories (1965), and the novels Invisible Cities (1972) and If on a winter's night a traveler (1979).
Admired in Britain, Australia and the United States, he was the most translated contemporary Italian writer at the time of his death.Italo Calvino is buried in the garden cemetery of Castiglione della Pescaia, in Tuscany.",https://en.wikipedia.org/wiki/Italo_Calvino
31,520,Czech Republic,63,Jan Neruda,http://www.wikidata.org/entity/Q156321,wd:Q156321,297899,"Czech poet, theater reviewer, publicist, journalist and writer (1834-1891)",297899,"Czech poet, theater reviewer, publicist, journalist and writer (1834-1891)","Jan Nepomuk Neruda (Czech: [ˈjan ˈnɛpomuk ˈnɛruda]; 9 July 1834 – 22 August 1891) was a Czech journalist, writer, poet and art critic; one of the most prominent representatives of Czech Realism and a member of the ""May School"".",https://en.wikipedia.org/wiki/Jan_Neruda
32,537,Côte d'Ivoire,6,Venance Konan,http://www.wikidata.org/entity/Q2536087,wd:Q2536087,46855295,Ivorian journalist and writer,46855295,Ivorian journalist and writer,"Venance Konan (born 12 December 1958, in Bocanda), is an Ivorian journalist and writer. His journalistic talents have earned him several awards by the prestigious Ebony. He was propelled to the front of the literary scene in 2003 with his bestseller Prisonniers de la haine.",https://en.wikipedia.org/wiki/Venance_Konan
33,546,Democratic Republic of the Congo,13,Caddy Adzuba,http://www.wikidata.org/entity/Q18221021,wd:Q18221021,49181660,"Congolese lawyer, journalist and announcer",49181660,"Congolese lawyer, journalist and announcer","Caddy Adzuba (born 5 April 1981 in Bukavu) is a Congolese lawyer, journalist, and activist for women's rights. Her focus is on fighting sexual violence in the Democratic Republic of the Congo (DRC). She worked for Radio Okapi and in 2014 she received the Princess Asturias Award for Peace.

",https://en.wikipedia.org/wiki/Caddy_Adzuba
34,570,Denmark,31,Jacob Riis,http://www.wikidata.org/entity/Q379211,wd:Q379211,72768,"American photographer, journalist and activist (1849-1914)",72768,"American photographer, journalist and activist (1849-1914)","Jacob August Riis (; May 3, 1849 – May 26, 1914) was a Danish-American social reformer, ""muckraking"" journalist and social documentary photographer. He contributed significantly to the cause of urban reform in America at the turn of the twentieth century. He is known for using his photographic and journalistic talents to help the impoverished in New York City; those impoverished New Yorkers were the subject of most of his prolific writings and photography. He endorsed the implementation of ""model tenements"" in New York with the help of humanitarian Lawrence Veiller. Additionally, as one of the most famous proponents of the newly practicable casual photography, he is considered one of the fathers of photography due to his very early adoption of flash in photography.
While living in New York, Riis experienced poverty and became a police reporter writing about the quality of life in the slums. He attempted to alleviate the bad living conditions of poor people by exposing their living conditions to the middle and upper classes.",https://en.wikipedia.org/wiki/Jacob_Riis
35,582,Dominica,2,Mario Alvarez Dugan,http://www.wikidata.org/entity/Q6764523,wd:Q6764523,20777783,Dominican Republic journalist (1931-2008),20777783,Dominican Republic journalist (1931-2008),"Mario Virgilio Álvarez Dugan (9 April 1931 – 13 December 2008) was a Dominican editor and journalist who served as the head editor of Hoy, a newspaper published in his hometown of Santo Domingo, from 1988 until his death in 2008.Álvarez Dugan began his career as a sports commentator and announcer. He became the general editor of Deportes in 1958. Additionally, he founded and managed two now defunct Dominican equestrian magazines, Handicap and El Enllave.Álvarez Dugan joined the staff of the El Caribe in 1966, later serving as the newspaper's chief editor during the 1970s. He also worked within the management of the El Nacional, but left that particular paper in 1988 to become editor of Hoy. He remained editor of Hoy until his death in 2008.He was inducted into the Dominican sports hall of fame in 1993. Álvarez Dugan authored several sports related books on administrative corruption in athletics, sports anecdotes and the history of baseball in the Dominican Republic.Álvarez Dugan died at a hospital in Santo Domingo, just days after he was admitted suffering from heart problems. He was 77 years old. He was survived by his wife, Altagracia Matilde Soto Peguero, and the couple's three children, including Dominican table tennis player, Mario Virgilio Álvarez Soto.Leonel Fernández, the President of the Dominican Republic, attended Álvarez Dugan's funeral. Fernández paid tribute to him saying, ""Don Mario Álvarez Dugan contributed to influence the spirit of Dominicans as a society,"" and said that he influenced public opinion with balance, good sense and wisdom.",https://en.wikipedia.org/wiki/Mario_%C3%81lvarez_Dugan
36,587,Dominican Republic,7,Nuria Piera,http://www.wikidata.org/entity/Q6047184,wd:Q6047184,41751489,journalist,41751489,journalist,"Nuria Esperanza Piera Gainza (born 29 June 1960) is a Dominican journalist specializing in investigative journalism. Piera is CEO of NCDN, a news production company in CDN (channel 37); she is also owner of Provideo.",https://en.wikipedia.org/wiki/Nuria_Piera
37,600,East Timor,9,Christopher Wenner,http://www.wikidata.org/entity/Q5113407,wd:Q5113407,1938519,British-East Timorese journalist and TV presenter,1938519,British-East Timorese journalist and TV presenter,"Max Christopher Wenner, known as Christopher Wenner and later as Max Stahl (6 December 1954 – 28 October 2021), was a British journalist and television presenter. He was best known for filming an East Timorese demonstration and its aftermath that became known as the Santa Cruz massacre. His coverage of East Timor's struggle for independence is listed in Unesco's Memory of the World register as a ""turning point"" in the birth of a new nation.",https://en.wikipedia.org/wiki/Christopher_Wenner
