,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
80,Azerbaijan,64,Shusha,http://www.wikidata.org/entity/Q158903,wd:Q158903,1492790,city in Azerbaijan,"Shusha (Azerbaijani: Şuşa, (listen)) or Shushi (Armenian: Շուշի) is a city in Azerbaijan, in the disputed region of Nagorno-Karabakh. Situated at an altitude of 1,400–1,800 metres (4,600–5,900 ft) in the Karabakh mountains, the city was a mountain resort in the Soviet era.
Most sources date Shusha's establishment to the 1750s by Panah Ali Khan, founder of the Karabakh Khanate, coinciding with the foundation of the fortress of Shusha. Some attribute this to an alliance between Panah Ali Khan and Melik Shahnazar, the local Armenian prince (melik) of Varanda. In these accounts, the name of the town originated from a nearby Armenian village called Shosh or Shushikent (see § Etymology for alternative explanations). Conversely, some sources describe Shusha as an important center within the self-governing Armenian melikdoms of Karabakh in the 1720s, and others say the plateau was already the site of an Armenian fortification. From the mid-18th century to 1822, Shusha was the capital of the Karabakh Khanate. The town became one of the cultural centers of the South Caucasus after the Russian conquest of the Caucasus region from Qajar Iran in the first half of the 19th century. Over the course of the 19th century, the town grew in size to become a city, and was home to many Armenian and Azeri intellectuals, poets, writers and musicians (including Azeri ashiks, mugham singers and kobuz players).The town has religious, cultural and strategic importance to both groups. Shusha is often considered the cradle of Azerbaijan's music and poetry, and one of the leading centres of the Azerbaijani culture. Shusha also contains a number of Armenian Apostolic churches, including Ghazanchetsots Cathedral and Kanach Zham, and serves as a land link between Nagorno-Karabakh and Armenia, via the Lachin corridor to the west. Throughout modern history, the city fostered a mixed Armenian–Azerbaijani population. The first available demographic information about the city in 1823 suggests the city had an Azerbaijani majority. However, the number of Armenian inhabitants of the city steadily grew over time to constitute a majority of the city's population until the Shusha massacre in 1920, in which the Armenian half of the city was destroyed by Azerbaijani forces, resulting in the death or expulsion of the Armenian population, up to 20,000 people.The city has suffered significant destruction and depopulation during the Nagorno-Karabakh conflict. After the capture of Shusha in 1992 by Armenian forces during First Nagorno-Karabakh War, the city's Azerbaijani population fled, and most of the city was destroyed. Between May 1992 and November 2020, Shusha was under the de facto control of the self-proclaimed Republic of Artsakh and administered as the centre of its Shushi Province. On 8 November 2020, Azerbaijani forces retook the city during the 2020 Nagorno-Karabakh War following a three-day long battle.  The Armenian population of the city fled, and multiple reports emerged that the Armenian cultural heritage of the city was being destroyed.",https://en.wikipedia.org/wiki/Shusha
100,Bangladesh,5,Daulatpur,http://www.wikidata.org/entity/Q5228008,wd:Q5228008,21097400,"town in Daulatpur Upazila, Manikganj District, Bangladesh","Daulatpur is a town in Daulatpur Upazila of Manikganj District in the Dhaka Division of central Bangladesh. The town is best known for being hit by the deadliest tornado in world history, the Daulatpur–Saturia tornado, which killed hundreds of people.","https://en.wikipedia.org/wiki/Daulatpur,_Manikganj"
101,Barbados,22,Speightstown,http://www.wikidata.org/entity/Q2544610,wd:Q2544610,1177141,"town in Saint Peter, Barbados","Speightstown (), also known as Little Bristol, is the second largest City centre of Barbados. It is situated 12 miles (19 km) north of the capital city of Bridgetown, in the northern parish of Saint Peter.
The City is named after William Speight, a member of Barbados' first Assembly during the Settlement years, and the former owner of the land where the City is located.",https://en.wikipedia.org/wiki/Speightstown
105,Belarus,34,Mir,http://www.wikidata.org/entity/Q922668,wd:Q922668,1379502,urban-type settlement in Belarus,"Mir (Belarusian: Мір; Russian: Мир; Yiddish: מיר) is a town in the Karelichy District (Карэліцкі раён) of Grodno Region, Belarus on the banks of Miranka River, about 85 kilometers southwest of the national capital, Minsk.","https://en.wikipedia.org/wiki/Mir,_Belarus"
106,Belgium,60,Spa,http://www.wikidata.org/entity/Q39865,wd:Q39865,176148,"city in Wallonia, Belgium","Spa (Walloon: Spå) is a city and municipality of Wallonia located in the province of Liège, Belgium, whose name became an eponym for mineral baths with supposed curative  properties.
The town of Spa is situated in a valley in the Ardennes mountains 35 kilometres (22 miles) southeast of the city of Liège and 45 kilometres (28 miles) southwest of Aachen. In 2006, Spa had a population of 10,543 and an area of 39.85 square kilometres (15.39 square miles), giving a population density of 265 inhabitants per km² (685/sq mi).
Spa is one of Belgium's most popular tourist destinations, being renowned for its natural mineral springs and production of ""Spa"" mineral water, which is exported worldwide. The Circuit de Spa-Francorchamps, just south of the nearby village of Francorchamps, also hosts the annual Belgian Grand Prix.
The world's first beauty pageant, the Concours de Beauté, was held in Spa on 19 September 1888. It hosted the Tour de France on 5 July 2010, when stage 2 of the race ended in the town.
In 2021, the town became part of the transnational UNESCO World Heritage Site under the name ""Great Spa Towns of Europe"", inscribed for its famous mineral springs and its architectural testimony to the rise of European bathing culture in the 18th and 19th centuries.","https://en.wikipedia.org/wiki/Spa,_Belgium"
126,Belize,131,Belmopan,http://www.wikidata.org/entity/Q3043,wd:Q3043,56626,capital of Belize,"Belmopan () is the capital city of Belize. Its population in 2010 was 16,451. In addition to being the smallest capital city in the continental Americas by population, Belmopan is the third-largest settlement in Belize, behind Belize City and San Ignacio. Founded as a planned community in 1970, Belmopan is one of the newest national capital cities in the world. Since 2000, Belmopan has been one of two settlements in Belize to hold official city status, along with Belize City.
Belmopan is located in Cayo District at an altitude of 76 metres (249 feet) above sea level. Belmopan was constructed just to the east of the Belize River, 80 km (50 mi) inland from the former capital, the port of Belize City, after that city's near destruction by Hurricane Hattie in 1961. The government was moved to Belmopan in 1970. Its National Assembly Building is designed to resemble a Pre-Columbian Maya temple.",https://en.wikipedia.org/wiki/Belmopan
129,Bolivia,40,La Higuera,http://www.wikidata.org/entity/Q257326,wd:Q257326,576410,village in Bolivia,"La Higuera (pronounced [la iˈɣeɾa]; Spanish for 'The Fig Tree') is a small village in Bolivia located in the Province of Vallegrande, in the Department of Santa Cruz. It is situated in the La Higuera Canton (civil parish) belonging to the Pucará Municipality.",https://en.wikipedia.org/wiki/La_Higuera
130,Bosnia and Herzegovina,54,Višegrad,http://www.wikidata.org/entity/Q239266,wd:Q239266,2515458,town in Bosnia and Herzegovina,"Višegrad (Serbian Cyrillic: Вишеград, pronounced [ʋǐʃeɡraːd]) is a town and municipality located in eastern Republika Srpska, an entity of Bosnia and Herzegovina. It rests at the confluence of the Drina and the Rzav river. As of 2013, it has a population of 10,668 inhabitants, while the town of Višegrad has a population of 5,869 inhabitants.
The town includes the Ottoman-era Mehmed Paša Sokolović Bridge, a UNESCO world heritage site which was popularized by Ivo Andrić in his novel The Bridge on the Drina. A tourist site called Andrićgrad (Andrić Town), dedicated to Andrić, is located near the bridge.",https://en.wikipedia.org/wiki/Vi%C5%A1egrad
135,Brazil,24,Mariluz,http://www.wikidata.org/entity/Q2003711,wd:Q2003711,25553534,"municipality in the state of Paraná, Brazil",Mariluz is a municipality in the state of Paraná in the Southern Region of Brazil.,https://en.wikipedia.org/wiki/Mariluz
138,Brunei,29,Kuala Belait,http://www.wikidata.org/entity/Q588045,wd:Q588045,2533570,town in Brunei,"Kuala Belait (Jawi: کوالا بلايت‎), officially known in Malay as Pekan Kuala Belait (literally 'Kuala Belait Town'), is the administrative town of Belait District, Brunei. It is located in the westernmost part of country, near the mouth of the Belait River. The population of the town proper was 4,259 in 2016. Kuala Belait is officially a municipality (bandaran), as well as a village under the mukim of the same name.",https://en.wikipedia.org/wiki/Kuala_Belait
140,Burkina Faso,3,Babri,http://www.wikidata.org/entity/Q4838013,wd:Q4838013,18809726,town in Burkina Faso,"Babri is a town in the Bogandé Department of Gnagna Province in eastern Burkina Faso. The town has a population of 3,991.","https://en.wikipedia.org/wiki/Babri,_Burkina_Faso"
141,Burundi,32,Bururi,http://www.wikidata.org/entity/Q992247,wd:Q992247,2480707,city of Burundi,Bururi is a city located in southern Burundi. It is the capital city of Bururi Province and has around 20.000 inhabitants in 2007.,https://en.wikipedia.org/wiki/Bururi
143,Cambodia,22,Senmonorom,http://www.wikidata.org/entity/Q2530693,wd:Q2530693,9868814,capital of the Cambodian province of Mondulkiri,"Senmonorom (Khmer: សែនមនោរម្យ; lit. 'Delightful') is the capital of the province of Mondulkiri, Cambodia. It is the only major town in the province. The town has over 10,000 inhabitants, and is often compared to frontier towns in the old American west.Senmonorom (and the Mondulkiri province in general) is inhabited by the indigenous Bunong people. Bunong tribesmen and tribeswomen are often seen walking along major highways. The town is popular with NGO workers, loggers, and tourists both from outside Cambodia and from Cambodia's capital Phnom Penh.According to reports from Global Witness, the Mondulkiri province is facing a significant threat from illegal loggers attempting to exploit the area's virgin forests. Protected areas close to Sen Monorom include Keo Seima Wildlife Sanctuary, Phnom Prich Wildlife Sanctuary, and  Srepok Wildlife Sanctuary.
Due to rapid development, as well as mania caused by real estate speculation, land prices in Sen Monorom have boomed. Lots that cost $150 in 2008 went for three or four times as much two years later in 2010.Doh Kromum Mountain (translated as ""Virtuous Woman's Breast Mountain"") is a breast-shaped hill located close to Senmonorom. Members of the Bunong ethnic group ascribe divine powers to the hill and every year hold festivals in the location.",https://en.wikipedia.org/wiki/Senmonorom
145,Cameroon,14,Bandjoun,http://www.wikidata.org/entity/Q2629132,wd:Q2629132,3840447,commune of Cameroon,"Bandjoun (La 'Djo in local language) is a town and commune in the Koung-Khi Department in the West Region  of Cameroon. Bandjoun is also the capital of the Koung-Khi department, and one of the largest traditional chiefdom (chefferie) in Bamiléké country. The chief dwells in Hialah, and has many wives.
Its inhabitants speak Ghomala' or Bandjoun which is one of the Bamiléké family of languages.",https://en.wikipedia.org/wiki/Bandjoun
146,Canada,89,Yellowknife,http://www.wikidata.org/entity/Q2061,wd:Q2061,101392,capital of Northwest Territories,"Yellowknife (; Dogrib: Sǫǫ̀mbak’è) is the capital, largest community, and only city in the Northwest Territories, Canada. It is on the northern shore of Great Slave Lake, about 400 km (250 mi) south of the Arctic Circle, on the west side of Yellowknife Bay near the outlet of the Yellowknife River.
Yellowknife and its surrounding water bodies were named after a local Dene tribe, who were known as the ""Copper Indians"" or ""Yellowknife Indians"", today incorporated as the Yellowknives Dene First Nation. They traded tools made from copper deposits near the Arctic Coast. Its population, which is ethnically mixed, was 19,569 per the 2016 Canadian Census. Of the eleven official languages of the Northwest Territories, five are spoken in significant numbers in Yellowknife: Dene Suline, Dogrib, South and North Slavey, English, and French. In the Dogrib language, the city is known as Sǫǫ̀mbak’è (Athabaskan pronunciation: [sõːmbakʼe], ""where the money is""). Modern Yellowknives members can be found in the adjoining, primarily Indigenous communities of Ndilǫ and Dettah.
The Yellowknife settlement is considered to have been founded in 1934, after gold was found in the area, although commercial activity in the present-day waterfront area did not begin until 1936. Yellowknife quickly became the centre of economic activity in the NWT, and was named the capital of the Northwest Territories in 1967. As gold production began to wane, Yellowknife shifted from being a mining town to a centre of government services in the 1980s. However, with the discovery of diamonds north of the city in 1991, this shift began to reverse. In recent years, tourism, transportation, and communications have also emerged as significant Yellowknife industries.",https://en.wikipedia.org/wiki/Yellowknife
155,Cape Verde,46,Cidade Velha,http://www.wikidata.org/entity/Q464913,wd:Q464913,1534217,"oldest settlement in Cape Verde, and former capital of the territory","Cidade Velha (Portuguese for ""old city"", also: Santiago de Cabo Verde) is a city in the southern part of the island of Santiago, Cape Verde. Founded in 1462,: 77  it is the oldest settlement in Cape Verde and its former capital. Once called Ribeira Grande, its name was changed to Cidade Velha in the late 18th century. It is the seat of the Ribeira Grande de Santiago municipality.
Located off Africa's northwest coast, this town was the first European colonial settlement in the tropics. Some of the meticulously planned original design of the site is still intact, including a royal fortress, two churches and a 16th-century town square. Today, Cidade Velha is an Atlantic shipping stop and center for Creole culture. The city became a UNESCO World Heritage Site and one of the Seven Wonders of Portuguese Origin in the World in 2009.",https://en.wikipedia.org/wiki/Cidade_Velha
156,Central African Republic,26,Mobaye,http://www.wikidata.org/entity/Q1025621,wd:Q1025621,768842,city,"Mobaye is a settlement with a population of 7,176 (2003 census) in the Basse-Kotto prefecture of Central African Republic. It lies on the Ubangi River.",https://en.wikipedia.org/wiki/Mobaye
159,Chad,32,Mao,http://www.wikidata.org/entity/Q1786045,wd:Q1786045,791726,city in Chad,"Mao (Arabic: مؤ) is a city in Chad, the capital of the Kanem Region and of the department also named Kanem. It is the 16th most populous city in Chad, and is located 226 km (140 mi) north-northeast of N'Djamena.
On the border of the Sahara, Mao's geography is marked by sand dunes and sparse vegetation. A large majority of Mao's residents are Muslim. However, there are two Christian churches (one Catholic and one Protestant) in Mao.
As in other Chadian regions, Mao is ruled by both a traditional Sultan and by central government officials. The Sultan of Kanem, who resides in Mao, is the traditional chief of the Kanembou people. Moves toward decentralisation have been stymied by the complex and sometimes tense relationships between traditional rulers in Chad and national authorities.","https://en.wikipedia.org/wiki/Mao,_Chad"
160,Chile,216,Monte Águila,http://www.wikidata.org/entity/Q6022566,wd:Q6022566,46857693,city in Chile,"Monte Águila (Literally in english: ""Mount Eagle"") is a Chilean city in the Bio Bio Region. Its population is 6,574.",https://en.wikipedia.org/wiki/Monte_%C3%81guila
165,Colombia,35,Puerto Carreño,http://www.wikidata.org/entity/Q130304,wd:Q130304,2228023,Capital of the Colombian department of Vichada,"Puerto Carreño (Spanish pronunciation: [ˈpweɾto kaˈreɲo]) is the departmental capital, and a municipality, of the department of Vichada in the Llanos of Colombia.",https://en.wikipedia.org/wiki/Puerto_Carre%C3%B1o
167,Comoros,16,Mitsamihuli,http://www.wikidata.org/entity/Q3109029,wd:Q3109029,3405311,settlement in Comoros,"Mitsamiouli (population 6,100) is a town on the northwest coast of Grande Comore in the Comoros.",https://en.wikipedia.org/wiki/Mitsamiouli
170,Costa Rica,36,Heredia,http://www.wikidata.org/entity/Q30616,wd:Q30616,11434725,"district in Heredia canton, Heredia province, Costa Rica","Heredia (Spanish pronunciation: [eˈɾeðja]) is a district in the Heredia canton of Heredia province, Costa Rica. As the seat of the municipality of Heredia canton, it is awarded the status of city, and by virtue of being the city of the first canton, it is the Province Capital of Heredia province as well. It is 10 kilometers to the north of the country's capital, San José.
The city is home to one of the largest colleges in Costa Rica, the National University of Costa Rica, which accepts many international students.","https://en.wikipedia.org/wiki/Heredia,_Costa_Rica"
171,Croatia,62,Trogir,http://www.wikidata.org/entity/Q189161,wd:Q189161,342735,"town in Split-Dalmatia County, Croatia","Trogir (Dalmatian: Tragur or Traù; Latin: Tragurium; Italian: Traù; Ancient Greek: Τραγύριον, Tragyrion or Τραγούριον, Tragourion) is a historic town and harbour on the Adriatic coast in Split-Dalmatia County, Croatia, with a population of 10,818 (2011) and a total municipal population of 13,260 (2011). The historic city of Trogir is situated on a small island between the Croatian mainland and the island of Čiovo. It lies 27 kilometres (17 miles)  west of the city of Split.
Since 1997, the historic centre of Trogir has been included in the UNESCO list of World Heritage Sites for its Venetian architecture.",https://en.wikipedia.org/wiki/Trogir
191,Cuba,16,Candelaria,http://www.wikidata.org/entity/Q603136,wd:Q603136,13539353,"city in Artemisa province, Cuba","Candelaria is a municipality and town in the Artemisa Province of Cuba. Before 2011 it was part of Pinar del Río Province. It was founded in 1809, and established as a municipality in 1880.","https://en.wikipedia.org/wiki/Candelaria,_Cuba"
198,Czech Republic,74,Český Krumlov,http://www.wikidata.org/entity/Q188082,wd:Q188082,23976653,municipality in the Czech Republic,"Český Krumlov (Czech pronunciation: [ˈtʃɛskiː ˈkrumlof] (listen); German: Krumau, German pronunciation: [kʁʊˈmaʊ̯] (listen), or Böhmisch Krumau) is a town in the South Bohemian Region of the Czech Republic. The historic centre with the Český Krumlov Castle complex is protected by law as an urban monument reservation, and since 1992, it has been a designated UNESCO World Heritage Site because of its well-preserved Gothic, Renaissance and Baroque architecture.",https://en.wikipedia.org/wiki/%C4%8Cesk%C3%BD_Krumlov
218,Denmark,48,Hadsund,http://www.wikidata.org/entity/Q663011,wd:Q663011,145731,danish town,"Hadsund (Danish: [hæðˈsɔnˀ] (listen)) is a city in the eastern part of Jutland with a population of 4,943 (1 January 2021) (5,379 incl. Hadsund South). The city is located by the narrow strait  of Hadsund, , along an inlet called Mariagerfjord. This is a part of Mariagerfjord Municipality in the North Denmark Region. Until 2007, Hadsund was the administrative seat of Hadsund Municipality.
The town of Hadsund is home to a number of companies, including DAVA Foods, Nilfisk and Bodylab. The western part of the greater Hadsund area is home to the oldest still existing windmill in northern Jutland, Havnø Mølle, which was built in 1842 and operated until approximately 1927.
Although the etymology and origins of the city name remain inconclusive, one interpretation holds that the city's name can be traced back to the 18th century as ""Houses of the Sound"", which was formerly the collective name for the first settlements along the main road. The town was granted elevated privileges as a trade hub on 1 December 1854 (which was then the city's official birthday), but never gained de facto market town-rights.
The town houses multiple educational institutions, including Tech College Mariagerfjord, VUC Hadsund, Hadsund School and Hadsund Produktionsskole in the area of vocational education. The city has a broad selection of supermarkets and specialty shops considering the city's modest population. The town also has the only covered shopping center in Himmerland: Hadsund Butikscenter.
Storegade has constituted the city's pedestrian zone since 1990. The street was part of the main highway between Hobro and Aalborg until the road was reformed in 1970.
Hadsund is also the birthplace of author Hans Kirk (1898–1962).",https://en.wikipedia.org/wiki/Hadsund
224,Djibouti,43,Tadjoura,http://www.wikidata.org/entity/Q820972,wd:Q820972,2259153,city,"Tadjoura (Afar: Tagórri; Arabic: تاجوراء Tağūrah; Somali: Tajuura) is one of the oldest towns in Djibouti and the capital of the Tadjourah Region. The town evolved into an early Islamic center with the arrival of Muslims shortly after the Hijra. An important port for many centuries, it was ruled by a succession of polities, including the Ifat Sultanate, Adal Sultanate,  the Ottoman Empire, France until Djibouti's independence in 1977. Lying on the Gulf of Tadjoura, it is home to a population of around 45,000 inhabitants. It is the third largest city in the country after Djibouti City and Ali Sabieh.
Tadjoura has an airstrip and is linked by ferry with Djibouti City. It is also known for its whitewashed buildings and nearby beaches, along with its mosques.

",https://en.wikipedia.org/wiki/Tadjoura
225,Dominica,114,Roseau,http://www.wikidata.org/entity/Q36281,wd:Q36281,57402,capital of Dominica,"Roseau (Dominican Creole: Wozo) is the capital and largest city of Dominica, with a population of 14,725 as of 2011. It is a small and compact urban settlement, in the Saint George parish and surrounded by the Caribbean Sea, the Roseau River and Morne Bruce. Built on the site of the ancient Island Carib village of Sairi, it is the oldest and most important urban settlement on the island of Dominica.
It is on the west (leeward) coast of Dominica and has a combination of modern and colonial French architecture.
Roseau is Dominica's most important port for foreign trade. Some exports include bananas, bay oil, vegetables, grapefruit, oranges, and cocoa. The service sector is also a large part of the local economy. There are several private institutions registered in Dominica, like Ross University, Ballsbridge University, international university for graduate studies, All Saints University, New World University, Western Orthodox University.
There is a prominent diocese called Roman Catholic Diocese of Roseau.",https://en.wikipedia.org/wiki/Roseau
226,Dominican Republic,10,Bohechío,http://www.wikidata.org/entity/Q4490010,wd:Q4490010,16097037,city in Dominican Republic,"Bohechío is a town in the San Juan province of the Dominican Republic.
It is located northeast of the km 25 of Azua – San Juan road at a distance of 26.5 km and 43 km from San Juan Province, 205 km from Santo Domingo and 92 km of the Province Azua, nestled between mountains at the foot of the Cordillera Central. It has a land area of 428.33 km².",https://en.wikipedia.org/wiki/Bohech%C3%ADo
228,East Timor,36,Baucau,http://www.wikidata.org/entity/Q811130,wd:Q811130,4207935,city,"Baucau (Portuguese: Baucau, Tetum: Baukau) is the second-largest city in East Timor, after Dili, the capital, which lies 122 km (76 mi) east of Dili.
Baucau has about 16,000 inhabitants, and is the capital of Baucau, located in the eastern part of the country. In the times of Portuguese Timor, Baucau was little more than an overgrown village, and for part of those times was called Vila Salazar, after the Portuguese dictator António de Oliveira Salazar.

",https://en.wikipedia.org/wiki/Baucau
229,Ecuador,39,Puerto Baquerizo Moreno,http://www.wikidata.org/entity/Q694109,wd:Q694109,1949885,human settlement,"Puerto Baquerizo Moreno (Spanish pronunciation: [ˈpweɾto βakeˈɾiso moˈɾeno]) is the capital of Galápagos Province, Ecuador. It is located on the southwestern coast of San Cristóbal, the easternmost island in the archipelago, and is the capital of San Cristóbal Canton. It was founded by General Villamil Playas in the mid-19th century, and takes its name from President Alfredo Baquerizo (1859–1951). Today, fishing is the main activity of the locals, but tourism is on the increase along the waterfront with numerous hotels and shops.

The town has a cathedral, a post office, police station, a hospital, and a branch of the Universidad San Francisco de Quito. It also contains the Centro de Interpretación of the Galápagos National Park, which was established in 1988, and a natural history museum. It is served by San Cristóbal Airport, which connects to mainland Ecuador.",https://en.wikipedia.org/wiki/Puerto_Baquerizo_Moreno
231,Egypt,59,El Alamein,http://www.wikidata.org/entity/Q204439,wd:Q204439,57602,"town in the northern Matrouh Governorate of Egypt, and also known for two battles of the WWII","El Alamein (Arabic: العلمين, romanized: al-ʿAlamayn, lit. 'the two flags', IPA: [elʕælæˈmeːn] (listen)) is a town in the northern Matrouh Governorate of Egypt. Located on the Arab's Gulf, Mediterranean Sea, it lies 106 kilometres (66 mi) west of Alexandria and 240 kilometres (149 mi) northwest of Cairo. As of 2007, it had a population of 7,397 inhabitants.",https://en.wikipedia.org/wiki/El_Alamein
236,Equatorial Guinea,35,Luba,http://www.wikidata.org/entity/Q985548,wd:Q985548,1692350,city in Equatorial Guinea,"Luba (formerly San Carlos) (pop. 7,000) is the second-largest town on Bioko in Equatorial Guinea, a port for the logging industry on the island's west coast beneath volcanic peaks. Attractions in Luba include several beaches and a colonial hospital.
The city may be reached either by sea or by a main road linking Luba to the country's capital, Malabo. The road is now accessible; it takes about an hour to drive from Malabo to Luba. In 1999, a free port opened near the town, creating deepwater access for larger and oil industry vessels, an alternative to the congested port of Malabo for re-supplying on fuel, water and other materials.
As of 2010 a new highway was under construction from Luba via Belebú Balachá through the Luba Crater Scientific Reserve to Ureca near the south coast.","https://en.wikipedia.org/wiki/Luba,_Equatorial_Guinea"
