,country,number,item,item_id,shortform,pageid,wikidata_description,wikipedia_summary,wikipedia_url
143,Austria,49,Ivan Illich,http://www.wikidata.org/entity/Q84186,wd:Q84186,236515,Austrian philosopher and theologist,"Ivan Dominic Illich (; 4 September 1926 – 2 December 2002) was a Roman Catholic priest, theologian, philosopher, and social critic. His 1971 book Deschooling Society criticises modern society's institutional approach to education, an approach that constrains learning to narrow situations in a fairly short period of the human lifespan. His 1975 book Medical Nemesis, importing to the sociology of medicine the concept of medical harm, argues that industrialised society widely impairs quality of life by overmedicalising life, pathologizing normal conditions, creating false dependency, and limiting other more healthful solutions. Illich called himself ""an errant pilgrim.""",https://en.wikipedia.org/wiki/Ivan_Illich
162,Azerbaijan,40,Pavel Florensky,http://www.wikidata.org/entity/Q336769,wd:Q336769,2848919,"Russian Orthodox theologian, priest, philosopher, mathematician, physicist, electrical engineer, inventor and Neomartyr","Pavel Alexandrovich Florensky (also P. A. Florenskiĭ, Florenskii, Florenskij; Russian: Па́вел Алекса́ндрович Флоре́нский; Armenian: Պավել Ֆլորենսկի, romanized: Pavel Florenski; 21 January [O.S. 9 January] 1882 – December 8, 1937) was a Russian Orthodox theologian, priest, philosopher, mathematician, physicist, electrical engineer, inventor, polymath and neomartyr.",https://en.wikipedia.org/wiki/Pavel_Florensky
168,Bahrain,41,Isaac of Nineveh,http://www.wikidata.org/entity/Q462966,wd:Q462966,2536383,Eastern Orthodox saint,"Isaac of Nineveh (Syriac: ܡܪܝ ܐܝܣܚܩ ܕܢܝܢܘܐ; Arabic: إسحاق النينوي Ishaq an-Naynuwī; Greek: Ἰσαὰκ Σῦρος; c. 613 – c. 700), also remembered as Saint Isaac the Syrian, Abba Isaac, Isaac Syrus and Isaac of Qatar, was a 7th-century Church of the East Syriac Christian bishop and theologian best remembered for his written works on Christian asceticism. He is regarded as a saint in the Assyrian Church of the East, the Catholic churches (Chaldean Catholic, Syro-Malabar Church), Oriental Orthodoxy and Eastern Orthodox tradition. His feast day falls, together with 4th-century theologian and hymnographer St. Ephrem the Syrian, on January 28.",https://en.wikipedia.org/wiki/Isaac_of_Nineveh
171,Bangladesh,50,Sri Chinmoy,http://www.wikidata.org/entity/Q319578,wd:Q319578,225620,Indian writer and spiritual teacher (1931-2007),"Chinmoy Kumar Ghose, better known as Sri Chinmoy 	
(27 August 1931 – 11 October 2007), was an Indian spiritual leader who taught meditation in the West after moving to New York City in 1964. Chinmoy established his first meditation center in Queens, New York, and eventually had 7,000 students in 60 countries. A prolific author, artist, poet, and musician, he also held public events such as concerts and meditations on the theme of inner peace. Chinmoy advocated a spiritual path to God through prayer and meditation. He advocated athleticism  including distance running, swimming, and weightlifting. He organized marathons and other races, and was an active runner and, following a knee injury, weightlifter.",https://en.wikipedia.org/wiki/Sri_Chinmoy
190,Barbados,7,Charles Jason Gordon,http://www.wikidata.org/entity/Q5079475,wd:Q5079475,33232086,Barbadian archbishop,Charles Jason Gordon (born 17 March 1959) is a Trinidadian Roman Catholic prelate and the current Archbishop of Port of Spain since his appointment in 2017. He had served prior to this as a parish priest for Gonzales before serving as the bishop for both Bridgetown and Kingston. Gordon is known for his opposition to death sentences and favours peacemaking and bridge building in local disputes and gang violence.,https://en.wikipedia.org/wiki/Charles_Jason_Gordon
197,Belarus,36,Vilna Gaon,http://www.wikidata.org/entity/Q279359,wd:Q279359,413448,Polish-Lithuanian rabbi; Mitnagdim leader in opposition to Hasidism,"Elijah ben Solomon Zalman, (Hebrew: ר' אליהו בן שלמה זלמן Rabbi Eliyahu ben Shlomo Zalman) known as the Vilna Gaon (Yiddish: דער װילנער גאון, Polish: Gaon z Wilna, Lithuanian: Vilniaus Gaonas) or Elijah of Vilna, or by his Hebrew acronym HaGra (""HaGaon Rabbenu Eliyahu"": ""The sage, our teacher, Elijah"") or Elijah Ben Solomon Zalman (Sialiec, April 23, 1720 – Vilnius October 9, 1797), was a Talmudist, halakhist, kabbalist, and the foremost leader of misnagdic (non-hasidic) Jewry of the past few centuries. He is commonly referred to in Hebrew as ha-Gaon he-Chasid mi-Vilna, ""the pious genius from Vilnius"".Through his annotations and emendations of Talmudic and other texts, he became one of the most familiar and influential figures in the rabbinic study since the Middle Ages, counted by many among the sages known as the Acharonim, and ranked by some with the even more revered Rishonim of the Middle Ages. Large groups of people, including many yeshivas, uphold the set of Jewish customs and rites (minhag), the ""minhag ha-Gra"", which is named for him, and which is also considered by many to be the prevailing Ashkenazi minhag in Jerusalem.
Born in Sielec in the Brest Litovsk Voivodeship (today Sialiec, Belarus), the Gaon displayed extraordinary talent while still a child. By the time he was twenty years old, rabbis were submitting their most difficult halakhic problems to him for legal rulings. He was a prolific author, writing such works as glosses on the Babylonian Talmud and Shulchan Aruch known as Bi'urei ha-Gra (""Elaborations by the Gra""), a running commentary on the Mishnah, Shenoth Eliyahu (""The Years of Elijah""), and insights on the Pentateuch entitled Adereth Eliyahu (""The Cloak of Elijah""), published by his son.  Various Kabbalistic works have commentaries in his name, and he wrote commentaries on the Proverbs and other books of the Tanakh later on in his life.  None of his manuscripts were published in his lifetime.
When Hasidic Judaism became influential in his native town, the Vilna Gaon joined the ""opposers"" or Misnagdim, rabbis and heads of the Polish communities, to curb Hasidic influence. In 1777, one of the first excommunications against the nascent Hasidic movement was launched in Vilna.
He encouraged his students to study natural sciences, and even translated geometry books to Yiddish and Hebrew.",https://en.wikipedia.org/wiki/Vilna_Gaon
207,Belarus,17,Mikhaʾel Laiṭman,http://www.wikidata.org/entity/Q1350290,wd:Q1350290,59383428,Kabbalist,error,error
217,Belgium,75,Georges Llhbb,http://www.wikidata.org/entity/Q12998,wd:Q12998,224698,Belgian scientist and priest (1894-1966),"Georges Henri Joseph Édouard Lemaître ( lə-MET-rə; French: [ʒɔʁʒ ləmɛːtʁ] (listen); 17 July 1894 – 20 June 1966) was a Belgian Catholic priest, theoretical physicist, mathematician, astronomer, and professor of physics at the Catholic University of Louvain. He was the first to theorize that the recession of nearby galaxies can be explained by an expanding universe, which was observationally confirmed soon afterwards by Edwin Hubble. He first derived ""Hubble's law"", now called the Hubble–Lemaître law by the IAU, and published the first estimation of the Hubble constant in 1927, two years before Hubble's article. Lemaître also proposed a version of the ""Big Bang theory"" of the origin of the universe, calling it the ""hypothesis of the primeval atom"", and later calling it ""the beginning of the world"".",https://en.wikipedia.org/wiki/Georges_Lema%C3%AEtre
237,Belize,7,Dorick M. Wright,http://www.wikidata.org/entity/Q1245014,wd:Q1245014,46445464,Belizean Roman Catholic priest,"Dorick McGowan Wright (November 15, 1945 – April 15, 2020) was a Belizean prelate. From 2006-2017, he has served as the fourth bishop of the Catholic Church for the Roman Catholic Diocese of Belize City-Belmopan. Pope Francis accepted his resignation on 26 January 2017 and appointed Fr. Lawrence Sydney Nicasio as the new bishop.",https://en.wikipedia.org/wiki/Dorick_M._Wright
241,Benin,22,Bernardin Gantin,http://www.wikidata.org/entity/Q378614,wd:Q378614,469939,cardinal of the Catholic Church,"Bernardin Gantin (8 May 1922 – 13 May 2008) was a Beninese prelate of the Catholic Church who held senior positions in the Roman Curia for twenty years and the highest position in the College of Cardinals for nine years. His prominence in the hierarchy of the Church was unprecedented for an African and has been equaled by few non-Italians. He began his career in his native country first as an auxiliary bishop and then as archbishop of Cotonou. In 1971 he began his thirty-year career in the Curia. After he had spent several years in the role of senior assistant, he held a series of senior positions as president of the Pontifical Council for Justice and Peace, president of the Pontifical Council Cor Unum, and prefect of the Sacred Congregation for Bishops 
Pope Paul VI made him a cardinal in 1977, Pope John Paul II promoted him to the rank of cardinal bishop in 1986, and his peers elected him dean, the highest office in the College of Cardinals, in 1993. He retired to Benin when he turned 80.",https://en.wikipedia.org/wiki/Bernardin_Gantin
253,Bolivia,21,Julio Terrazas Sandoval,http://www.wikidata.org/entity/Q541218,wd:Q541218,1770729,Catholic cardinal,"Julio Terrazas Sandoval (March 7, 1936 – December 9, 2015) was a Cardinal Priest and Archbishop Emeritus of the Roman Catholic Archdiocese of Santa Cruz de la Sierra in the Roman Catholic Church.",https://en.wikipedia.org/wiki/Julio_Terrazas_Sandoval
270,Bosnia and Herzegovina,29,Vinko Puljić,http://www.wikidata.org/entity/Q506570,wd:Q506570,1756528,Catholic cardinal,"Vinko Puljić (pronounced [ʋîːŋko pǔːʎit͜ɕ]; born September 8, 1945) is a Bosnian prelate of the Catholic Church who has been a cardinal since 1994. He was the archbishop of Vrhbosna from 1991 to 2022.",https://en.wikipedia.org/wiki/Vinko_Pulji%C4%87
289,Botswana,7,Valentine Tsamma Seane,http://www.wikidata.org/entity/Q2508702,wd:Q2508702,36536046,Roman Catholic Bishop,"Valentine Tsamma Seane  (born 2 November 1966) is the former bishop of the Roman Catholic Diocese of Gaborone at the Christ the King Cathedral in Gaborone, Botswana. He is the second Motswana to be a bishop in Botswana.",https://en.wikipedia.org/wiki/Valentine_Tsamma_Seane
292,Brazil,44,Hélder Câmara,http://www.wikidata.org/entity/Q378326,wd:Q378326,1791905,"Brazilian Catholic priest, archbishop of Olinda and Recife","Hélder Pessoa Câmara  (1909–1999) was a Brazilian Catholic archbishop. A self-identified socialist, he was the Archbishop of Olinda and Recife, serving from 1964 to 1985, during the military dictatorship in Brazil. He was declared a Servant of God in 2015.
Câmara was an advocate of liberation theology.  He did social and political work for the poor and for human rights and democracy during the military regime. Câmara preached for a church closer to the disfavoured people. He is quoted as having said, ""When I give food to the poor, they call me a saint. When I ask why they are poor, they call me a communist.""",https://en.wikipedia.org/wiki/H%C3%A9lder_C%C3%A2mara
312,Brunei,24,Cornelius Sim,http://www.wikidata.org/entity/Q1133956,wd:Q1133956,16305807,Catholic bishop,"Cornelius Sim  DD (16 September 1951 – 29 May 2021) was a prelate of the Catholic Church who served as Vicar Apostolic of Brunei from 2004 until his death. He had previously served as the apostolic prefect of Brunei from 1997 to 2004.
Sim was the first graduate of Franciscan University of Steubenville priestly discernment program to be ordained to the priesthood. Pope Francis raised him to the rank of a cardinal on 28 November 2020, making him the first cardinal from the country, and from the island of Borneo.",https://en.wikipedia.org/wiki/Cornelius_Sim
314,Bulgaria,26,Paisius of Hilendar,http://www.wikidata.org/entity/Q552756,wd:Q552756,3829906,Bulgarian clergyman,"Saint Paisius of Hilendar or Paìsiy Hilendàrski (Bulgarian: Свети Паисий Хилендарски) (1722–1773) was a Bulgarian clergyman and a key Bulgarian National Revival figure. He is most famous for being the author of Istoriya Slavyanobolgarskaya, the second modern Bulgarian history after the work of Petar Bogdan Bakshev from 1667, ""History of Bulgaria"". Most Bulgarians are taught that he was the forefather of the Bulgarian National Revival.Paisius was born in the Samokov eparchy of the time. There is a scientific dispute about the exact place of his birth, although the prevailing consensus points the town of Bansko. He established himself in the Hilandar monastery on Mount Athos in 1745, where he was later a hieromonk and deputy-abbot. Collecting materials for two years through hard work and even visiting the Habsburg Monarchy, he finished his Istoriya Slavyanobolgarskaya in 1762 in the Zograf Monastery. The book was the first attempt to write a complete history of Bulgaria and attempted to awake and strengthen Bulgarian national consciousnesses.
The most famous part of the whole book is the paragraph:""Oh, you unwise moron! Why are you ashamed to call yourself a Bulgarian and why don't you read and speak in your native language? Weren't Bulgarians powerful and glorious once? Didn't they take taxes from strong Romans and wise Greeks? Out of all the Slavic nations they were the bravest one. Our rulers were the first ones to call themselves kings, the first ones to have patriarchs, the first ones to baptise their people.(...) Why are you ashamed of your great history and your great language and why do you leave it to turn yourselves into Greeks? Why do you think they are any better than you? Well, here you're right because did you see a Greek leave his country and ancestry like you do?"" 
This more or less signifies the purpose of the author who speaks about the danger of Bulgarians falling victim to the Hellenization policies of the mainly Greek clergy. These anti-Greek sentiments presented in Paisius  writing, characterized the Greeks as some kind of Bulgarian national enemies. The book's first manual copy was done by Sophronius of Vratsa in 1765. Structurally, Istoriya Slavyanobolgarskaya consists of two introductions, several chapters that discuss various historic events, a chapter about the ""Slavic teachers"", the disciples of Cyril and Methodius, a chapter about the Bulgarian saints, and an epilogue. As Paisius toured Bulgaria as a mendicant friar, he brought his work, which was copied and spread among the Bulgarians. He is thought to have died on the way to Mount Athos near Ampelino (modern-day Asenovgrad).",https://en.wikipedia.org/wiki/Paisius_of_Hilendar
332,Burkina Faso,18,Philippe Nakellentuba Ouédraogo,http://www.wikidata.org/entity/Q556314,wd:Q556314,41623862,cardinal from Burkina Faso,Philippe Nakellentuba Ouédraogo (born 25 January 1945) is a cardinal of the Catholic Church from Burkina Faso. He is the archbishop of Ouagadougou.,https://en.wikipedia.org/wiki/Philippe_Ou%C3%A9draogo_(cardinal)
343,Burundi,11,Simon Ntamwana,http://www.wikidata.org/entity/Q556345,wd:Q556345,16360669,Catholic archbishop,"Simon Ntamwana (born 3 June 1946) has been the Roman Catholic archbishop of the Archdiocese of Gitega in Burundi since 1997. Ntamwana was ordained as a priest on 24 March 1974 and from 1988 to 1997 he was the bishop of the diocese in Bujumbura. In 1997 he succeeded Joachim Ruhuna as the archbishop of Gitega.
In 2009, he defended Pope Benedict XVI over a controversy on the refusal to give any kind of approval to condoms in the fight against AIDS.",https://en.wikipedia.org/wiki/Simon_Ntamwana
346,Cambodia,12,Joseph Chhmar Salas,http://www.wikidata.org/entity/Q3452757,wd:Q3452757,17401630,Catholic bishop,"Joseph Chhmar Salas (Khmer: យ៉ូសែប ធ្មារ សាឡាស់) 21 October 1937 – September 1977) was a prelate of the Catholic Church who served as bishop Apostolic Vicariate of Phnom Penh in Cambodia from 1975 to 1977, when he died of exhaustion in a forced work camp of the Khmer Rouge. He was the first Cambodian native bishop.",https://en.wikipedia.org/wiki/Joseph_Chhmar_Salas
347,Cameroon,22,Christian Wiyghan Tumi,http://www.wikidata.org/entity/Q712058,wd:Q712058,1747021,Catholic cardinal,"Christian Wiyghan Tumi (15 October 1930 – 2 April 2021) was a Cameroonian prelate of the Catholic Church who was archbishop of Douala from 1991 to 2009. He was bishop of Yagoua from 1980 to 1982. After serving as coadjutor bishop of Garoua beginning in 1982, he was bishop there from 1984 to 1991. He was made a cardinal 1988. Tumi was the first and so far the only cardinal from Cameroon.",https://en.wikipedia.org/wiki/Christian_Tumi
360,Canada,54,James Naismith,http://www.wikidata.org/entity/Q188962,wd:Q188962,86346,Canadian-American coach; inventor of basketball (1861-1939),"James Naismith (NAY-smith; November 6, 1861 – November 28, 1939) was a Canadian-American physical educator, physician, Christian chaplain, sports coach, and inventor of the game of basketball. After moving to the United States, he wrote the original basketball rule book and founded the University of Kansas basketball program. Naismith lived to see basketball adopted as an Olympic demonstration sport in 1904 and as an official event at the 1936 Summer Olympics in Berlin, as well as the birth of the National Invitation Tournament (1938) and the NCAA Tournament (1939).
Born and raised on a farm near Almonte, Ontario, Naismith studied and taught physical education at McGill University in Montreal until 1890 before moving to Springfield, Massachusetts, United States later that year, where in 1891 he designed the game of basketball while he was teaching at the International YMCA Training School. Seven years after inventing basketball, Naismith received his medical degree in Denver in 1898. He then arrived at the University of Kansas, later becoming the Kansas Jayhawks' athletic director and coach. While a coach at Kansas, Naismith coached Phog Allen, who later became the coach at Kansas for 39 seasons, beginning a lengthy and prestigious coaching tree. Allen then went on to coach legends including Adolph Rupp and Dean Smith, among others, who themselves coached many notable players and future coaches. Despite having coached his final season in 1907, Naismith remains the only coach in Kansas men's basketball history with a losing record.",https://en.wikipedia.org/wiki/James_Naismith
380,Cape Verde,18,Arlindo Gomes Furtado,http://www.wikidata.org/entity/Q2654702,wd:Q2654702,15974883,Cape Verdean Catholic cardinal,"Arlindo Gomes Furtado CSSp (born 15 November 1949 in Santa Catarina) is the Cape Verdean Catholic bishop of the Diocese of Santiago de Cabo Verde, since 2009, and was the first bishop of the Diocese of Mindelo, from 2004 to 2009. In 2015, he was appointed as the first Cape Verdean cardinal by Pope Francis.",https://en.wikipedia.org/wiki/Arlindo_Gomes_Furtado
382,Central African Republic,20,Dieudonné Nzapalainga,http://www.wikidata.org/entity/Q1224285,wd:Q1224285,51922980,Central African theologian and catholic cardinal,Dieudonné Nzapalainga (born 14 March 1967) is a Catholic cardinal and the Archbishop of Bangui in the Central African Republic and a professed member of the Congregation of the Holy Spirit. Nzapalainga served as the apostolic administrator of the Archdiocese of Bangui from 2009 until mid-2012 when Pope Benedict XVI appointed him as its metropolitan archbishop; since 2013 he has served as the President of the Central African Episcopal Conference.When Pope Francis made Nzapalainga a cardinal on 19 November 2016 he became the youngest cardinal and the first born after the Second Vatican Council.,https://en.wikipedia.org/wiki/Dieudonn%C3%A9_Nzapalainga
