object,objectLabel,countryLabel,siterank
http://www.wikidata.org/entity/Q364,GitHub,United States of America,77
http://www.wikidata.org/entity/Q384060,Tumblr,United States of America,77
http://www.wikidata.org/entity/Q747860,BBC Online,United Kingdom,99
http://www.wikidata.org/entity/Q22663,The Pirate Bay,Sweden,100
http://www.wikidata.org/entity/Q16186120,Medium,United States of America,100
http://www.wikidata.org/entity/Q255381,Pinterest,United States of America,103
http://www.wikidata.org/entity/Q390551,National Institutes of Health,United States of America,138
http://www.wikidata.org/entity/Q788500,Craigslist,United States of America,107
http://www.wikidata.org/entity/Q3102631,Guangming Daily,People's Republic of China,108
http://www.wikidata.org/entity/Q568769,SoundCloud,Germany,113
http://www.wikidata.org/entity/Q89490153,R10.Net,Turkey,138
http://www.wikidata.org/entity/Q5571068,Globo.com,Brazil,167
http://www.wikidata.org/entity/Q110677179,Republika.rs,Serbia,116
http://www.wikidata.org/entity/Q9684,The New York Times,United States of America,117
http://www.wikidata.org/entity/Q51711,Quora,United States of America,128
http://www.wikidata.org/entity/Q689141,Spotify,Sweden,128
http://www.wikidata.org/entity/Q156376,Vimeo,United States of America,130
http://www.wikidata.org/entity/Q769222,Dailymotion,France,130
http://www.wikidata.org/entity/Q15898172,Zhihu,People's Republic of China,134
http://www.wikidata.org/entity/Q390551,National Institutes of Health,United States of America,136
http://www.wikidata.org/entity/Q16045816,Aparat,Iran,155
http://www.wikidata.org/entity/Q754454,ResearchGate,Germany,184
http://www.wikidata.org/entity/Q1353939,Etsy,United States of America,183
http://www.wikidata.org/entity/Q22080762,Chaturbate,United States of America,146
http://www.wikidata.org/entity/Q4034642,avito.ru,Russia,148
http://www.wikidata.org/entity/Q6735687,Mail Online,United Kingdom,168
http://www.wikidata.org/entity/Q24951763,Blasting News,United Kingdom,170
http://www.wikidata.org/entity/Q1359568,Alibaba Group,People's Republic of China,174
http://www.wikidata.org/entity/Q5003490,BuzzFeed,United States of America,172
http://www.wikidata.org/entity/Q1783492,Universo Online,Brazil,177
http://www.wikidata.org/entity/Q1045367,Indeed,United States of America,180
http://www.wikidata.org/entity/Q461,Internet Archive,United States of America,199
http://www.wikidata.org/entity/Q1812174,softonic.com,Spain,200
http://www.wikidata.org/entity/Q12521890,Tokopedia,Indonesia,191
http://www.wikidata.org/entity/Q33111863,LADbible,United Kingdom,196
http://www.wikidata.org/entity/Q16849546,investing.com,Cyprus,185
http://www.wikidata.org/entity/Q1416215,GoDaddy,United States of America,186
http://www.wikidata.org/entity/Q4119059,Youm7,Egypt,188
http://www.wikidata.org/entity/Q4960434,Breitbart News,United States of America,247
http://www.wikidata.org/entity/Q4373230,Q4373230,Russia,253
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,United States of America,261
http://www.wikidata.org/entity/Q171186,Blogger,United States of America,202
http://www.wikidata.org/entity/Q7808625,Slack Technologies,United States of America,204
http://www.wikidata.org/entity/Q648266,Wayback Machine,United States of America,205
http://www.wikidata.org/entity/Q7547283,Snapdeal,India,281
http://www.wikidata.org/entity/Q842863,YouPorn,Cyprus,229
http://www.wikidata.org/entity/Q68902302,Weekendesk,Belgium,234.077
http://www.wikidata.org/entity/Q68902302,Weekendesk,Italy,234.077
http://www.wikidata.org/entity/Q68902302,Weekendesk,Netherlands,234.077
http://www.wikidata.org/entity/Q68902302,Weekendesk,France,234.077
http://www.wikidata.org/entity/Q68902302,Weekendesk,Spain,234.077
http://www.wikidata.org/entity/Q97174255,Chouf TV,Morocco,236
http://www.wikidata.org/entity/Q97174255,Chouf TV,Morocco,209
http://www.wikidata.org/entity/Q1467888,Scribd,United States of America,210
http://www.wikidata.org/entity/Q96374424,RTL.de,Germany,210
http://www.wikidata.org/entity/Q2299611,Yelp,United States of America,212
http://www.wikidata.org/entity/Q25382532,Worldometer,United States of America,282
http://www.wikidata.org/entity/Q28803235,dingit.tv,United Kingdom,255
http://www.wikidata.org/entity/Q7575658,Speedtest.net,United States of America,257
http://www.wikidata.org/entity/Q4740845,Amazon China,People's Republic of China,259
http://www.wikidata.org/entity/Q18049522,HuffPost,United States of America,257
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,France,261
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,Brazil,261
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,Colombia,261
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,Italy,261
http://www.wikidata.org/entity/Q109417555,MundialCelebrities.com,Mexico,261
http://www.wikidata.org/entity/Q2043935,The Weather Channel,United States of America,273
http://www.wikidata.org/entity/Q1758666,Rambler,Russia,278
http://www.wikidata.org/entity/Q286707,Business Insider,United States of America,315
http://www.wikidata.org/entity/Q2389071,Kinopoisk,Russia,316
http://www.wikidata.org/entity/Q1630304,Hulu,United States of America,286
http://www.wikidata.org/entity/Q58014,Allegro,Poland,290
http://www.wikidata.org/entity/Q3419343,Genius,United States of America,298
http://www.wikidata.org/entity/Q1770710,Tripadvisor,United States of America,303
http://www.wikidata.org/entity/Q2705110,Weebly,United States of America,309
http://www.wikidata.org/entity/Q4217182,Kaskus,Indonesia,377
http://www.wikidata.org/entity/Q16972754,Coinbase,United States of America,379
http://www.wikidata.org/entity/Q20716,Samsung,South Korea,339
http://www.wikidata.org/entity/Q2777905,academia.edu,United States of America,341
http://www.wikidata.org/entity/Q103204,Flickr,United States of America,421
http://www.wikidata.org/entity/Q94887,Khan Academy,United States of America,359
http://www.wikidata.org/entity/Q1046951,Target,United States of America,360
http://www.wikidata.org/entity/Q495943,onet.pl,Poland,390
http://www.wikidata.org/entity/Q219523,LiveJournal,Russia,392
http://www.wikidata.org/entity/Q3109525,go.com,United States of America,394
http://www.wikidata.org/entity/Q40984,Skype,United States of America,413
http://www.wikidata.org/entity/Q4951483,Box,United States of America,449
http://www.wikidata.org/entity/Q3536160,WebMD,United States of America,451
http://www.wikidata.org/entity/Q8072594,ZipRecruiter,United States of America,400
http://www.wikidata.org/entity/Q105584,Rotten Tomatoes,United States of America,405
http://www.wikidata.org/entity/Q21150978,Cricbuzz,India,406
http://www.wikidata.org/entity/Q2822885,AccuWeather,United States of America,408
http://www.wikidata.org/entity/Q380042,Wirtualna Polska,Poland,426
http://www.wikidata.org/entity/Q15954148,Glassdoor,United States of America,430
http://www.wikidata.org/entity/Q1746538,Pixabay,Germany,438
http://www.wikidata.org/entity/Q1282139,Ecosia,Germany,441
http://www.wikidata.org/entity/Q917580,Marca,Spain,467
http://www.wikidata.org/entity/Q15861362,Patreon,United States of America,472
http://www.wikidata.org/entity/Q278151,Der Spiegel (online),Germany,476
http://www.wikidata.org/entity/Q430526,Evernote,United States of America,457
http://www.wikidata.org/entity/Q1196431,Pandora,United States of America,458
http://www.wikidata.org/entity/Q2118845,ESPNcricinfo,United States of America,481
http://www.wikidata.org/entity/Q43968444,DeepL Translator,Germany,484
http://www.wikidata.org/entity/Q1528871,Gizmodo,United States of America,506
http://www.wikidata.org/entity/Q22688437,Souq.com,United Arab Emirates,503
http://www.wikidata.org/entity/Q140676,rediff.com,India,486
http://www.wikidata.org/entity/Q3344170,Upwork,United States of America,493
http://www.wikidata.org/entity/Q61707579,OnlyFans,United Kingdom,493
http://www.wikidata.org/entity/Q5009217,CBSSports.com,United States of America,554
http://www.wikidata.org/entity/Q7664857,Wattpad,Canada,512
http://www.wikidata.org/entity/Q1203487,baike.com,People's Republic of China,517
http://www.wikidata.org/entity/Q7399617,sahibinden.com,Turkey,518
http://www.wikidata.org/entity/Q7272716,Quizlet,United States of America,554
http://www.wikidata.org/entity/Q600669,FiveThirtyEight,United States of America,526
http://www.wikidata.org/entity/Q3490485,seznam.cz,Czech Republic,527
http://www.wikidata.org/entity/Q504063,Discogs,United States of America,595
http://www.wikidata.org/entity/Q545966,Bandcamp,United States of America,601
http://www.wikidata.org/entity/Q352773,AddThis,United States of America,536
http://www.wikidata.org/entity/Q43968444,DeepL Translator,Germany,575
http://www.wikidata.org/entity/Q8771327,EMOL,Chile,576
http://www.wikidata.org/entity/Q644538,Chip,Germany,582
http://www.wikidata.org/entity/Q372827,Rutube,Russia,570
http://www.wikidata.org/entity/Q5967721,people.cn,People's Republic of China,617
http://www.wikidata.org/entity/Q7582097,Squarespace,United States of America,630
http://www.wikidata.org/entity/Q2407962,Lifehacker,United States of America,659
http://www.wikidata.org/entity/Q658909,lenta.ru,Russia,660
http://www.wikidata.org/entity/Q852787,Groupon,United States of America,604
http://www.wikidata.org/entity/Q34755,Kickstarter,United States of America,605
http://www.wikidata.org/entity/Q162852,SurveyMonkey,United States of America,612
http://www.wikidata.org/entity/Q4373230,Q4373230,Russia,691
http://www.wikidata.org/entity/Q1292036,Drudge Report,United States of America,726
http://www.wikidata.org/entity/Q8041760,XE.com,Canada,638
http://www.wikidata.org/entity/Q109005750,ChinaZ.com,People's Republic of China,651
http://www.wikidata.org/entity/Q16840770,Grammarly,United States of America,710
http://www.wikidata.org/entity/Q473503,Disqus,United States of America,715
http://www.wikidata.org/entity/Q12336707,Q12336707,France,718
http://www.wikidata.org/entity/Q29096488,The Western Journal,United States of America,667
http://www.wikidata.org/entity/Q207708,IGN,United States of America,674
http://www.wikidata.org/entity/Q499962,Coursera,United States of America,685
http://www.wikidata.org/entity/Q1741191,Kijiji,United States of America,689
http://www.wikidata.org/entity/Q1138914,OkCupid,United States of America,796
http://www.wikidata.org/entity/Q5299559,Douban,People's Republic of China,760
http://www.wikidata.org/entity/Q39061100,Lifewire,United States of America,759
http://www.wikidata.org/entity/Q24938094,Q24938094,Russia,761
http://www.wikidata.org/entity/Q2735411,Jimdo,Germany,763
http://www.wikidata.org/entity/Q16663267,CyberLeninka,Russia,791
http://www.wikidata.org/entity/Q6944821,MyFreeCams,United States of America,849
http://www.wikidata.org/entity/Q4044680,MyAnimeList,Japan,851
http://www.wikidata.org/entity/Q4044680,MyAnimeList,United States of America,851
http://www.wikidata.org/entity/Q2749075,HootSuite,Canada,878
http://www.wikidata.org/entity/Q1625371,Meetup,United States of America,752
http://www.wikidata.org/entity/Q1982075,Issuu,United States of America,818
http://www.wikidata.org/entity/Q6947830,Myntra,India,831
http://www.wikidata.org/entity/Q12184050,NBCNews.com,United States of America,848
http://www.wikidata.org/entity/Q18572033,Sputnik,Russia,896
http://www.wikidata.org/entity/Q22098825,Gamersky,People's Republic of China,907
http://www.wikidata.org/entity/Q5008982,CBC.ca,Canada,973
http://www.wikidata.org/entity/Q5433518,FanFiction.Net,United States of America,859
http://www.wikidata.org/entity/Q2918660,Duolingo,United States of America,869
http://www.wikidata.org/entity/Q31165,AlloCinﾃｩ,France,876
http://www.wikidata.org/entity/Q18691850,Skroutz,Greece,877
http://www.wikidata.org/entity/Q6110251,Jabong.com,India,914
http://www.wikidata.org/entity/Q6380402,kayak.com,United States of America,913
http://www.wikidata.org/entity/Q151135,Youku,People's Republic of China,925
http://www.wikidata.org/entity/Q2630118,TMZ,United States of America,1036
http://www.wikidata.org/entity/Q43401548,Avito,Morocco,1063
http://www.wikidata.org/entity/Q16829376,Chess.com,United States of America,976
http://www.wikidata.org/entity/Q278311,Dnevni avaz,India,985
http://www.wikidata.org/entity/Q520154,Wired,United States of America,988
http://www.wikidata.org/entity/Q17499997,The Paper,People's Republic of China,988
http://www.wikidata.org/entity/Q44506342,ManyVids,Canada,993
http://www.wikidata.org/entity/Q23890897,G2A,People's Republic of China,1011
http://www.wikidata.org/entity/Q189021,TED conferences,United States of America,931
http://www.wikidata.org/entity/Q1519246,The Advertiser,Australia,952
http://www.wikidata.org/entity/Q1819581,The Daily Telegraph,Australia,952
http://www.wikidata.org/entity/Q16903296,news.com.au,Australia,956
http://www.wikidata.org/entity/Q45836,GameSpot,United States of America,972
http://www.wikidata.org/entity/Q64852796,Parler,United States of America,1039
http://www.wikidata.org/entity/Q4044680,MyAnimeList,Japan,1053
http://www.wikidata.org/entity/Q903343,Brazzers,Canada,1054
http://www.wikidata.org/entity/Q4044680,MyAnimeList,United States of America,1053
http://www.wikidata.org/entity/Q670413,Piriform,United Kingdom,1019
http://www.wikidata.org/entity/Q5915760,infobae.com,Argentina,1032
http://www.wikidata.org/entity/Q611515,TechRadar,United Kingdom,1129
http://www.wikidata.org/entity/Q8035308,WorldStarHipHop,United States of America,1068
http://www.wikidata.org/entity/Q28667271,fishki.net,Russia,1071
http://www.wikidata.org/entity/Q12021344,iDNES.cz,Czech Republic,1078
http://www.wikidata.org/entity/Q8073715,Zomato,India,1098
http://www.wikidata.org/entity/Q5245710,Deadspin,United States of America,1149
http://www.wikidata.org/entity/Q43897916,Tuko,Kenya,1158
http://www.wikidata.org/entity/Q20877087,Vox,United States of America,1135
http://www.wikidata.org/entity/Q1420342,JSTOR,United States of America,1138
http://www.wikidata.org/entity/Q602243,Deezer,France,1169
http://www.wikidata.org/entity/Q1274666,LiveLeak,United Kingdom,1170
http://www.wikidata.org/entity/Q5380906,Envato,Australia,1192
http://www.wikidata.org/entity/Q107167143,52Po'Jie,People's Republic of China,1200
http://www.wikidata.org/entity/Q15912179,Qidian,People's Republic of China,1206
http://www.wikidata.org/entity/Q7848226,Trustpilot,Denmark,1210
http://www.wikidata.org/entity/Q595181,gazeta.ru,Russia,1223
http://www.wikidata.org/entity/Q926175,The Hindu,India,1122
http://www.wikidata.org/entity/Q15927896,Xiami Music,People's Republic of China,1254
http://www.wikidata.org/entity/Q17068426,MarketWatch,United States of America,1250
http://www.wikidata.org/entity/Q4508871,Q4508871,Russia,1225
http://www.wikidata.org/entity/Q681849,XING,Germany,1229
http://www.wikidata.org/entity/Q28134981,Gab,United States of America,1233
http://www.wikidata.org/entity/Q7021239,Nextdoor,United States of America,1234
http://www.wikidata.org/entity/Q17080523,ShopClues,India,1260
http://www.wikidata.org/entity/Q2008608,Tut.By,Belarus,1261
http://www.wikidata.org/entity/Q1557124,gutefrage.net,Germany,1276
http://www.wikidata.org/entity/Q911595,StumbleUpon,United States of America,1422
http://www.wikidata.org/entity/Q1630943,Idealo,Germany,1423
http://www.wikidata.org/entity/Q7900340,Urdupoint,Pakistan,1292
http://www.wikidata.org/entity/Q507135,SmugMug,United States of America,1293
http://www.wikidata.org/entity/Q4260903,Librusec,Russia,1302
http://www.wikidata.org/entity/Q2090445,Filmweb,Poland,1304
http://www.wikidata.org/entity/Q882107,1&1 Ionos,Germany,1355
http://www.wikidata.org/entity/Q878108,Clarﾃｭn,Argentina,1372
http://www.wikidata.org/entity/Q1319169,Skyscanner,United Kingdom,1410
http://www.wikidata.org/entity/Q17021043,SonyLIV,India,1521
http://www.wikidata.org/entity/Q27559777,Screen Rant,United States of America,1520
http://www.wikidata.org/entity/Q5574625,GoFundMe,United States of America,1452
http://www.wikidata.org/entity/Q4875421,bdnews24.com,Bangladesh,1484
http://www.wikidata.org/entity/Q2155307,SB Nation,United States of America,1430
http://www.wikidata.org/entity/Q17355735,ProtonMail,Switzerland,1437
http://www.wikidata.org/entity/Q183718,last.fm,United Kingdom,1438
http://www.wikidata.org/entity/Q7064916,novinky.cz,Czech Republic,1441
http://www.wikidata.org/entity/Q895848,LEO,Germany,1557
http://www.wikidata.org/entity/Q18712763,ArchDaily,Chile,1558
http://www.wikidata.org/entity/Q721140,Pitchfork,United States of America,1501
http://www.wikidata.org/entity/Q4049960,sports.ru,Russia,1503
http://www.wikidata.org/entity/Q22017206,Library Genesis,Netherlands,1509
http://www.wikidata.org/entity/Q22017206,Library Genesis,Russia,1509
http://www.wikidata.org/entity/Q51102404,bcy.net,People's Republic of China,1560
http://www.wikidata.org/entity/Q5500950,freelancer.com,Australia,1573
http://www.wikidata.org/entity/Q19394098,VG Nett,Norway,1581
http://www.wikidata.org/entity/Q2806483,01net.com,France,1583
http://www.wikidata.org/entity/Q39048191,Justia,United States of America,1621
http://www.wikidata.org/entity/Q6349938,Yandex Search,Russia,1550
http://www.wikidata.org/entity/Q647397,Edmodo,United States of America,1643
http://www.wikidata.org/entity/Q17538813,Similarweb,United States of America,1650
http://www.wikidata.org/entity/Q4494434,Habr,Russia,1659
http://www.wikidata.org/entity/Q28666947,kino-teatr.ru,Russia,1593
http://www.wikidata.org/entity/Q61362171,Jagonews24.com,Bangladesh,1603
http://www.wikidata.org/entity/Q7505672,Shutterfly,United States of America,1806
http://www.wikidata.org/entity/Q10893531,LightInTheBox,People's Republic of China,1806
http://www.wikidata.org/entity/Q2154085,Codecademy,United States of America,1691
http://www.wikidata.org/entity/Q766546,Udacity,United States of America,1698
http://www.wikidata.org/entity/Q4838174,BabyCenter,United States of America,1729
http://www.wikidata.org/entity/Q15912179,Qidian,People's Republic of China,1737
http://www.wikidata.org/entity/Q887528,BoardGameGeek,United States of America,1745
http://www.wikidata.org/entity/Q784022,Renren,People's Republic of China,1750
http://www.wikidata.org/entity/Q840895,Photobucket,United States of America,1891
http://www.wikidata.org/entity/Q3077675,AcFun,People's Republic of China,1893
http://www.wikidata.org/entity/Q1486288,GOG.com,Cyprus,1836
http://www.wikidata.org/entity/Q16663267,CyberLeninka,Russia,1852
http://www.wikidata.org/entity/Q6544704,Namecheap,United States of America,1854
http://www.wikidata.org/entity/Q12903886,Wanfang Data,People's Republic of China,1874
http://www.wikidata.org/entity/Q7652940,Swagbucks,United States of America,1772
http://www.wikidata.org/entity/Q109768663,Shenzhen Xinwen Wang,People's Republic of China,1774
http://www.wikidata.org/entity/Q105728418,CCTV.com,People's Republic of China,1795
http://www.wikidata.org/entity/Q6024522,Indiegogo,United States of America,1860
http://www.wikidata.org/entity/Q7269379,Quartz,United States of America,1862
http://www.wikidata.org/entity/Q1601295,heise online,Germany,1986
http://www.wikidata.org/entity/Q11196047,DLsite,Japan,1922
http://www.wikidata.org/entity/Q3110042,Kongregate,United States of America,1930
http://www.wikidata.org/entity/Q8072594,ZipRecruiter,United States of America,1938
http://www.wikidata.org/entity/Q14657870,Qwant,France,1944
http://www.wikidata.org/entity/Q3112819,match.com,United States of America,1953
http://www.wikidata.org/entity/Q270478,Digg,United States of America,2034
http://www.wikidata.org/entity/Q4042868,Life,Russia,1966
http://www.wikidata.org/entity/Q4045832,onliner.by,Russia,1976
http://www.wikidata.org/entity/Q2688579,Dumpert,Netherlands,1997
http://www.wikidata.org/entity/Q390216,The Sydney Morning Herald,Australia,2022
http://www.wikidata.org/entity/Q950419,Mercado Libre,Argentina,2024
http://www.wikidata.org/entity/Q354894,500px,Canada,2071
http://www.wikidata.org/entity/Q118398,arXiv,United States of America,2075
http://www.wikidata.org/entity/Q4043898,Medscape,United States of America,2060
http://www.wikidata.org/entity/Q1409067,tagesschau.de,Germany,2069
http://www.wikidata.org/entity/Q609913,bol.com,Netherlands,2198
http://www.wikidata.org/entity/Q7144743,Patheos,United States of America,2169
http://www.wikidata.org/entity/Q1051289,Mixi,Japan,2185
http://www.wikidata.org/entity/Q51709,"Foursquare Labs, Inc.",United States of America,2203
http://www.wikidata.org/entity/Q4037100,Deadline Hollywood,United States of America,2216
http://www.wikidata.org/entity/Q624345,DC Inside,South Korea,2042
http://www.wikidata.org/entity/Q6517194,legacy.com,United States of America,2078
http://www.wikidata.org/entity/Q7307207,Refinery29,United States of America,2086
http://www.wikidata.org/entity/Q5215970,Dangdang,People's Republic of China,2110
http://www.wikidata.org/entity/Q629581,Clubic,France,2115
http://www.wikidata.org/entity/Q2381841,Marktplaats.nl,Netherlands,2220
http://www.wikidata.org/entity/Q7833987,Wise,United Kingdom,2279
http://www.wikidata.org/entity/Q4109591,Q4109591,Russia,2299
http://www.wikidata.org/entity/Q18340732,Meduza,Russia,2301
http://www.wikidata.org/entity/Q18340732,Meduza,Latvia,2301
http://www.wikidata.org/entity/Q51709,"Foursquare Labs, Inc.",United States of America,2379
http://www.wikidata.org/entity/Q28136180,Vagalume,Brazil,2408
http://www.wikidata.org/entity/Q2287154,snopes.com,United States of America,2421
http://www.wikidata.org/entity/Q7727516,The Conversation,Australia,2421
http://www.wikidata.org/entity/Q3077675,AcFun,People's Republic of China,2433
http://www.wikidata.org/entity/Q225252,dict.cc,Austria,2482
http://www.wikidata.org/entity/Q7581990,Block,United States of America,2509
http://www.wikidata.org/entity/Q6909079,al-Arab,Israel,2582
http://www.wikidata.org/entity/Q3485432,OpenClassrooms,France,2589
http://www.wikidata.org/entity/Q60497,Slate,United States of America,2597
http://www.wikidata.org/entity/Q15907772,Meituan,People's Republic of China,2530
http://www.wikidata.org/entity/Q5046846,cars.com,United States of America,2538
http://www.wikidata.org/entity/Q10303195,Internet Group,Brazil,2550
http://www.wikidata.org/entity/Q1135120,Terra,Brazil,2558
http://www.wikidata.org/entity/Q43320,OpenTable,United States of America,2602
http://www.wikidata.org/entity/Q4307006,Multitran,Russia,2612
http://www.wikidata.org/entity/Q20155628,DolarToday,Venezuela,2667
http://www.wikidata.org/entity/Q8053637,YinYueTai,People's Republic of China,2739
http://www.wikidata.org/entity/Q18210656,lowyat.net,Malaysia,2744
http://www.wikidata.org/entity/Q22079907,Jet.com,United States of America,2761
http://www.wikidata.org/entity/Q7227155,Polyvore,United States of America,2764
http://www.wikidata.org/entity/Q7929430,Viki,United States of America,2784
http://www.wikidata.org/entity/Q45316136,Awok,United Arab Emirates,2800
http://www.wikidata.org/entity/Q1150423,Salon,United States of America,2807
http://www.wikidata.org/entity/Q18153331,Product Hunt,United States of America,2933
http://www.wikidata.org/entity/Q6989633,Panet,Israel,2939
http://www.wikidata.org/entity/Q16953981,mudah.my,Malaysia,2963
http://www.wikidata.org/entity/Q1840797,PicMonkey.com,United States of America,2901
http://www.wikidata.org/entity/Q86537902,TVGuide.com,United States of America,2839
http://www.wikidata.org/entity/Q136570,Zalando SE,Germany,2857
http://www.wikidata.org/entity/Q7628506,Stuff,New Zealand,2866
http://www.wikidata.org/entity/Q61060051,eSam,Iran,2981
http://www.wikidata.org/entity/Q20688847,Jiemian News,People's Republic of China,3008
http://www.wikidata.org/entity/Q43979626,ALEO.com,Poland,3015
http://www.wikidata.org/entity/Q28126618,Bangla Tribune,Bangladesh,3029
http://www.wikidata.org/entity/Q22661180,CORE (Connecting Repositories),United Kingdom,3031
http://www.wikidata.org/entity/Q3223501,Huffington Post France,France,3053
http://www.wikidata.org/entity/Q1192004,derStandard.at,Austria,3071
http://www.wikidata.org/entity/Q25489015,Walla!,Israel,3118
http://www.wikidata.org/entity/Q2457578,ZDNet,United States of America,3121
http://www.wikidata.org/entity/Q12857515,CNKI,People's Republic of China,3149
http://www.wikidata.org/entity/Q122544,Newsru.com,Russia,3152
http://www.wikidata.org/entity/Q31181,AllMusic,United States of America,3079
http://www.wikidata.org/entity/Q7999846,Wikidot,Poland,3134
http://www.wikidata.org/entity/Q286111,uCoz,Russia,3135
http://www.wikidata.org/entity/Q960011,GamesRadar+,United Kingdom,3135
http://www.wikidata.org/entity/Q16663267,CyberLeninka,Russia,3144
http://www.wikidata.org/entity/Q7698402,TemplateMonster,United States of America,3153
http://www.wikidata.org/entity/Q73624591,Duden Online,Germany,3154
http://www.wikidata.org/entity/Q820274,Tumut Shire,Australia,3181
http://www.wikidata.org/entity/Q1142967,Fotolia,United States of America,3253
http://www.wikidata.org/entity/Q1226253,Ekstra Bladet,Denmark,3256
http://www.wikidata.org/entity/Q7719162,Book Depository,United Kingdom,3378
http://www.wikidata.org/entity/Q6715186,MDPI,Switzerland,3397
http://www.wikidata.org/entity/Q3249419,Memrise,United Kingdom,3293
http://www.wikidata.org/entity/Q5986568,IconFinder,Denmark,3365
http://www.wikidata.org/entity/Q7728625,The Daily Caller,United States of America,3238
http://www.wikidata.org/entity/Q21189806,Thought Catalog,United States of America,3246
http://www.wikidata.org/entity/Q2573130,Walla!,Israel,3507
http://www.wikidata.org/entity/Q8067635,Zazzle,United States of America,3526
http://www.wikidata.org/entity/Q3066228,FamilySearch,United States of America,3540
http://www.wikidata.org/entity/Q233358,Public Library of Science,United States of America,3619
http://www.wikidata.org/entity/Q1185230,Tudou,People's Republic of China,3715
http://www.wikidata.org/entity/Q17063480,konga.com,Nigeria,3734
http://www.wikidata.org/entity/Q861042,Western Union,United States of America,3797
http://www.wikidata.org/entity/Q883982,Q883982,Switzerland,3803
http://www.wikidata.org/entity/Q56272520,kongfz.com,People's Republic of China,3803
http://www.wikidata.org/entity/Q1619253,Hindawi Publishing Corporation,United Kingdom,3815
http://www.wikidata.org/entity/Q7865747,USAJobs,United States of America,3860
http://www.wikidata.org/entity/Q1035868,CareerBuilder,Germany,3760
http://www.wikidata.org/entity/Q1035868,CareerBuilder,United States of America,3760
http://www.wikidata.org/entity/Q5322609,eBaum's World,United States of America,3766
http://www.wikidata.org/entity/Q40629,Myspace,United States of America,3787
http://www.wikidata.org/entity/Q230051,Alexa Internet,United States of America,3871
http://www.wikidata.org/entity/Q1140428,Demonoid,Ukraine,3959
http://www.wikidata.org/entity/Q39052332,MaxPreps,United States of America,3966
