,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description,wikipedia_summary,wikipedia_url
339,339,Djibouti,11,Sally Raguib,http://www.wikidata.org/entity/Q2370576,judoka,36587237,judoka,36587237,judoka,36587237,judoka,36587237,judoka,36587237,judoka,36587237,judoka,wd:Q2370576,36587237,judoka,36587237,judoka,36587237,judoka,36587237,judoka,"Sally Raguib (born 8 September 1996) is a Djiboutian judoka. She competed in the Women's 57 kg event at the 2012 Summer Olympics. At the 2012 Olympic games, Raguib lost against Corina Stefan of Romania. In addition to the Olympic games, Sally Raguib has competed in multiple African Championships and the World Championships in Ljubljana in 2013.",https://en.wikipedia.org/wiki/Sally_Raguib
342,342,Dominica,37,Jean Rhys,http://www.wikidata.org/entity/Q230598,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,wd:Q230598,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,104121,novelist from Dominica,"Jean Rhys,  (; born Ella Gwendolyn Rees Williams; 24 August 1890 – 14 May 1979) was a British novelist who was born and grew up in the Caribbean island of Dominica. From the age of 16, she was mainly resident in England, where she was sent for her education. She is best known for her novel Wide Sargasso Sea (1966), written as a prequel to Charlotte Brontë's Jane Eyre. In 1978, she was appointed a Commander of the Order of the British Empire (CBE) for her writing.",https://en.wikipedia.org/wiki/Jean_Rhys
346,346,Dominican Republic,69,Zoe Saldana,http://www.wikidata.org/entity/Q190162,American actress,1713217,American actress,1713217,American actress,1713217,American actress,1713217,American actress,1713217,American actress,1713217,American actress,wd:Q190162,1713217,American actress,1713217,American actress,1713217,American actress,1713217,American actress,"Zoe Yadira Saldaña Perego (née Saldaña Nazario; born June 19, 1978) is an American actress. After her performances with the theater group Faces, she was in two 1999 episodes of Law & Order. Her film career began a year later with Center Stage (2000) portraying a ballet dancer.
Saldaña worked in science fiction films, beginning in 2009 with her first of multiple appearances as Nyota Uhura in the Star Trek film series and her first appearance as Neytiri in the Avatar film series. She portrays Gamora in the Marvel Cinematic Universe, beginning with Guardians of the Galaxy (2014). Saldaña appeared in three of the five highest-grossing films of all time (Avatar, Avengers: Infinity War, and Avengers: Endgame), something no other actor has done. Her films grossed more than $11 billion worldwide, and she is the second-highest-grossing film actress of all time as of 2019.",https://en.wikipedia.org/wiki/Zoe_Salda%C3%B1a
347,347,East Timor,9,Juventina Napoleão,http://www.wikidata.org/entity/Q1714693,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,wd:Q1714693,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,36628340,East Timor distance runner,"Juventina Napoleão (born 22 December 1988 in Assalaino, East Timor, Indonesia) is an East Timorese long distance runner. She represented her country in the marathon event at the 2012 Summer Olympics and finished the race with a time of 3:05:07.",https://en.wikipedia.org/wiki/Juventina_Napole%C3%A3o
366,367,Ecuador,27,Manuela Saenz,http://www.wikidata.org/entity/Q372074,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),wd:Q372074,1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),1958847,Ecuadorian revolutionary heroine (1797-1856),"Doña Manuela Sáenz de Vergara y Aizpuru (27 December 1797 – 23 November 1856) was an Ecuadorian revolutionary heroine of South America who supported the revolutionary cause by gathering information, distributing leaflets, and protesting for women's rights. Manuela received the Order of the Sun (""Caballeresa del Sol"" or 'Dame of the Sun'), honoring her services in the revolution.
Sáenz married a wealthy English doctor in 1817 and became a socialite in Lima, Peru. This provided the setting for involvement in political and military affairs, and she became active in support of revolutionary efforts. Leaving her husband in 1822, she soon began an eight-year collaboration and intimate relationship with Simón Bolívar that lasted until his death in 1830. After she prevented an 1828 assassination attempt against him and facilitated his escape, Bolívar began to call her ""Libertadora del libertador"" (""liberator of the liberator""). Manuela's role in the revolution after her death was generally overlooked until the late twentieth century, but now she is recognized as a feminist symbol of the 19th century wars of independence.",https://en.wikipedia.org/wiki/Manuela_S%C3%A1enz
385,386,Egypt,142,Cleopatra,http://www.wikidata.org/entity/Q635,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,wd:Q635,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,60827,last active pharaoh of Ptolemaic Egypt,"Cleopatra VII Philopator (Greek: Κλεοπάτρα Φιλοπάτωρ; 69 BC – 10 August 30 BC) was queen of the Ptolemaic Kingdom of Egypt from 51 to 30 BC, and its last active ruler. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great. After the death of Cleopatra, Egypt became a province of the Roman Empire, marking the end of the second to last Hellenistic state and the age that had lasted since the reign of Alexander (336–323 BC). Her native language was Koine Greek, and she was the only Ptolemaic ruler to learn the Egyptian language.In 58 BC, Cleopatra presumably accompanied her father, Ptolemy XII Auletes, during his exile to Rome after a revolt in Egypt (a Roman client state) allowed his rival daughter Berenice IV to claim his throne. Berenice was killed in 55 BC when Ptolemy returned to Egypt with Roman military assistance. When he died in 51 BC, the joint reign of Cleopatra and her brother Ptolemy XIII began, but a falling-out between them led to open civil war. After losing the 48 BC Battle of Pharsalus in Greece against his rival Julius Caesar (a Roman dictator and consul) in Caesar's Civil War, the Roman statesman Pompey fled to Egypt. Pompey had been a political ally of Ptolemy XII, but Ptolemy XIII, at the urging of his court eunuchs, had Pompey ambushed and killed before Caesar arrived and occupied Alexandria. Caesar then attempted to reconcile the rival Ptolemaic siblings, but Ptolemy's chief adviser, Potheinos, viewed Caesar's terms as favoring Cleopatra, so his forces besieged her and Caesar at the palace. Shortly after the siege was lifted by reinforcements, Ptolemy XIII died in the 47 BC Battle of the Nile; Cleopatra's half-sister Arsinoe IV was eventually exiled to Ephesus for her role in carrying out the siege. Caesar declared Cleopatra and her brother Ptolemy XIV joint rulers but maintained a private affair with Cleopatra that produced a son, Caesarion. Cleopatra traveled to Rome as a client queen in 46 and 44 BC, where she stayed at Caesar's villa. After the assassinations of Caesar and (on her orders) Ptolemy XIV in 44 BC, she named Caesarion co-ruler as Ptolemy XV.
In the Liberators' civil war of 43–42 BC, Cleopatra sided with the Roman Second Triumvirate formed by Caesar's grandnephew and heir Octavian, Mark Antony, and Marcus Aemilius Lepidus. After their meeting at Tarsos in 41 BC, the queen had an affair with Antony. He carried out the execution of Arsinoe at her request, and became increasingly reliant on Cleopatra for both funding and military aid during his invasions of the Parthian Empire and the Kingdom of Armenia. The Donations of Alexandria declared their children Alexander Helios, Cleopatra Selene II, and Ptolemy Philadelphus rulers over various erstwhile territories under Antony's triumviral authority. This event, their marriage, and Antony's divorce of Octavian's sister Octavia Minor led to the Final War of the Roman Republic. Octavian engaged in a war of propaganda, forced Antony's allies in the Roman Senate to flee Rome in 32 BC, and declared war on Cleopatra. After defeating Antony and Cleopatra's naval fleet at the 31 BC Battle of Actium, Octavian's forces invaded Egypt in 30 BC and defeated Antony, leading to Antony's suicide. When Cleopatra learned that Octavian planned to bring her to his Roman triumphal procession, she killed herself by poisoning, contrary to the popular belief that she was bitten by an asp.
Cleopatra's legacy survives in ancient and modern works of art. Roman historiography and Latin poetry produced a generally critical view of the queen that pervaded later Medieval and Renaissance literature. In the visual arts, her ancient depictions include Roman busts, paintings, and sculptures, cameo carvings and glass, Ptolemaic and Roman coinage, and reliefs. In Renaissance and Baroque art, she was the subject of many works including operas, paintings, poetry, sculptures, and theatrical dramas. She has become a pop culture icon of Egyptomania since the Victorian era, and in modern times, Cleopatra has appeared in the applied and fine arts, burlesque satire, Hollywood films, and brand images for commercial products.",https://en.wikipedia.org/wiki/Cleopatra
394,395,El Salvador,29,Claribel Alegría Vides,http://www.wikidata.org/entity/Q270601,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),wd:Q270601,3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),3524352,Nicaraguan writer (1924-2018),"Clara Isabel Alegría Vides (May 12, 1924 – January 25, 2018), also known by her pseudonym Claribel Alegría, was a Nicaraguan-Salvadoran poet, essayist, novelist, and journalist who was a major voice in the literature of contemporary Central America. She was awarded the 2006 Neustadt International Prize for Literature.",https://en.wikipedia.org/wiki/Claribel_Alegr%C3%ADa
401,402,Equatorial Guinea,26,Concha Buika,http://www.wikidata.org/entity/Q266042,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,wd:Q266042,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,6079847,Equatoguinean singer,"María Concepción Balboa Buika (born 11 May 1972), known as Concha Buika or Buika, is a Spanish singer. Her album Niña de Fuego was nominated for the 2008 Latin Grammy Award for Album of the Year and La Noche Más Larga was nominated for Best Latin Jazz Album at the 56th Annual Grammy Awards in 2014.

",https://en.wikipedia.org/wiki/Concha_Buika
404,405,Eritrea,31,Senhit,http://www.wikidata.org/entity/Q240907,Italian singer,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,wd:Q240907,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,30177276,Italian singer,"Senhit Zadik Zadik (born 1 October 1979), known professionally as simply Senhit (formerly written as Senit), is an Italian singer. She represented San Marino in the Eurovision Song Contest 2011 in Düsseldorf with ""Stand By"", but failed to qualify for the final. She would have represented it again in 2020 with ""Freaky!"", but the contest was cancelled due to the COVID-19 pandemic. Instead, she was chosen to represent San Marino at the Eurovision Song Contest 2021 with the song ""Adrenalina"", where she qualified to the final and placed 22nd with 50 points.",https://en.wikipedia.org/wiki/Senhit_(singer)
412,413,Estonia,86,Kersti Kaljulaid,http://www.wikidata.org/entity/Q12366816,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,wd:Q12366816,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,51801264,Estonian politician and president of Estonia 2016–2021,"Kersti Kaljulaid (Estonian pronunciation: [ˈkersti ˈkɑljuˈlɑi̯d]; born 30 December 1969) is an Estonian politician who served as the fifth president of Estonia, from 2016 to 2021. She was the first female head of state of Estonia since the country declared independence in 1918, as well as the youngest president, aged 46 at the time of her election.Kaljulaid is a former state official, serving as Estonia's representative in the European Court of Auditors from 2004 until 2016. After several unsuccessful rounds of Estonian presidential elections in 2016, Kaljulaid was nominated on 30 September 2016 by the majority of parliamentary parties as a joint candidate for president, as the only official candidate for that round. Kaljulaid was voted president on 3 October 2016, with 81 votes and 17 abstentions.",https://en.wikipedia.org/wiki/Kersti_Kaljulaid
415,416,Eswatini,19,Sikhanyiso Dlamini,http://www.wikidata.org/entity/Q467866,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,wd:Q467866,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,18022576,Swazi princess,"Princess Sikhanyiso Dlamini (Swazi: [sikʰaɲiso ɮʱamini]; born 1 September 1987) is a Swazi princess and politician. She is the eldest daughter of King Mswati III of Eswatini, and is the country's current Minister of Information and Communication Technology.",https://en.wikipedia.org/wiki/Sikhanyiso_Dlamini
419,420,Ethiopia,64,Sahle-Work Zewde,http://www.wikidata.org/entity/Q7399685,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,wd:Q7399685,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,35068705,President of Federal Democratic Republic of Ethiopia,"Sahle-Work Zewde (Amharic: ሣህለ ወርቅ ዘውዴ, born 21 February 1950) is an Ethiopian politician and diplomat who is the current president of Ethiopia since 2018, being the first woman to hold the office. She was elected as president unanimously by members of the Federal Parliamentary Assembly on 25 October 2018.American business magazine Forbes, on its annual edition of the Forbes list of The World's 100 Most Powerful Women, listed Sahle-Work as the 96th most powerful woman in the world, and the highest-ranking African woman on the list.",https://en.wikipedia.org/wiki/Sahle-Work_Zewde
420,421,Federated States of Micronesia,10,Jennifer Chieng,http://www.wikidata.org/entity/Q26472808,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,wd:Q26472808,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,51386038,Micronesian boxer and mixed martial arts fighter,"Jennifer Dugwen Chieng (born April 29, 1986) is an American-born boxer and mixed martial artist who represents the Federated States of Micronesia in sports. She competed at the 2016 Summer Olympics in the women's boxing - lightweight event, in which she was eliminated in the round of 16 by Mikaela Mayer. She was the flag bearer for her country at the Parade of Nations.",https://en.wikipedia.org/wiki/Jennifer_Chieng
440,441,Fiji,13,Virisila Buadromo,http://www.wikidata.org/entity/Q7934819,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,wd:Q7934819,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,8543861,Fijian journalist and activist,"Virisila Buadromo (born 1972) is a Fijian political activist and former journalist, who was the executive director of the Fiji Women's Rights Movement (FWRM) from 2001 to 2015.  She used to be the news director for FM96.",https://en.wikipedia.org/wiki/Virisila_Buadromo
443,444,Finland,85,Tarja Halonen,http://www.wikidata.org/entity/Q29213,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,wd:Q29213,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,30797,11th President of Finland,"Tarja Kaarina Halonen (pronounced [ˈtɑrjɑ ˈkɑːrinɑ ˈhɑlonen] (listen); born 24 December 1943) is a Finnish politician who served as the 11th president of Finland, and the first woman to hold the position, from 2000 to 2012. She first rose to prominence as a lawyer with the Central Organisation of Finnish Trade Unions (SAK), and as the Prime Minister's parliamentary secretary (1974–1975) and a member of the City Council of Helsinki (1977–1996). Halonen was a Social Democratic Party member of parliament from 1979 until her election to the presidency in 2000. She also served as a minister at the Ministry of Social Affairs and Health from 1987 to 1990, as Minister of Justice from 1990 to 1991, and as Minister for Foreign Affairs from 1995 to 2000.
Halonen was an extremely popular president, with her approval ratings reaching a peak of 88 percent in December 2003. She was re-elected in 2006, defeating National Coalition Party candidate Sauli Niinistö in the second round by 51% to 48%. Ineligible to run in the 2012 presidential elections because of term limits, Halonen left office on 1 March 2012 and was succeeded by Niinistö.
Widely known for her interest in human rights issues, Halonen served as the chairperson of the Finnish LGBT rights organization Seta in the 1980s, and she actively participated in the discussion of issues such as women's rights and the problems of globalization during her presidency. In 2006, she was mentioned by various commentators as a potential candidate for the United Nations Secretary-General selection, but she denied an interest at that time, stating that she wanted to finish her term as president before thinking about other career options. In 2009, Forbes named her among the 100 most powerful women in the world.Halonen is a member of the Council of Women World Leaders, an international network of current and former women presidents and prime ministers whose mission is to mobilize the highest-level women leaders globally for collective action on issues of critical importance to women and equitable development.",https://en.wikipedia.org/wiki/Tarja_Halonen
449,450,France,213,Marie Curie,http://www.wikidata.org/entity/Q7186,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),wd:Q7186,20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),20408,Polish physicist and chemist nationalized French (1867-1934),"Marie Salomea Skłodowska Curie ( KURE-ee, pronounced [ˈmarja skwɔˈdɔfska kʲiˈri] (listen); born Maria Salomea Skłodowska, Polish: [ˈmarja salɔˈmɛa skwɔˈdɔfska]; 7 November 1867 – 4 July 1934) was a Polish and naturalized-French physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person and the only woman to win the Nobel Prize twice, and the only person to win the Nobel Prize in two scientific fields. Her husband, Pierre Curie, was a co-winner on her first Nobel Prize, making them the first ever married couple to win the Nobel Prize and launching the Curie family legacy of five Nobel Prizes. She was, in 1906, the first woman to become a professor at the University of Paris.She was born in Warsaw, in what was then the Kingdom of Poland, part of the Russian Empire. She studied at Warsaw's clandestine Flying University and began her practical scientific training in Warsaw. In 1891, aged 24, she followed her elder sister Bronisława to study in Paris, where she earned her higher degrees and conducted her subsequent scientific work. In 1895 she married the French physicist Pierre Curie, and she shared the 1903 Nobel Prize in Physics with him and with the physicist Henri Becquerel for their pioneering work developing the theory of ""radioactivity""—a term she coined. In 1906 Pierre Curie died in a Paris street accident. Marie won the 1911 Nobel Prize in Chemistry for her discovery of the elements polonium and radium, using techniques she invented for isolating radioactive isotopes.
Under her direction, the world's first studies were conducted into the treatment of neoplasms by the use of radioactive isotopes. In 1920 she founded the Curie Institute in Paris, and in 1932 the Curie Institute in Warsaw; both remain major centres of medical research. During World War I she developed mobile radiography units to provide X-ray services to field hospitals.
While a French citizen, Marie Skłodowska Curie, who used both surnames, never lost her sense of Polish identity. She taught her daughters the Polish language and took them on visits to Poland. She named the first chemical element she discovered polonium, after her native country.Marie Curie died in 1934, aged 66, at the Sancellemoz sanatorium in Passy (Haute-Savoie), France, of aplastic anemia from exposure to radiation in the course of her scientific research and in the course of her radiological work at field hospitals during World War I. In addition to her Nobel Prizes, she has received numerous other honours and tributes; in 1995 she became the first woman to be entombed on her own merits in Paris' Panthéon, and Poland declared 2011 the Year of Marie Curie during the International Year of Chemistry. She is the subject of numerous biographical works, where she is also known as Madame Curie.",https://en.wikipedia.org/wiki/Marie_Curie
469,470,Gabon,31,Rose Francine Rogombe,http://www.wikidata.org/entity/Q270645,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),wd:Q270645,21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),21580449,Gabonese politician (1942-2015),"Rose Francine Rogombé (née Etomba) (20 September 1942 – 10 April 2015) was a Gabonese politician who was Acting President of Gabon from June 2009 to October 2009, following the death of long-time President Omar Bongo. She constitutionally succeeded Bongo due to her role as President of the Senate, a post to which she was elected in February 2009. She was a lawyer by profession and a member of the Gabonese Democratic Party (PDG). Rogombé was the first female head of state of Gabon. After her interim presidency, she returned to her post as President of the Senate.",https://en.wikipedia.org/wiki/Rose_Francine_Rogomb%C3%A9
475,476,Georgia,69,Salome Zurabishvili,http://www.wikidata.org/entity/Q272416,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,wd:Q272416,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,15173078,Georgian politician and former French diplomat,"Salome Zourabichvili (Georgian: სალომე ზურაბიშვილი, [sɑlɔˈmɛ zurɑbiʃˈvili]; born 18 March 1952) is a French-born Georgian politician and former diplomat who currently serves as the fifth President of Georgia, in office since December 2018. She is the first woman to be elected as Georgia's president, a position she will occupy for a term of six years. As a result of constitutional changes coming into effect in 2024, Zourabichvili is expected to be Georgia's last popularly elected president; all future heads of state are to be elected indirectly by a  parliamentary college of electors.
Zourabichvili was born in Paris into a family of Georgian immigrants. She joined the French diplomatic service in the 1970s and went on to occupy a variety of senior diplomatic positions for three decades. From 2003 to 2004, she served as the Ambassador of France to Georgia. In 2004, by mutual agreement between France and Georgia, she accepted Georgian nationality and became the Foreign Minister of Georgia. During her tenure at the Georgian Ministry of Foreign Affairs (MFA), she negotiated a treaty that led to the withdrawal of Russian forces from the undisputed parts of the Georgian mainland. She has also served at the UN Security Council’s Iran Sanctions Committee as the Coordinator of the Panel of Experts.
After a falling out with Georgia's then president Mikheil Saakashvili, in 2006 Zourabichvili founded The Way of Georgia political party, which she led until 2010. Ultimately, she was elected to the Georgian Parliament in 2016 as an independent; she vacated her parliamentary seat after being sworn in as president. During the 2018 Georgian presidential election, Zourabichvili ran as an independent candidate and was supported by the governing Georgian Dream party. She prevailed in a run-off vote against Grigol Vashadze.",https://en.wikipedia.org/wiki/Salome_Zourabichvili
479,480,Germany,202,Angela Merkel,http://www.wikidata.org/entity/Q567,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,wd:Q567,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,72671,German chemist and politician; chancellor of Germany 2005-2021,"Angela Dorothea Merkel  (German: [ˈaŋɡela doʁoˈteːa ˈmɛʁkl̩] (listen); née Kasner; born 17 July 1954) is a German retired politician and scientist who served as the chancellor of Germany from 2005 to 2021. A member of the Christian Democratic Union (CDU), she previously served as leader of the Opposition from 2002 to 2005 and as Leader of the CDU from 2000 to 2018. Merkel was the first female chancellor of Germany. During her tenure as Chancellor, Merkel was frequently referred to as the de facto leader of the European Union (EU) and the most powerful woman in the world.Merkel was born in Hamburg in then-West Germany, moving to East Germany as an infant when her father, a Lutheran clergyman, received a pastorate in Perleberg. She obtained a doctorate in quantum chemistry in 1986 and worked as a research scientist until 1989. Merkel entered politics in the wake of the Revolutions of 1989, briefly serving as deputy spokesperson for the first democratically elected Government of East Germany led by Lothar de Maizière. Following German reunification in 1990, Merkel was elected to the Bundestag for the state of Mecklenburg-Vorpommern. As the protégée of Chancellor Helmut Kohl, Merkel was appointed as Minister for Women and Youth in 1991, later becoming Minister for the Environment, Nature Conservation and Nuclear Safety in 1994. After the CDU lost the 1998 federal election, Merkel was elected CDU General Secretary, before becoming the party's first female leader and the first female Leader of the Opposition two years later, in the aftermath of a donations scandal that toppled Wolfgang Schäuble.
Following the 2005 federal election, Merkel was appointed to succeed Gerhard Schröder as Chancellor of Germany, leading a grand coalition consisting of the CDU, its Bavarian sister party the Christian Social Union (CSU) and the Social Democratic Party of Germany (SPD). Merkel was the first woman to be elected as Chancellor, and the first Chancellor since reunification to have been raised in the former East Germany. At the 2009 federal election, the CDU obtained the largest share of the vote, and Merkel was able to form a coalition government with the Free Democratic Party (FDP). At the 2013 federal election, Merkel's CDU won a landslide victory with 41.5% of the vote and formed a second grand coalition with the SPD, after the FDP lost all of its representation in the Bundestag. At the 2017 federal election, Merkel led the CDU to become the largest party for the fourth time; Merkel formed a third grand coalition with the SPD and was sworn in for a joint-record fourth term as Chancellor on 14 March 2018.In foreign policy, Merkel has emphasised international cooperation, both in the context of the EU and NATO, and strengthening transatlantic economic relations. In 2008, Merkel served as President of the European Council and played a central role in the negotiation of the Treaty of Lisbon and the Berlin Declaration. Merkel played a crucial role in managing the global financial crisis of 2007–2008 and the European debt crisis. She negotiated the 2008 European Union stimulus plan focusing on infrastructure spending and public investment to counteract the Great Recession. In domestic policy, Merkel's Energiewende program has focused on future energy development, seeking to phase out nuclear power in Germany, reduce greenhouse gas emissions, and increase renewable energy sources. Reforms to the Bundeswehr which abolished conscription, health care reform, and her government's response to the 2010s European migrant crisis and the COVID-19 pandemic in Germany were major issues during her chancellorship. She served as the senior G7 leader from 2011 to 2012 and again from 2014 to 2021. In 2014 she became the longest-serving incumbent head of government in the EU. In October 2018, Merkel announced that she would stand down as Leader of the CDU at the party convention, and would not seek a fifth term as Chancellor in the 2021 federal election.",https://en.wikipedia.org/wiki/Angela_Merkel
499,500,Ghana,26,Yaa Asantewaa,http://www.wikidata.org/entity/Q467803,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,wd:Q467803,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,156899,Ashanti Queen Mother and military leader,"Yaa Asantewaa (17 October 1840 – 17 October 1921) was the queen mother of Ejisu in the Ashanti Empire – now part of modern-day Ghana – appointed by her brother Nana Akwasi Afrane Opese, the Edwesuhene, or ruler, of Edwesu. In 1900 she led the Ashanti war known as the War of the Golden Stool, also known as the Yaa Asantewaa War, against British colonialism.",https://en.wikipedia.org/wiki/Yaa_Asantewaa
