0,1,2,3,4,5,6,7,8
Azerbaijan,22,Afag Bashirgyzy,http://www.wikidata.org/entity/Q4688785,wd:Q4688785,33398530,Azerbaijani actress,"Afag Bashirgyzy (Azerbaijani: Afaq Bəşirqızı), born Afag Bashir gyzy oghlu Safarova (1955, Baku, Azerbaijani: Afaq Bəşir qızı Səfərova), is an Azerbaijani actress.",https://en.wikipedia.org/wiki/Afag_Bashirgyzy
Bahrain,50,Jacqueline Fernandez,http://www.wikidata.org/entity/Q2312801,wd:Q2312801,10094963,Sri Lankan actress,"Jacqueline Fernandez (born 11 August 1985) is a Sri Lankan actress and model. She has worked in Indian films, predominantly in Hindi, besides appearing in reality shows and music videos. Debuting with Aladin in 2009, she has since then established a career in the Hindi film industry. Fernandez was born and raised in Bahrain to a multiracial Eurasian family of Sri Lankan Burgher, Canadian, and Malaysian descent. After graduating in mass communication from the University of Sydney and working as a television reporter in Sri Lanka, she joined the modeling industry. She was crowned Miss Universe Sri Lanka in 2006, and represented her country at Miss Universe 2006.
While on a modelling assignment in India in 2009, Fernandez successfully auditioned for Sujoy Ghosh's fantasy drama Aladin, which marked her acting debut. Fernandez had her breakthrough role with the psychological thriller Murder 2 (2011), her first commercial success. This was followed by glamorous roles in the commercially successful ensemble-comedy Housefull 2 (2012) and the action thriller Race 2 (2013), which garnered her an IIFA Award for Best Supporting Actress nomination. Fernandez went on to star in the top-grossing action films Kick (2014) and Vikrant Rona (2022), and the comedies Housefull 3 (2016) and Judwaa 2 (2017).
Alongside her screen acting career, Fernandez has worked as a judge in the ninth season of the dance reality show Jhalak Dikhhla Jaa (2016–2017), is a popular celebrity endorser for various brands and products, has participated in stage shows, and is active in humanitarian work.

",https://en.wikipedia.org/wiki/Jacqueline_Fernandez
Bangladesh,32,Roma Dasgupta,http://www.wikidata.org/entity/Q467343,wd:Q467343,1939453,Indian actress,"Suchitra Sen (Bengali pronunciation: [ʃuːtʃiːraː ʃeːn] listen ; born as Roma Dasgupta (listen ; 6 April 1931 – 17 January 2014) was an Indian actress who worked in Bengali and Hindi cinema. The movies in which she was paired opposite Uttam Kumar became classics in the history of Bengali cinema.Sen was the first Indian actress to receive an award at an international film festival when, at the 1963 Moscow International Film Festival, she won the Silver Prize for Best Actress for Saat Pake Bandha. In 1972, she was awarded the Padma Shri, the fourth highest civilian award in India. From 1979 on, she retreated from public life and shunned all forms of public contact; for this she is often compared to Greta Garbo. In 2005, she refused the Dadasaheb Phalke Award, the highest cinematic award in India, to stay out of the public eye. In 2012, she was conferred the West Bengal Government's highest honour: Banga Bibhushan. Her first official release was Sukumar Dasgupta's Saat Number Kayedi (1953). She was catapulted to stardom after she was cast as Vishnupriya by Devaki Kumar Bose in his Bhagaban Shree Krishna Chaitanya (1953).",https://en.wikipedia.org/wiki/Suchitra_Sen
Barbados,4,Lori Alexia,http://www.wikidata.org/entity/Q20647080,wd:Q20647080,,,--,--
Belarus,21,Lidia Wysocka,http://www.wikidata.org/entity/Q289869,wd:Q289869,27504665,Polish actress (1916-2006),"Lidia Wysocka (June 24, 1916 – January 2, 2006) was a Polish stage, film and voice actress, singer, cabaret performer and creative director, theatre director and costume designer, editorialist.",https://en.wikipedia.org/wiki/Lidia_Wysocka
Belgium,132,Audrey Hepburn,http://www.wikidata.org/entity/Q42786,wd:Q42786,52139,British actress and humanitarian (1929-1993),"Audrey Hepburn (born Audrey Kathleen Ruston; 4 May 1929 – 20 January 1993) was a British actress and humanitarian. Recognised as a film and fashion icon, she was ranked by the American Film Institute as the third-greatest female screen legend from the Classical Hollywood cinema and was inducted into the International Best Dressed List Hall of Fame.
Born in Ixelles, Brussels to an aristocratic family, Hepburn spent parts of her childhood in Belgium, England, and the Netherlands. She studied ballet with Sonia Gaskell in Amsterdam beginning in 1945, and with Marie Rambert in London from 1948. She began performing as a chorus girl in West End musical theatre productions and then had minor appearances in several films. She rose to stardom in the romantic comedy Roman Holiday (1953) alongside Gregory Peck, for which she was the first actress to win an Oscar, a Golden Globe Award, and a BAFTA Award for a single performance. That year, she also won a Tony Award for Best Lead Actress in a Play for her performance in Ondine.
Hepburn went on to star in a number of successful films such as Sabrina (1954), in which Humphrey Bogart and William Holden compete for her affection; Funny Face (1957), a musical where she sang her own parts; the drama The Nun's Story (1959); the romantic comedy Breakfast at Tiffany's (1961); the thriller-romance Charade (1963), opposite Cary Grant; and the musical My Fair Lady (1964). In 1967 she starred in the thriller Wait Until Dark, receiving Academy Award, Golden Globe, and BAFTA nominations. After that, she only occasionally appeared in films, one being Robin and Marian (1976) with Sean Connery. Her last recorded performances were in the 1990 documentary television series Gardens of the World with Audrey Hepburn for which she won a Primetime Emmy Award for Outstanding Individual Achievement – Informational Programming.
Hepburn won three BAFTA Awards for Best British Actress in a Leading Role. In recognition of her film career, she received BAFTA's Lifetime Achievement Award, the Golden Globe Cecil B. DeMille Award, the Screen Actors Guild Life Achievement Award, and the Special Tony Award. She remains one of only eighteen people who have won Academy, Emmy, Grammy, and Tony Awards. Later in life, Hepburn devoted much of her time to UNICEF, to which she had contributed since 1954. Between 1988 and 1992, she worked in some of the poorest communities of Africa, South America, and Asia. In December 1992, she received the US Presidential Medal of Freedom in recognition of her work as a UNICEF Goodwill Ambassador. A month later, she died of appendiceal cancer at her home in Tolochenaz, Vaud, Switzerland at the age of 63.

",https://en.wikipedia.org/wiki/Audrey_Hepburn
Belize,4,Catherine Bruhier,http://www.wikidata.org/entity/Q19667426,wd:Q19667426,45339472,Canadian actress,"Catherine Bruhier (born 31 May 1972) is a Canadian actress and filmmaker. Born in Belize, she was raised in New Brunswick and has worked in Canada and the United States.",https://en.wikipedia.org/wiki/Catherine_Bruhier
Benin,13,Bella Agossou,http://www.wikidata.org/entity/Q75015745,wd:Q75015745,65495234,Beninese actress,Bella Agossou (Arabic: بيلا أجوسو; born 1981) is a Beninese actress in Spanish cinema.,https://en.wikipedia.org/wiki/Bella_Agossou
Bolivia,16,Verona Pooth,http://www.wikidata.org/entity/Q68027,wd:Q68027,5153356,German television personality,"Verona Pooth (née Feldbusch; born 30 April 1968) is a German television personality, model, and occasional actress. In 1993, she was Miss Germany and Miss Intercontinental and represented Germany at the Miss Universe 1993 contest.",https://en.wikipedia.org/wiki/Verona_Pooth
Bosnia and Herzegovina,35,Ivana Miličević,http://www.wikidata.org/entity/Q257165,wd:Q257165,15765317,Bosnian-American actress,"Ivana Miličević (Croatian pronunciation: [ǐʋana milǐːt͡ʃevit͡ɕ]; born April 26, 1974) is a Bosnian Croat-American actress and model. She is best known for her starring roles in the Cinemax action drama series Banshee (2013–2016) and The CW science fiction drama series The 100 (2018–2020).
Miličević had roles in films such as Vanilla Sky (2001), Down with Love (2003), Love Actually (2003), Just like Heaven (2005), Casino Royale (2006), Running Scared (2006), What's Your Number? (2011), and Catfight (2016).
She guest starred in numerous television series, including Seinfeld (1997), Felicity (1998–1999), Buffy the Vampire Slayer (2002), Friends (2003), Charmed (2003),  One on One (2004), American Dad! (2006–2008), Ugly Betty (2007), Chuck (2008), Power, and Gotham (2016–2017).",https://en.wikipedia.org/wiki/Ivana_Mili%C4%8Devi%C4%87
Botswana,10,Connie Ferguson,http://www.wikidata.org/entity/Q18206959,wd:Q18206959,44020944,"South African actress, producer and business woman","Constance Ferguson (née Masilo; born 10 June 1970) is a South African based Botswana actress, filmmaker, producer and businesswoman. She is best known for her role as ""Karabo Moroka"" on South Africa's most popular soap opera, Generations. She starred on the show from its start in 1994 until she exited in 2010. In 2014, she reprised her role on the show after a 4-year absence for a short term. Ferguson was on the cover of Forbes Woman Africa magazine in 2018.

",https://en.wikipedia.org/wiki/Connie_Ferguson
Brazil,151,Hebe Camargo,http://www.wikidata.org/entity/Q6105,wd:Q6105,25807927,"Brazilian recording artist, television host, singer","Hebe Maria Monteiro de Camargo Ravagnani  (Portuguese pronunciation: [ˈɛbi mɐˈɾi.ɐ mõˈtejɾu dʒi kɐˈmaʁɡu ˌʁavɐˈɲɐ̃ni]; 8 March 1929 – 29 September 2012) was a Brazilian television host, singer and actress. She is considered the ""Queen of Brazilian Television"" (Portuguese: Rainha da Televisão Brasileira). She died at her home on 29 September 2012. Her net worth was over US$360 million.",https://en.wikipedia.org/wiki/Hebe_Camargo
Brunei,12,Rachel Blakely,http://www.wikidata.org/entity/Q508725,wd:Q508725,8749972,Australian actress,"Rachel Leigh Blakely (born 28 July 1968) is a Malaysian-born Australian-American actress. Her works include films such as Love Until, Young Hercules and Counterstrike, as well as guest appearances on television shows such as Xena: Warrior Princess, State Coroner and Flipper. She is best known for her role as Gaby Willis in Neighbours, Marguerite Krux on Sir Arthur Conan Doyle's The Lost World, and as Glenda Fry in the Australian series Mortified. In 2010, she became attached to the children's series Accord'n to Jordyn.",https://en.wikipedia.org/wiki/Rachel_Blakely
Bulgaria,74,Nina Dobrev,http://www.wikidata.org/entity/Q183439,wd:Q183439,8900348,Bulgarian-Canadian actress,"Nina Kamenova Dobreva (Bulgarian: Нина Каменова Добрева, pronounced [ˈninɐ ˈdɔbrɛvɐ]; born January 9, 1989), credited professionally as Nina Dobrev ( DOH-brev), is a Canadian actress. She is best known for portraying Elena Gilbert and Katherine Pierce on The CW's supernatural drama series The Vampire Diaries (2009–2015).
Born in Sofia and raised in Toronto, Dobrev made her screen debut playing minor roles in various films, before landing her breakout role as Mia Jones in the drama series Degrassi: The Next Generation (2006–2009). She later rose to prominence with her role in The Vampire Diaries, and appeared in several feature films, including the 2012 coming-of-age drama The Perks of Being a Wallflower, the comedies Let's Be Cops and The Final Girls (2014), and the 2017 science-fiction drama Flatliners. Her biggest commercial success came with XXX: Return of Xander Cage (2017). She also starred in the romantic comedies Dog Days (2018), Then Came You (2018) and Love Hard (2021), and had a leading role in the sitcom Fam (2019).

",https://en.wikipedia.org/wiki/Nina_Dobrev
Burkina Faso,10,Roukiata Ouedraogo,http://www.wikidata.org/entity/Q46533647,wd:Q46533647,65503948,Burkina Faso actress,"Roukiata Ouedraogo (born 1979) is a Burkinabé playwright, actress and comedian.",https://en.wikipedia.org/wiki/Roukiata_Ouedraogo
Burundi,4,Consolate Sipérius,http://www.wikidata.org/entity/Q29021598,wd:Q29021598,69160028,actor,"Consolate Sipérius (born 20 March 1989), is a Burundian-Belgian actress particularly active in French cinema and theatre.",https://en.wikipedia.org/wiki/Consolate_Sip%C3%A9rius
Cambodia,159,Angelina Jolie,http://www.wikidata.org/entity/Q13909,wd:Q13909,5792809,American actress (born 1975),"Angelina Jolie  (; born Angelina Jolie Voight; June 4, 1975) is an American actress, filmmaker, and humanitarian. The recipient of numerous accolades, including an Academy Award and three Golden Globe Awards, she has been named Hollywood's highest-paid actress multiple times.
Jolie made her screen debut as a child alongside her father, Jon Voight, in Lookin' to Get Out (1982), and her film career began in earnest a decade later with the low-budget production Cyborg 2 (1993), followed by her first leading role in a major film in Hackers (1995). She starred in the biographical television films George Wallace (1997) and Gia (1998) and won the Academy Award for Best Supporting Actress for her performance in the 1999 drama Girl, Interrupted. Her starring role as the titular video game heroine in Lara Croft: Tomb Raider (2001) established her as a leading Hollywood actress. She continued her action-star career with Mr. & Mrs. Smith (2005), Wanted (2008), Salt (2010), and The Tourist (2010), and received critical acclaim for her performances in the dramas A Mighty Heart (2007) and Changeling (2008); the latter earned her a nomination for the Academy Award for Best Actress. Her biggest commercial successes include the fantasy picture Maleficent (2014), its 2019 sequel, and the superhero film Eternals (2021). She has performed a voice role in the animation film series Kung Fu Panda since 2008. Jolie has also directed and written the war dramas In the Land of Blood and Honey (2011), Unbroken (2014), and First They Killed My Father (2017).
Jolie is known for her humanitarian efforts, for which she has received a Jean Hersholt Humanitarian Award and made an honorary Dame Commander of the Order of St Michael and St George, among other honors. She promotes various causes, including conservation, education, and women's rights, and is most noted for her advocacy on behalf of refugees as a Special Envoy for the United Nations High Commissioner for Refugees, a position she held until 2022. Jolie has undertaken over a dozen field missions globally to refugee camps and war zones; her visited countries include Cambodia, Sierra Leone, Tanzania, Pakistan, Afghanistan, Syria, Sudan, Yemen, and Ukraine.
As a public figure, Jolie has been cited as one of the most powerful and influential people in the American entertainment industry. She has been cited as the world's most beautiful woman by various media outlets. Her personal life, including her relationships, marriages, and health, has been the subject of wide publicity. She is divorced from actors Jonny Lee Miller, Billy Bob Thornton and Brad Pitt. She has six children with Pitt, three of whom were adopted internationally.",https://en.wikipedia.org/wiki/Angelina_Jolie
Cameroon,13,Dorothy A. Atabong,http://www.wikidata.org/entity/Q22276884,wd:Q22276884,48153576,Canadian actor,"Dorothy A. Atabong is a Canadian actress, writer and producer. She is best known for Sound of Tears for which she’s won various awards including an Africa Movie Academy Award in 2015.",https://en.wikipedia.org/wiki/Dorothy_A._Atabong
Canada,115,Elisha Cuthbert,http://www.wikidata.org/entity/Q188500,wd:Q188500,20647359,Canadian actress and model,"Elisha Ann Cuthbert (; born 30 November 1982) is a Canadian actress and model. As a child actress, she made her first televised appearance as an extra in the Canadian horror-themed series for children Are You Afraid of the Dark? and co-hosted Popular Mechanics for Kids. She made her feature film debut in the 1997 Canadian family-drama Dancing on the Moon. Her first major lead role came in the 1998 drama film Airspeed (No Control) alongside Joe Mantegna. In 2001, she starred in the movie Lucky Girl, for which she received her first award, the Gemini Awards.
After moving to Hollywood in 2001, she was cast as Kim Bauer in the series 24, her first big role in an American production, alongside Kiefer Sutherland. For this role, she was nominated for Screen Actors Guild Awards twice. In 2003, she played Darcie Goldberg in the college comedy Old School and Carol-Anne in Love Actually. Cuthbert received wide recognition for her breakout role as Danielle in the 2004 teen comedy film The Girl Next Door, being nominated for Best Breakthrough Performance at the 2005 MTV Movie Awards, and for her next role as Carly Jones in the 2005 House of Wax, for which she received two nominations for the Teen Choice Awards, including Best Actress: Action/Adventure/Thriller. Subsequently, Cuthbert appeared in the lead role in the drama The Quiet (2005) and the horror Captivity (2007). This role, along with Are You Afraid of the Dark?, 24 series and House of Wax, established her as a scream queen.From 2011 to 2013, Cuthbert starred as Alex Kerkovich in the three seasons of the ABC comedy Happy Endings. From 2016 to 2020, she had a recurring role as Abby Phillips on the Netflix series The Ranch, before becoming a main cast member in the series' second season. She received praise for her performance on the Canadian comedy series Jann (2020), being nominated for the Canadian Screen Awards for Best Performance in a guest role.
Cuthbert is considered a sex symbol and has appeared in numerous magazines, such as Maxim, Complex, and FHM. In 2013, Maxim magazine named her ""TV's most beautiful woman"".

",https://en.wikipedia.org/wiki/Elisha_Cuthbert
Cape Verde,9,Vitalina Varela,http://www.wikidata.org/entity/Q66498799,wd:Q66498799,65564454,Cape Verdean actress,Vitalina Varela (born 1966) is a Cape Verdean actress.,https://en.wikipedia.org/wiki/Vitalina_Varela_(actress)
Central African Republic,2,Prudence Maïdou,http://www.wikidata.org/entity/Q47370319,wd:Q47370319,,,--,--
Chile,35,Cote de Pablo,http://www.wikidata.org/entity/Q230647,wd:Q230647,21031276,Chilean-American actress and singer,"María José de Pablo Fernández, known professionally as Cote de Pablo (born November 12, 1979), is a Chilean-American actress and singer. Born in Santiago, Chile, she moved to the United States at the age of 10, where she studied acting.
De Pablo co-hosted episodes of the Latin-American talk show Control with former Entertainment Tonight host Carlos Ponce at the age of 15 before attending Carnegie Mellon University to study music and theatre. After appearing in a number of television roles, she was cast to portray main character Ziva David in the CBS television series NCIS in 2005 and won an ALMA Award for the role in 2011.
She performed a portion of Tom Waits' song ""Temptation"" for a 2008 episode of NCIS. Outside the series, she has sung on Roberto Pitre's Vivo En Vida CD.",https://en.wikipedia.org/wiki/Cote_de_Pablo
Colombia,70,Sofía Vergara,http://www.wikidata.org/entity/Q231911,wd:Q231911,1786681,Colombian and American actress and model,"Sofía Margarita Vergara Vergara (Spanish: [soˈfi.a βeɾˈɣaɾa]; born July 10, 1972) is a Colombian and American actress and model who is widely known for her role Gloria Delgado-Pritchett in the ABC comedy series Modern Family. She rose to prominence while co-hosting two television shows for Spanish-language television network Univision in the late 1990s. 
She has received several awards including four Screen Actors Guild Awards with nominations for three Primetime Emmy Awards.
Her first notable acting job in English was in the film Chasing Papi (2003). She subsequently appeared in Four Brothers (2005) and Tyler Perry's comedies Meet the Browns (2008) and Madea Goes to Jail (2009), receiving an ALMA Award nomination for the latter. In 2009, she began playing Gloria Delgado-Pritchett in the ABC comedy series Modern Family for which she was nominated for four Golden Globe Awards, four Primetime Emmy Awards, and eleven Screen Actors Guild Awards.
Vergara has also had roles in the films The Smurfs (2011), New Year's Eve (2011), The Three Stooges (2012), Machete Kills (2013), Fading Gigolo (2013), Chef (2014), and Hot Pursuit (2015). She also had voice-over roles in the animated films Happy Feet Two (2011), Escape from Planet Earth (2013), and The Emoji Movie (2017). Since 2020, Vergara has been a judge on America's Got Talent.

",https://en.wikipedia.org/wiki/Sof%C3%ADa_Vergara
Costa Rica,16,Giannina Facio,http://www.wikidata.org/entity/Q457736,wd:Q457736,12081912,Costa Rican actress,"Giannina Facio, Lady Scott (born Giannina Facio Franco; September 10, 1955), is a Costa Rican actress who has appeared in a number of films, especially those of her husband, British film director and producer Sir Ridley Scott. She first worked with Scott on White Squall and has been his partner since Hannibal. Gladiator was the first of two films in which she plays the wife of Russell Crowe's character, the other being Body of Lies. Since White Squall, Facio has made appearances in all of Scott's films except for American Gangster and The Martian.",https://en.wikipedia.org/wiki/Giannina_Facio
Croatia,44,Mira Furlan,http://www.wikidata.org/entity/Q229740,wd:Q229740,101545,Croatian actress and singer (1955–2021),"Mira Furlan (7 September 1955 – 20 January 2021) was a Croatian actress and singer. Internationally, she was best known for her roles as the Minbari Ambassador Delenn in the science fiction television series Babylon 5 (1993–1998), and as Danielle Rousseau in Lost (2004–2010), and also appeared in multiple award-winning films such as When Father Was Away on Business (1985) and The Abandoned (2010).",https://en.wikipedia.org/wiki/Mira_Furlan
